date,open,high,low,close,volume
2018-07-05,56.85,59.65,56.65,58.5,235804
2018-07-06,57.85,58.75,57.85,58.0,187754
2018-07-09,58.0,59.2,57.0,57.75,118116
2018-07-10,58.15,58.5,57.05,57.4,55040
2018-07-11,57.35,57.45,55.6,56.0,313962
2018-07-12,56.25,56.5,55.5,55.8,253120
2018-07-13,55.6,56.75,55.5,55.75,121716
2018-07-16,55.75,55.8,54.6,55.1,511904
2018-07-17,54.85,55.35,54.1,54.35,2519812
2018-07-18,54.55,55.2,53.15,53.7,268056
2018-07-19,54.3,54.35,52.5,53.45,238144
2018-07-20,53.05,56.8,52.35,55.25,195748
2018-07-23,54.8,55.35,53.0,53.5,305896
2018-07-24,53.55,57.25,53.35,56.25,463370
2018-07-25,55.55,57.5,54.8,55.15,132918
2018-07-26,55.75,56.75,54.15,55.95,184536
2018-07-27,56.4,59.7,56.15,59.45,619238
2018-07-30,59.2,61.4,59.2,60.85,216006
2018-07-31,61.15,62.9,52.15,52.85,8256084
2018-08-01,53.35,54.5,52.65,53.4,1435722
2018-08-02,53.65,53.65,51.15,51.5,676680
2018-08-03,51.25,52.25,50.25,51.0,581828
2018-08-06,51.45,52.85,51.15,52.1,476642
2018-08-07,52.5,52.5,50.9,51.2,348758
2018-08-08,51.2,52.3,50.05,50.95,338518
2018-08-09,51.15,51.3,50.2,50.55,223748
2018-08-10,50.9,51.15,49.65,49.8,327642
2018-08-13,49.5,50.2,46.5,46.85,1130912
2018-08-14,47.45,47.45,43.65,44.0,1476026
2018-08-16,45.35,46.05,44.3,45.55,1121142
2018-08-17,45.7,49.0,45.7,46.75,4630722
2018-08-20,46.95,46.95,44.85,45.4,2110934
2018-08-21,45.45,45.5,43.35,44.0,1696574
2018-08-23,44.35,44.55,43.8,44.3,443210
2018-08-24,45.2,45.85,44.4,44.75,671896
2018-08-27,45.2,45.65,44.45,45.1,373050
2018-08-28,46.25,51.05,45.25,49.35,4104258
2018-08-29,49.55,52.25,49.4,50.6,1575672
2018-08-30,50.95,51.75,49.55,50.9,751256
2018-08-31,51.05,52.75,50.5,51.35,1140652
2018-09-03,52.0,52.8,50.05,51.4,509300
2018-09-04,51.2,51.25,49.9,50.5,431192
2018-09-05,50.35,50.35,48.65,49.4,1120916
2018-09-06,50.35,52.15,49.0,51.6,539122
2018-09-07,52.05,53.8,51.8,53.45,903128
2018-09-10,53.8,54.7,50.4,51.0,935460
2018-09-11,51.7,56.5,51.7,54.3,6132946
2018-09-12,55.25,55.8,53.35,53.85,3289026
2018-09-14,54.7,55.7,53.85,54.7,1791244
2018-09-17,55.3,55.8,51.85,52.2,6842162
2018-09-18,52.1,52.7,49.65,51.1,1785216
2018-09-19,51.3,51.9,50.4,50.6,1063824
2018-09-21,51.4,51.7,46.7,47.3,3215062
2018-09-24,48.7,49.55,47.9,49.0,1559404
2018-09-25,49.35,49.6,48.55,48.95,2575084
2018-09-26,49.15,49.4,48.5,48.9,2392536
2018-09-27,47.45,48.1,46.25,47.3,2244944
2018-09-28,47.95,47.95,44.5,45.95,1276922
2018-10-01,44.75,45.7,42.55,44.95,741542
2018-10-03,44.3,45.75,44.3,44.75,358998
2018-10-04,43.8,45.95,43.8,44.75,680958
2018-10-05,44.95,45.35,43.6,43.95,429006
2018-10-08,43.6,44.9,42.55,43.55,634898
2018-10-09,43.1,43.7,42.45,43.1,284170
2018-10-10,43.2,43.95,43.2,43.55,182578
2018-10-11,42.6,43.65,40.35,43.15,263266
2018-10-12,43.1,44.25,43.05,43.2,229086
2018-10-15,43.7,44.1,43.05,43.3,315950
