date,open,high,low,close,volume
2023-08-11,120.0,126.0,114.0,123.45,12023784
2023-08-14,127.25,127.25,117.3,121.9,4304344
2023-08-16,115.8,119.5,115.8,115.9,1993640
2023-08-17,113.75,116.0,110.15,113.0,2362592
2023-08-18,111.4,117.25,109.05,116.45,1375000
2023-08-21,116.25,119.5,115.0,119.15,1372248
2023-08-22,119.15,122.25,114.9,116.5,427244
2023-08-23,117.5,118.7,112.75,114.3,311008
2023-08-24,115.75,116.25,111.25,113.95,842904
2023-08-25,114.25,117.5,112.55,116.0,687648
2023-08-28,117.7,120.6,113.75,116.9,799404
2023-08-29,116.75,117.5,113.0,115.95,545048
2023-08-30,114.5,118.0,114.45,117.5,838456
2023-08-31,117.5,118.35,114.6,117.05,982876
2023-09-01,117.5,117.75,114.5,115.2,530080
2023-09-04,115.5,115.5,111.15,112.6,1037416
2023-09-05,111.45,113.5,109.7,112.2,837100
2023-09-06,114.2,114.2,106.65,108.75,1467080
2023-09-07,107.75,109.0,102.75,105.0,1905040
2023-09-08,106.25,115.5,104.2,111.75,1985292
2023-09-11,112.5,113.7,106.7,108.2,879708
2023-09-12,108.15,109.95,105.05,106.85,1155616
2023-09-13,106.25,108.35,103.8,105.45,548728
2023-09-14,108.25,110.55,106.7,107.3,550220
2023-09-15,108.75,112.5,106.7,111.7,1175568
2023-09-18,112.5,115.7,111.7,113.8,788680
2023-09-20,113.8,113.8,111.25,112.3,716284
2023-09-21,113.0,114.3,108.75,113.3,611996
2023-09-22,114.2,115.5,108.9,111.7,721408
2023-09-25,111.75,113.5,107.25,108.3,515612
2023-09-26,108.75,110.45,107.8,108.7,236984
2023-09-27,108.7,109.85,107.75,108.8,221428
2023-09-28,108.8,112.25,108.8,109.9,279940
2023-09-29,109.9,113.25,108.75,112.6,590100
2023-10-03,112.5,121.5,111.5,117.9,1113960
2023-10-04,118.7,118.95,111.9,113.15,511912
2023-10-05,114.85,114.85,112.1,112.65,365392
2023-10-06,114.75,124.55,113.0,121.7,2470272
2023-10-09,120.0,121.15,116.05,117.35,571392
2023-10-10,119.75,124.75,117.8,124.2,1977112
2023-10-11,125.25,133.5,125.25,132.3,2959756
2023-10-12,133.75,135.2,128.9,129.7,1320804
2023-10-13,128.7,131.45,127.5,128.25,661080
2023-10-16,128.25,133.65,127.45,131.2,857712
2023-10-17,132.35,143.75,132.35,137.0,2570728
2023-10-18,138.9,141.95,130.1,131.45,1356276
2023-10-19,131.5,136.0,128.3,134.3,1121740
2023-10-20,134.3,139.6,133.05,137.3,1253368
2023-10-23,132.5,136.75,123.2,124.3,2550584
2023-10-25,125.0,128.2,121.25,124.85,1507060
2023-10-26,125.75,128.0,120.0,126.85,1168596
2023-10-27,129.6,130.55,126.6,127.45,777844
2023-10-30,127.0,129.0,125.4,127.05,441292
2023-10-31,129.75,132.55,127.5,128.4,585872
2023-11-01,130.0,130.0,125.0,126.15,358524
2023-11-02,129.25,133.55,127.75,128.5,554808
2023-11-03,129.1,136.5,129.1,134.55,991760
2023-11-06,135.0,136.25,128.75,130.55,744320
2023-11-07,130.5,134.5,129.7,133.8,632084
2023-11-08,135.0,140.95,130.75,139.7,1461120
2023-11-09,140.0,141.9,115.3,120.7,8727816
2023-11-10,121.0,123.0,116.5,118.9,3954020
2023-11-12,120.7,121.2,116.65,117.3,320328
2023-11-13,118.0,120.85,111.05,112.2,2254996
2023-11-15,113.0,117.35,112.5,114.0,1691080
2023-11-16,114.4,117.3,114.15,116.65,638344
2023-11-17,117.4,119.6,116.65,118.85,645316
2023-11-20,118.75,122.5,117.6,120.95,829296
2023-11-21,122.1,123.7,121.05,122.3,714428
2023-11-22,123.4,123.4,120.0,121.25,732964
2023-11-23,121.25,124.15,121.25,122.6,577524
2023-11-24,123.5,125.35,121.3,123.4,691448
2023-11-28,122.5,126.0,121.0,125.05,1232284
2023-11-29,125.25,126.1,121.75,122.95,678936
2023-11-30,123.0,127.0,118.7,122.2,3603616
2023-12-01,121.2,123.6,120.1,122.95,942656
2023-12-04,125.0,125.0,119.5,120.0,641144
2023-12-05,120.75,121.9,118.0,118.3,557940
2023-12-06,119.4,120.0,116.2,116.7,616872
2023-12-07,116.7,120.5,115.5,119.9,651276
2023-12-08,120.85,122.75,118.85,121.9,829496
2023-12-11,122.6,122.6,118.55,121.7,740540
2023-12-12,122.5,122.5,118.9,119.35,769616
2023-12-13,119.85,120.9,118.55,119.65,262964
2023-12-14,121.0,121.0,116.0,116.7,647228
2023-12-15,117.25,117.8,114.95,116.7,670724
2023-12-18,115.9,117.1,114.6,115.6,583848
2023-12-19,115.65,117.4,115.0,116.05,526456
2023-12-20,116.05,117.1,111.9,112.7,1328844
2023-12-21,111.25,113.6,109.25,111.15,1164024
2023-12-22,111.15,117.65,111.15,116.25,783572
2023-12-26,117.1,119.0,115.55,116.6,430904
2023-12-27,117.25,117.95,115.3,116.25,390472
2023-12-28,116.7,117.1,114.4,114.9,286792
2023-12-29,115.6,118.15,115.0,117.5,870440
2024-01-01,118.0,121.25,116.3,120.6,1112404
2024-01-02,121.0,124.75,119.65,123.4,1431444
2024-01-03,124.2,127.75,122.8,127.4,2072628
2024-01-04,128.65,134.2,125.7,129.9,2227024
2024-01-05,132.8,134.4,129.3,131.4,1386504
2024-01-08,132.5,134.25,129.1,133.3,804376
2024-01-09,134.7,134.75,130.1,132.2,666532
2024-01-10,132.25,137.8,132.25,135.4,1641336
2024-01-11,137.0,137.0,132.5,133.45,548252
2024-01-12,134.5,138.95,131.75,137.75,1048292
2024-01-15,138.75,138.75,134.25,135.2,338784
2024-01-16,134.0,136.0,131.4,132.5,478660
2024-01-17,130.2,138.2,130.2,134.3,837712
2024-01-18,134.2,135.7,130.3,133.6,420064
2024-01-19,133.6,138.65,133.6,137.1,904880
2024-01-20,138.0,141.85,135.0,141.1,1538864
2024-01-23,143.0,149.6,142.9,146.7,2103972
2024-01-24,147.5,152.0,145.65,150.45,2278552
2024-01-25,153.2,154.0,149.8,152.7,1687356
2024-01-29,155.0,155.0,146.75,149.65,1492856
2024-01-30,149.65,155.0,149.65,153.85,1135912
2024-01-31,154.75,168.1,153.8,165.25,2287764
2024-02-01,165.75,166.15,160.5,163.1,516104
