date,open,high,low,close,volume
2018-07-05,2.3,2.35,2.25,2.3,29650
2018-07-06,2.35,2.4,2.3,2.4,91380
2018-07-09,2.35,2.45,2.25,2.35,7325
2018-07-10,2.35,2.45,2.3,2.3,34105
2018-07-11,2.3,2.35,2.3,2.35,5255
2018-07-12,2.3,2.4,2.25,2.25,115455
2018-07-13,2.3,2.7,2.15,2.4,427165
2018-07-16,2.5,2.5,2.3,2.3,103750
2018-07-17,2.25,2.4,2.25,2.35,33960
2018-07-18,2.45,2.45,2.3,2.3,68825
2018-07-19,2.3,2.35,2.25,2.35,103625
2018-07-20,2.3,2.35,2.3,2.35,18710
2018-07-23,2.3,2.4,2.2,2.3,163790
2018-07-24,2.35,2.55,2.3,2.45,118325
2018-07-25,2.65,2.65,2.25,2.35,111990
2018-07-26,2.4,2.45,2.35,2.4,33005
2018-07-27,2.55,2.65,2.35,2.45,60475
2018-07-30,2.35,2.5,2.35,2.45,30465
2018-07-31,2.45,2.75,2.45,2.65,101115
2018-08-01,2.65,3.2,2.65,3.2,732165
2018-08-02,3.3,3.35,3.0,3.05,816075
2018-08-03,3.1,3.4,3.0,3.3,392990
2018-08-06,3.25,3.65,3.15,3.55,321640
2018-08-07,3.7,3.7,3.4,3.4,375670
2018-08-08,3.4,3.4,3.3,3.3,127495
2018-08-09,3.3,3.35,3.2,3.25,112760
2018-08-10,3.25,3.35,3.1,3.3,193060
2018-08-13,3.4,3.4,3.05,3.05,87090
2018-08-14,3.1,3.35,3.1,3.35,249385
2018-08-16,3.35,3.45,3.25,3.25,136300
2018-08-17,3.4,3.4,3.2,3.2,39050
2018-08-20,3.2,3.55,2.95,3.5,413730
2018-08-21,3.55,3.75,3.3,3.3,253685
2018-08-23,3.15,3.45,3.15,3.25,100480
2018-08-24,3.35,3.4,3.25,3.4,63155
2018-08-27,3.55,3.55,3.2,3.25,152355
2018-08-28,3.3,3.4,3.2,3.25,32935
2018-08-29,3.35,3.35,3.2,3.2,69370
2018-08-30,3.35,3.35,3.0,3.15,47940
2018-08-31,3.25,3.25,3.15,3.2,61320
2018-09-03,3.3,3.3,3.25,3.25,26785
2018-09-04,3.3,3.3,3.15,3.15,23860
2018-09-05,3.25,3.25,2.85,2.9,182955
2018-09-06,2.9,3.1,2.85,2.95,57095
2018-09-07,2.9,3.05,2.85,2.95,41990
2018-09-10,2.9,3.25,2.85,3.1,121955
2018-09-11,3.15,3.35,3.05,3.25,126310
2018-09-12,3.2,3.4,3.15,3.3,89785
2018-09-14,3.45,3.45,3.2,3.35,98165
2018-09-17,3.35,3.7,3.3,3.65,1270120
2018-09-18,3.7,4.0,3.45,3.9,590695
2018-09-19,4.15,4.15,3.7,3.8,366225
2018-09-21,3.9,3.95,3.6,3.7,335700
2018-09-24,3.7,3.85,3.4,3.5,398930
2018-09-25,3.45,3.45,3.15,3.15,185590
2018-09-26,3.15,3.4,3.05,3.3,100590
2018-09-27,3.3,3.45,3.25,3.4,109985
2018-09-28,3.5,3.55,3.4,3.55,143315
2018-10-01,3.55,3.55,3.35,3.35,20850
2018-10-03,3.2,3.35,3.2,3.2,51205
2018-10-04,3.1,3.3,3.05,3.05,25130
2018-10-05,3.15,3.15,2.9,2.9,16885
2018-10-08,2.8,3.05,2.75,2.8,124295
2018-10-09,2.9,2.9,2.7,2.75,31890
2018-10-10,2.7,2.85,2.7,2.85,52525
2018-10-11,2.75,3.0,2.75,2.9,12010
2018-10-12,3.0,3.05,3.0,3.05,6920
2018-10-15,3.2,3.2,3.2,3.2,32510
2018-10-16,3.3,3.35,3.3,3.35,37135
2018-10-17,3.5,3.55,3.35,3.5,72235
2018-10-19,3.3,3.4,3.3,3.3,12480
2018-10-22,3.2,3.3,3.15,3.3,63570
2018-10-23,3.3,3.3,3.2,3.3,44430
2018-10-24,3.3,3.45,3.2,3.3,89780
2018-10-25,3.3,3.45,3.2,3.35,43830
2018-10-26,3.3,3.3,3.2,3.3,79490
2018-10-29,3.15,3.45,3.15,3.25,19350
2018-10-30,3.4,3.4,3.15,3.2,21720
2018-10-31,3.2,3.3,3.15,3.15,50000
2018-11-01,3.3,3.3,3.1,3.15,17510
2018-11-02,3.25,3.25,3.05,3.05,24310
2018-11-05,3.2,3.2,2.95,3.15,5300
2018-11-06,3.15,3.3,3.0,3.15,36720
2018-11-09,3.35,3.35,3.15,3.15,18720
2018-11-12,3.15,3.3,3.15,3.3,201225
2018-11-13,3.45,3.5,3.4,3.45,71010
2018-11-14,3.65,3.65,3.65,3.65,16885
2018-11-15,3.8,3.8,3.8,3.8,80865
2018-11-16,4.0,4.0,4.0,4.0,61730
2018-11-19,4.2,4.2,4.2,4.2,45505
2018-11-20,4.4,4.4,4.4,4.4,391015
2018-11-21,4.6,4.6,4.6,4.6,101355
