date,open,high,low,close,volume
2018-07-05,61.25,69.85,61.25,67.75,8060366
2018-07-06,67.0,67.65,65.25,66.15,1300362
2018-07-09,66.8,70.7,66.45,67.15,2384211
2018-07-10,67.7,68.6,66.9,67.45,828493
2018-07-11,67.25,67.85,64.95,65.5,334937
2018-07-12,65.9,69.15,65.6,67.65,1145775
2018-07-13,67.7,67.8,64.85,65.95,514988
2018-07-16,65.9,65.9,62.9,63.25,521709
2018-07-17,62.8,66.1,62.5,64.65,1157478
2018-07-18,64.85,65.7,63.15,64.05,1037529
2018-07-19,64.7,64.7,62.6,63.3,401589
2018-07-20,63.0,64.2,62.65,63.55,296650
2018-07-23,64.05,67.3,61.9,63.7,4177446
2018-07-24,63.75,64.95,61.3,62.5,1069767
2018-07-25,62.95,63.45,60.95,61.35,613089
2018-07-26,61.3,62.65,60.95,61.35,579400
2018-07-27,61.4,62.15,60.05,60.7,386654
2018-07-30,61.25,61.75,60.3,60.65,216620
2018-07-31,60.65,61.1,57.65,58.85,943844
2018-08-01,59.4,60.95,58.85,60.1,456422
2018-08-02,60.1,60.4,58.6,58.9,254203
2018-08-03,58.95,63.75,58.95,62.75,1236697
2018-08-06,63.35,64.5,60.25,61.0,741967
2018-08-07,60.95,61.85,59.5,59.7,403808
2018-08-08,59.95,60.25,58.2,58.6,442394
2018-08-09,58.6,59.95,58.35,58.8,419991
2018-08-10,58.8,60.0,58.4,58.85,383497
2018-08-13,58.95,59.8,58.5,59.2,361244
2018-08-14,59.2,60.65,59.2,59.65,344730
2018-08-16,59.65,61.75,59.2,59.8,408523
2018-08-17,60.0,60.55,59.25,59.45,249434
2018-08-20,59.9,60.1,58.8,59.2,202848
2018-08-21,59.3,60.25,58.5,59.55,209409
2018-08-23,60.0,60.0,58.8,59.15,265234
2018-08-24,58.7,59.5,57.85,58.05,302549
2018-08-27,57.85,58.8,57.45,57.75,247205
2018-08-28,57.9,59.15,57.3,57.95,374568
2018-08-29,58.2,58.7,57.55,57.9,183657
2018-08-30,58.1,58.3,56.4,56.85,371709
2018-08-31,56.9,57.35,55.95,56.35,321912
2018-09-03,56.35,57.1,56.3,56.55,201365
2018-09-04,56.55,56.95,54.45,55.55,459462
2018-09-05,56.25,56.25,53.5,54.35,286228
