date,open,high,low,close,volume
2018-07-05,1107.6,1107.6,1070.65,1081.0,38755
2018-07-06,1081.6,1109.8,1080.0,1099.6,10765
2018-07-09,1094.35,1109.8,1092.0,1101.55,3780
2018-07-10,1102.0,1120.0,1100.0,1115.0,6830
2018-07-11,1109.75,1112.0,1090.0,1109.9,16230
2018-07-12,1124.0,1124.0,1090.6,1093.55,8810
2018-07-13,1115.0,1115.0,1076.0,1079.95,13595
2018-07-16,1070.0,1088.6,1070.0,1072.15,3970
2018-07-17,1080.0,1093.2,1054.7,1058.4,95285
2018-07-18,1061.2,1073.75,1061.15,1069.0,16295
2018-07-19,1060.6,1068.8,1042.0,1043.55,6215
2018-07-20,1043.6,1065.95,1025.65,1043.6,23225
2018-07-23,1043.4,1061.95,1037.4,1051.75,4450
2018-07-24,1061.0,1085.95,1041.3,1064.15,5130
2018-07-25,1079.9,1079.9,1056.0,1059.1,43780
2018-07-26,1060.0,1078.75,1057.05,1060.2,5395
2018-07-27,1060.0,1080.0,1051.0,1058.25,59925
2018-07-30,1063.0,1063.0,1052.0,1056.9,61830
2018-07-31,1056.0,1060.0,1050.25,1052.15,17710
2018-08-01,1060.0,1060.0,1052.2,1059.5,2185
2018-08-02,1056.0,1059.8,1046.0,1048.8,3065
2018-08-03,1052.0,1059.8,1040.75,1057.8,64715
2018-08-06,1041.45,1058.0,1041.45,1054.95,2860
2018-08-07,1058.0,1058.0,1043.2,1050.1,117585
2018-08-08,1058.0,1058.0,1050.1,1057.6,24055
2018-08-09,1058.0,1085.0,1050.5,1074.2,141660
2018-08-10,1084.8,1084.8,1061.0,1066.65,4830
2018-08-13,1066.65,1084.55,1060.2,1079.95,16475
2018-08-14,1083.85,1083.85,1062.4,1075.75,3625
2018-08-16,1066.0,1080.0,1059.2,1061.85,11800
2018-08-17,1077.1,1077.1,1047.0,1050.15,21950
2018-08-20,1060.0,1068.0,1052.05,1058.15,4885
2018-08-21,1060.0,1060.0,1043.05,1048.1,13535
2018-08-23,1058.0,1060.0,1047.05,1057.1,6920
2018-08-24,1048.85,1089.55,1042.95,1074.65,68820
2018-08-27,1084.0,1086.05,1072.0,1077.4,5010
2018-08-28,1071.8,1075.0,1060.35,1065.3,13135
2018-08-29,1061.2,1104.8,1061.2,1087.7,20535
2018-08-30,1097.45,1102.8,1080.4,1086.05,56830
2018-08-31,1086.0,1111.0,1068.25,1089.5,27965
2018-09-03,1114.0,1123.4,1100.5,1109.95,18450
2018-09-04,1099.0,1150.0,1096.0,1101.4,37055
2018-09-05,1100.35,1102.0,1073.0,1085.95,5265
2018-09-06,1084.0,1110.0,1082.2,1091.7,89915
2018-09-07,1091.9,1113.2,1062.45,1103.3,9835
2018-09-10,1111.0,1113.0,1086.25,1099.85,7970
2018-09-11,1095.5,1100.0,1070.4,1082.35,10295
2018-09-12,1082.0,1100.0,1072.2,1096.0,4855
2018-09-14,1092.0,1097.6,1074.6,1087.3,9095
2018-09-17,1085.0,1108.8,1073.4,1093.2,6865
2018-09-18,1104.8,1112.4,1085.2,1093.4,5255
2018-09-19,1098.05,1108.35,1082.2,1093.4,343835
2018-09-21,1100.0,1108.0,1066.4,1088.7,26480
2018-09-24,1080.0,1094.65,1058.0,1064.4,58250
2018-09-25,1064.45,1070.0,1038.6,1060.7,17380
2018-09-26,1071.4,1081.1,1035.45,1070.95,25850
2018-09-27,1063.95,1079.8,1047.0,1060.55,35600
2018-09-28,1078.0,1105.5,1035.0,1075.2,18495
2018-10-01,1060.25,1075.8,1038.0,1049.1,248995
2018-10-03,1055.65,1055.65,1038.0,1042.5,4605
2018-10-04,1050.0,1050.0,1014.0,1040.05,22015
2018-10-05,1030.0,1043.15,1021.05,1025.65,89705
2018-10-08,1025.35,1027.4,988.0,1011.55,35800
2018-10-09,1079.6,1079.6,984.85,996.8,15745
2018-10-10,990.0,1048.0,985.25,1020.65,33030
2018-10-11,1000.05,1045.0,1000.0,1031.85,6710
2018-10-12,1047.45,1059.6,1021.6,1045.45,4850
2018-10-15,1045.45,1056.25,1022.0,1042.7,20525
2018-10-16,1059.1,1059.1,1017.05,1023.55,11310
2018-10-17,1030.7,1038.0,1010.0,1012.3,34620
2018-10-19,1028.0,1028.0,992.0,998.55,29400
2018-10-22,990.0,1032.0,965.4,974.4,54095
2018-10-23,980.0,990.0,921.1,967.85,78795
2018-10-24,985.0,985.0,952.05,960.0,37820
2018-10-25,960.0,973.45,957.0,960.6,4040
2018-10-26,957.8,970.0,956.2,961.4,70875
