date,open,high,low,close,volume
2018-07-05,34.16,34.93,33.91,34.79,743142
2018-07-06,36.05,36.97,35.22,36.48,3034886
2018-07-09,37.21,37.21,35.42,35.85,1217714
2018-07-10,36.14,36.97,35.8,36.39,753715
2018-07-11,36.05,37.31,35.8,36.63,1049579
2018-07-12,36.73,38.23,36.39,37.89,2274559
2018-07-13,38.08,38.81,36.1,36.24,1463666
2018-07-16,36.29,36.34,34.93,35.17,546568
2018-07-17,35.22,35.71,34.59,35.22,497646
2018-07-18,35.61,35.66,34.4,34.59,536364
2018-07-19,34.74,34.88,34.06,34.2,368611
2018-07-20,34.11,34.64,33.62,34.25,510685
2018-07-23,34.45,34.49,33.57,34.06,617698
2018-07-24,34.35,35.8,34.2,35.32,601722
2018-07-25,35.8,36.19,35.27,35.47,469708
2018-07-26,35.56,35.8,34.79,35.03,376059
2018-07-27,35.22,36.44,35.22,35.71,645109
2018-07-30,35.95,36.44,35.66,36.05,646917
2018-07-31,36.19,37.21,35.95,36.73,1025801
2018-08-01,36.78,37.11,36.29,36.68,445353
2018-08-02,36.58,37.21,36.44,36.68,708829
2018-08-03,37.02,37.75,36.58,37.31,1357310
2018-08-06,36.19,36.19,34.49,34.93,2149400
2018-08-07,35.22,35.32,34.54,34.69,656114
2018-08-08,34.98,34.98,34.25,34.45,463463
2018-08-09,34.69,35.03,34.16,34.3,930107
2018-08-10,34.4,35.13,34.25,34.4,558525
2018-08-13,34.35,34.35,33.57,33.62,473623
2018-08-14,33.72,34.01,33.62,33.86,430320
2018-08-16,33.62,35.42,33.23,33.43,1356999
2018-08-17,33.62,34.06,33.28,33.43,555235
2018-08-20,33.62,34.01,33.48,33.86,638165
2018-08-21,34.01,34.01,33.57,33.67,435913
2018-08-23,33.82,34.01,33.14,33.28,500699
2018-08-24,33.38,33.67,32.94,32.99,673033
2018-08-27,33.09,33.33,32.85,32.94,532604
2018-08-28,33.18,33.23,31.15,31.49,1478859
2018-08-29,31.63,32.07,31.2,31.78,842311
2018-08-30,31.83,32.31,31.39,31.49,790476
2018-08-31,31.58,31.78,31.1,31.49,1107949
2018-09-03,31.68,32.02,31.15,31.24,1241240
2018-09-04,31.29,31.97,31.1,31.2,855300
2018-09-05,31.29,31.44,30.13,30.81,933276
2018-09-06,31.0,31.24,30.27,31.1,632631
2018-09-07,31.29,31.44,30.76,31.0,407051
2018-09-10,31.78,31.78,30.56,30.81,2801241
2018-09-11,31.97,32.26,30.03,30.61,6252084
2018-09-12,30.18,30.27,28.72,29.4,1964107
2018-09-14,29.69,29.89,29.26,29.4,954425
2018-09-17,29.11,29.55,28.82,29.11,854467
2018-09-18,29.11,30.9,28.82,29.21,4007970
2018-09-19,29.3,29.4,28.58,28.77,937676
2018-09-21,29.06,29.11,26.64,27.61,3170045
2018-09-24,27.41,27.85,26.1,26.73,2427020
2018-09-25,27.12,27.46,25.76,26.78,1676178
2018-09-26,26.93,27.02,26.2,26.39,747552
2018-09-27,26.54,26.64,25.52,25.66,646389
2018-09-28,25.96,26.0,23.82,24.16,1438105
2018-10-01,24.31,24.65,23.34,24.45,853075
2018-10-03,24.55,25.76,23.97,25.03,854435
2018-10-04,24.79,25.76,24.06,25.08,877094
2018-10-05,24.89,25.08,23.97,24.16,739784
2018-10-08,24.31,24.31,23.14,23.43,825524
2018-10-09,23.72,24.02,22.85,23.34,809197
2018-10-10,23.72,24.5,23.38,24.16,981367
2018-10-11,23.68,25.33,23.29,24.79,1432455
2018-10-12,24.99,25.76,24.99,25.23,826379
2018-10-15,25.47,25.47,24.79,25.23,473433
2018-10-16,25.18,26.39,25.13,25.76,1144847
2018-10-17,26.0,26.25,24.4,24.6,756578
2018-10-19,24.11,24.6,23.14,23.68,816538
2018-10-22,23.87,24.35,23.34,23.72,621371
2018-10-23,23.38,24.6,23.34,24.06,825414
2018-10-24,24.16,24.4,23.68,23.87,458522
2018-10-25,23.63,26.05,23.43,25.03,1600886
2018-10-26,25.03,25.18,24.35,24.74,564963
2018-10-29,24.89,25.62,24.6,25.47,819546
2018-10-30,25.33,25.86,25.08,25.23,610560
2018-10-31,25.18,25.66,24.79,25.47,608641
2018-11-01,25.33,26.25,25.33,25.91,611516
2018-11-02,25.81,26.68,25.81,26.34,885823
2018-11-05,26.05,26.1,25.18,25.42,629289
2018-11-06,25.28,25.62,25.18,25.33,247500
2018-11-09,28.77,28.77,27.27,27.41,3105244
2018-11-12,27.56,27.56,26.1,26.25,665293
2018-11-13,26.1,27.85,25.96,27.56,1286034
2018-11-14,27.7,27.75,26.49,26.64,706114
2018-11-15,26.64,26.73,26.1,26.25,369965
2018-11-16,26.25,26.78,25.96,26.25,493184
2018-11-19,26.44,26.44,25.86,26.05,295142
2018-11-20,25.96,26.34,25.57,25.66,842718
2018-11-21,25.81,25.86,25.08,25.62,1014723
2018-11-22,25.66,25.86,25.37,25.52,453495
2018-11-26,25.52,25.76,25.08,25.37,408445
2018-11-27,25.91,26.3,25.52,25.81,863383
2018-11-28,25.91,26.0,25.13,25.28,522718
2018-11-29,25.47,25.52,24.94,25.13,541803
2018-11-30,25.13,25.47,24.35,24.45,1475957
2018-12-03,24.69,24.79,24.31,24.6,572910
2018-12-04,24.6,24.79,24.45,24.6,351592
2018-12-05,24.4,24.65,24.31,24.35,311114
2018-12-06,24.31,24.4,23.92,24.02,329878
2018-12-07,24.11,24.21,23.87,24.02,309770
2018-12-10,23.82,24.45,23.34,24.26,560709
2018-12-11,23.87,25.13,23.87,24.94,1012664
2018-12-12,24.89,25.47,24.74,25.08,508624
2018-12-13,24.94,25.23,24.35,24.45,835615
2018-12-14,24.5,24.74,24.26,24.6,496496
2018-12-17,24.6,25.96,24.6,25.28,922192
2018-12-18,25.33,26.25,25.03,25.57,1149564
2018-12-19,25.76,25.76,25.33,25.47,615568
2018-12-20,25.47,26.0,25.37,25.57,839377
2018-12-21,25.62,27.99,25.62,27.27,7806700
2018-12-24,27.51,28.38,27.12,27.56,2178998
2018-12-26,27.41,27.61,26.83,27.22,566609
2018-12-27,27.46,27.75,26.93,27.12,616007
2018-12-28,28.62,28.67,27.41,27.61,2144958
2018-12-31,28.19,28.28,27.7,27.9,1241226
2019-01-01,28.09,28.09,27.46,27.85,586722
2019-01-02,27.85,27.9,26.88,27.02,692192
2019-01-03,27.31,27.31,26.05,26.39,622069
2019-01-04,26.34,26.83,26.2,26.39,616548
2019-01-07,26.54,27.02,26.34,26.54,534611
2019-01-08,26.59,26.73,26.25,26.49,499965
2019-01-09,26.68,27.02,26.15,26.44,514179
2019-01-10,26.44,26.78,26.1,26.2,393986
2019-01-11,26.73,27.17,26.3,26.88,1178368
2019-01-14,26.93,27.17,26.68,26.83,425379
2019-01-15,26.83,27.22,26.68,26.83,383241
2019-01-16,26.93,26.97,26.49,26.59,299023
2019-01-17,26.73,26.73,26.0,26.15,306391
2019-01-18,26.2,26.3,25.76,25.81,217270
2019-01-21,25.81,25.96,25.23,25.37,340739
2019-01-22,25.33,25.47,24.35,24.45,560352
2019-01-23,25.18,25.37,24.69,24.94,667776
2019-01-24,24.89,25.03,24.65,24.74,175323
2019-01-25,24.74,24.94,24.31,24.35,207808
2019-01-28,24.35,24.5,23.14,23.53,566796
2019-01-29,23.53,23.82,23.24,23.53,296228
2019-01-30,23.43,24.26,23.38,23.68,464720
2019-01-31,23.77,24.11,23.43,23.58,338014
2019-02-01,23.63,23.87,23.24,23.29,356587
2019-02-04,23.29,23.53,22.66,22.85,446969
2019-02-05,22.85,23.0,22.03,22.22,303445
2019-02-06,22.46,22.46,21.59,21.69,461982
2019-02-07,21.83,22.37,21.64,21.74,539732
2019-02-08,23.0,23.58,22.61,22.9,1678894
2019-02-11,23.0,23.0,21.88,21.93,383331
2019-02-12,22.03,22.17,20.28,20.76,927029
2019-02-13,20.57,20.91,20.38,20.47,492116
2019-02-14,20.57,20.57,20.18,20.38,617676
2019-02-15,20.33,20.81,20.13,20.23,524040
2019-02-18,20.43,20.43,19.99,20.28,1837227
2019-02-19,20.28,21.1,19.99,20.67,1276179
2019-02-20,20.81,21.2,20.13,20.67,909333
2019-02-21,20.81,21.06,20.47,20.52,939777
2019-02-22,20.67,21.01,20.62,20.91,893091
2019-02-25,21.06,21.54,20.86,20.91,885689
2019-02-26,20.67,20.72,20.23,20.62,1490529
2019-02-27,20.76,21.35,20.23,20.43,1674422
