date,open,high,low,close,volume
2018-07-05,725.0,763.0,717.55,746.7,22390
2018-07-06,741.95,750.5,741.95,749.95,12086
2018-07-09,752.5,755.05,738.75,749.85,12868
2018-07-10,735.0,757.5,735.0,751.55,1256
2018-07-11,738.55,775.0,736.75,763.9,3214
2018-07-12,774.45,774.45,745.0,750.9,22874
2018-07-13,746.5,759.45,740.25,748.85,5832
2018-07-16,744.25,756.5,739.8,753.35,4588
2018-07-17,741.0,756.85,738.3,749.3,2790
2018-07-18,741.05,784.4,735.0,738.6,4406
2018-07-19,731.15,742.85,731.15,739.8,9954
2018-07-20,729.65,740.2,725.1,732.0,2288
2018-07-23,730.05,740.0,730.05,739.95,2910
2018-07-24,737.45,740.0,725.6,732.85,2650
2018-07-25,735.0,740.3,730.15,733.9,62126
2018-07-26,739.95,740.0,727.55,737.55,2652
2018-07-27,740.0,740.0,730.55,735.55,1136
2018-07-30,739.5,740.0,733.15,736.9,3260
2018-07-31,742.0,750.0,740.0,742.15,55832
2018-08-01,748.0,756.0,725.5,736.2,7208
2018-08-02,725.55,759.45,725.55,745.9,5294
2018-08-03,750.0,751.6,730.65,740.2,251852
2018-08-06,740.5,750.0,725.5,729.75,152664
2018-08-07,735.0,774.5,726.0,738.7,849956
2018-08-08,737.5,787.35,731.5,734.65,25154
2018-08-09,735.0,784.5,734.15,770.2,182974
2018-08-10,777.5,795.55,750.0,761.75,8134
2018-08-13,773.15,834.85,760.0,810.4,47718
2018-08-14,819.95,857.5,785.05,808.05,26532
2018-08-16,814.55,829.95,812.55,822.45,10350
2018-08-17,826.0,840.0,811.25,825.65,4532
2018-08-20,814.25,843.0,814.25,829.65,3856
2018-08-21,826.5,837.5,786.75,833.2,6576
2018-08-23,836.0,837.5,820.5,828.0,3186
2018-08-24,825.75,825.75,802.5,817.8,2472
2018-08-27,824.5,842.5,810.5,831.25,2884
2018-08-28,820.0,857.5,820.0,842.8,3476
2018-08-29,838.6,850.1,820.5,835.25,3258
2018-08-30,835.0,849.5,829.4,842.85,1134
2018-08-31,830.25,851.35,830.25,834.5,1828
2018-09-03,834.5,862.5,822.5,827.0,8634
2018-09-04,830.5,850.0,830.5,841.95,1946
2018-09-05,849.5,849.5,806.35,830.5,2394
2018-09-06,820.25,840.25,812.7,829.6,2950
2018-09-07,837.4,875.0,825.6,857.1,3772
2018-09-10,857.05,857.1,833.0,846.8,2618
2018-09-11,860.0,924.4,841.3,876.25,131698
2018-09-12,869.95,873.0,825.5,869.1,23074
2018-09-14,882.0,882.0,845.0,853.95,8194
2018-09-17,852.0,852.1,832.55,836.55,2498
2018-09-18,846.5,846.5,825.0,830.4,1338
2018-09-19,855.0,875.0,845.0,862.45,17148
2018-09-21,882.45,882.45,808.0,853.85,0
2018-09-24,842.0,854.45,809.6,850.8,7250
2018-09-25,833.8,852.5,831.1,848.35,3036
2018-09-26,845.55,857.5,845.45,856.0,1412
2018-09-27,856.0,880.0,835.0,868.0,7042
2018-09-28,885.0,885.0,842.1,861.55,7262
2018-10-01,847.25,851.0,812.55,835.5,8616
2018-10-03,835.55,852.5,834.9,841.0,1656
2018-10-04,826.6,841.5,809.15,836.7,15382
2018-10-05,825.05,841.4,810.0,819.35,14384
2018-10-08,805.0,814.7,776.15,807.55,7142
2018-10-09,825.0,825.0,757.35,770.3,10880
2018-10-10,768.0,843.25,760.0,836.15,8516
2018-10-11,822.5,825.0,785.85,808.7,2152
2018-10-12,854.45,854.5,780.05,794.9,4634
2018-10-15,781.05,807.5,777.5,791.95,61964
2018-10-16,805.95,830.0,787.5,801.25,2724
2018-10-17,820.0,820.0,792.0,795.75,2326
2018-10-19,800.0,800.0,765.0,778.85,1508
2018-10-22,779.0,789.5,763.35,772.45,37310
2018-10-23,772.5,774.85,740.05,752.05,27244
2018-10-24,763.3,790.95,740.8,748.3,1862
2018-10-25,749.5,790.0,738.95,758.25,2690
2018-10-26,747.65,763.95,745.05,752.2,980
2018-10-29,740.95,767.5,740.95,751.6,8592
2018-10-30,752.0,752.0,743.0,749.2,11016
2018-10-31,741.5,752.5,737.0,747.75,7416
2018-11-01,757.5,759.95,741.6,744.85,1064
2018-11-02,755.35,787.0,755.35,770.75,1746
2018-11-05,782.25,792.5,772.5,779.1,5162
2018-11-06,767.4,767.4,700.0,722.8,118690
2018-11-09,710.5,725.0,700.0,718.05,17104
