date,open,high,low,close,volume
2020-09-21,22.0,23.95,21.45,21.9,406745
2020-09-22,21.9,22.0,19.25,20.05,72340
2020-09-23,20.6,20.9,19.2,20.0,24830
2020-09-24,20.6,20.6,19.5,20.05,30235
2020-09-25,20.8,21.2,19.6,20.95,156775
2020-09-28,20.9,21.4,20.25,20.75,67510
2020-09-29,20.75,20.85,20.3,20.4,89025
2020-09-30,20.45,20.8,20.15,20.75,135575
2020-10-01,20.8,20.9,20.2,20.25,56225
2020-10-05,20.4,20.8,20.2,20.35,90290
2020-10-06,20.2,21.7,19.45,21.3,133185
2020-10-07,20.7,21.4,20.7,20.9,153495
2020-10-08,20.7,20.95,20.6,20.8,68155
2020-10-09,20.5,20.8,20.15,20.45,63245
2020-10-12,20.7,20.7,20.2,20.35,66845
2020-10-13,20.65,20.65,20.2,20.3,96190
2020-10-14,19.9,20.65,19.5,19.8,33025
2020-10-15,19.45,20.6,19.4,19.9,40565
2020-10-16,20.0,20.35,19.8,20.2,71170
2020-10-19,20.2,20.3,19.7,19.9,84870
2020-10-20,19.95,20.35,19.65,19.9,65910
2020-10-21,19.8,20.2,19.8,20.0,77695
2020-10-22,19.65,20.25,19.65,20.15,60695
2020-10-23,20.2,21.95,19.7,20.4,43620
2020-10-26,20.5,20.7,18.45,20.15,101700
2020-10-27,20.5,20.7,20.15,20.45,93495
2020-10-28,20.4,20.85,20.25,20.5,70650
2020-10-29,20.3,20.55,20.0,20.2,72935
2020-10-30,20.1,21.0,19.8,19.85,139880
2020-11-02,19.9,20.2,19.9,20.05,75575
2020-11-03,20.0,20.2,19.6,19.6,61450
2020-11-04,19.8,19.95,19.8,19.8,63510
2020-11-05,20.1,20.95,20.05,20.4,96780
2020-11-06,20.2,20.45,19.4,19.95,88055
2020-11-09,19.95,20.25,19.7,20.2,35795
2020-11-10,20.4,20.55,19.8,20.1,107550
2020-11-11,20.4,20.4,19.8,20.4,66695
2020-11-12,20.8,20.8,19.8,20.05,17615
2020-11-13,20.5,20.65,20.0,20.2,70580
2020-11-14,20.8,21.0,20.0,20.35,54685
2020-11-17,20.2,20.75,20.0,20.3,71475
2020-11-18,20.6,20.7,20.05,20.35,81205
2020-11-19,20.0,24.4,19.9,21.4,174790
2020-11-20,22.2,22.9,21.6,21.7,98170
2020-11-23,22.1,22.1,21.1,21.85,106315
2020-11-24,21.0,22.0,21.0,21.1,77330
2020-11-25,20.9,21.6,20.6,20.95,239440
2020-11-26,20.95,21.6,20.75,20.9,59425
2020-11-27,21.0,21.45,20.9,21.15,57915
2020-12-01,21.3,22.2,20.9,21.8,83600
2020-12-02,21.95,21.95,21.2,21.55,77385
2020-12-03,21.8,22.4,21.4,22.15,107250
2020-12-04,22.4,22.4,21.55,22.0,61620
2020-12-07,23.6,26.2,22.2,24.8,228200
2020-12-08,24.8,24.8,23.1,23.6,100150
2020-12-09,23.7,26.2,21.6,25.25,157625
2020-12-10,25.2,26.4,23.6,25.05,88145
2020-12-11,25.95,26.0,23.1,25.2,91760
2020-12-14,25.95,30.2,25.2,30.2,1600915
2020-12-15,31.4,36.25,31.0,34.2,2320880
2020-12-16,34.4,35.6,32.45,34.05,622105
2020-12-17,34.0,34.5,33.0,33.2,124785
2020-12-18,33.95,35.3,32.4,33.95,286420
2020-12-21,33.1,34.8,33.0,33.15,120045
2020-12-22,34.4,34.4,32.0,33.45,238800
2020-12-23,33.1,34.4,33.1,33.55,87975
2020-12-24,33.6,34.4,33.2,34.0,72495
2020-12-28,34.3,34.6,33.0,34.0,1489645
2020-12-29,34.2,34.6,33.3,33.4,72040
2020-12-30,33.6,34.4,33.2,34.15,74330
2020-12-31,35.0,37.55,34.1,36.05,425440
2021-01-01,36.6,37.8,35.65,36.65,109470
2021-01-04,37.6,38.2,36.0,37.3,200460
2021-01-05,36.6,39.2,36.0,38.75,152895
2021-01-06,39.2,40.8,39.2,40.2,226340
2021-01-07,41.25,41.4,39.25,40.15,147445
2021-01-08,40.15,41.35,40.0,40.8,164440
2021-01-11,41.6,41.6,39.6,40.05,126535
2021-01-12,39.05,40.8,38.6,39.95,193585
2021-01-13,40.6,40.8,38.4,39.15,157235
2021-01-14,38.9,39.9,38.0,39.35,186040
2021-01-15,39.45,39.6,36.75,37.6,101745
2021-01-18,39.2,39.2,35.6,36.65,120270
2021-01-19,37.9,38.0,35.85,36.45,157650
2021-01-20,36.45,37.2,36.45,36.6,38445
2021-01-21,37.1,38.0,36.65,37.25,112795
2021-01-22,37.15,37.55,36.0,36.3,65475
2021-01-25,36.45,37.2,34.25,34.9,31720
2021-01-27,35.35,35.6,34.15,35.2,21610
2021-01-28,35.15,35.4,34.25,34.65,14920
2021-01-29,35.05,35.8,34.4,34.65,14965
2021-02-01,35.5,38.1,34.65,38.1,549775
2021-02-02,38.95,39.25,37.3,37.9,174250
2021-02-03,38.8,38.8,37.3,37.7,76500
2021-02-04,37.7,38.8,37.6,38.2,59555
2021-02-05,39.35,39.8,37.7,38.5,108185
2021-02-08,40.0,41.2,40.0,40.4,626260
2021-02-09,40.2,42.15,40.1,41.85,492480
2021-02-10,41.95,41.95,40.6,41.2,59225
2021-02-11,40.8,43.4,40.8,42.9,262870
2021-02-12,43.2,43.4,42.05,42.3,49995
2021-02-15,43.4,45.2,42.5,44.8,129010
2021-02-16,45.35,47.8,44.8,47.55,120860
2021-02-17,47.4,48.0,46.6,46.95,94255
2021-02-18,47.95,48.05,46.2,46.45,78790
2021-02-19,45.4,47.35,44.75,46.85,60760
2021-02-22,47.8,47.8,44.25,45.15,59185
2021-02-23,45.15,46.75,45.0,45.2,23175
2021-02-24,46.65,47.95,45.15,46.55,17015
2021-02-25,47.0,47.75,45.6,45.8,61360
2021-02-26,46.95,46.95,44.6,45.55,72460
2021-03-01,47.0,47.0,45.8,46.4,32615
2021-03-02,47.6,47.6,45.9,46.2,25225
