date,open,high,low,close,volume
2018-07-05,740.0,740.0,700.2,725.0,80
2018-07-06,730.0,730.0,725.0,728.5,162
2018-07-09,764.5,764.5,705.0,720.1,530
2018-07-10,720.5,742.5,720.0,729.8,314
2018-07-11,728.9,728.9,715.0,720.6,238
2018-07-12,706.0,732.5,706.0,718.5,490
2018-07-13,720.0,725.0,718.0,723.6,462
2018-07-16,722.0,724.5,690.0,690.85,492
2018-07-17,709.5,709.5,658.2,690.0,804
2018-07-18,700.0,700.5,680.0,681.5,152
2018-07-19,710.5,710.5,675.0,684.9,42
2018-07-20,665.5,694.9,665.5,676.6,252
2018-07-23,709.0,710.45,690.0,710.35,2712
2018-07-24,745.85,745.85,725.0,728.8,3692
2018-07-25,765.2,765.2,725.5,749.75,750
2018-07-26,764.45,764.45,750.0,750.0,808
2018-07-27,787.4,787.45,712.5,758.8,2660
2018-07-30,796.7,796.7,726.0,765.9,586
2018-07-31,796.5,796.5,730.0,753.55,1088
2018-08-01,791.0,791.0,725.0,731.6,1372
2018-08-02,760.25,760.25,725.0,734.6,808
2018-08-03,750.0,771.3,720.0,727.25,702
2018-08-06,759.0,759.0,730.5,749.5,196
2018-08-07,762.5,770.0,720.5,724.9,586
2018-08-08,757.2,757.2,721.0,735.0,266
2018-08-09,769.95,769.95,720.0,745.0,1308
2018-08-10,726.5,747.5,721.0,721.6,2796
2018-08-13,739.0,739.0,722.0,729.1,66
2018-08-14,707.85,740.0,707.85,710.9,772
2018-08-16,710.05,739.95,708.35,711.4,240
2018-08-17,707.5,734.85,700.0,730.0,920
2018-08-20,730.0,730.0,715.0,720.5,120
2018-08-21,735.0,735.0,708.5,713.0,318
2018-08-23,708.5,740.5,687.5,712.1,556
2018-08-24,745.0,745.0,702.0,705.1,406
2018-08-27,738.35,740.3,712.5,740.3,3730
2018-08-28,759.9,774.5,713.0,723.5,1440
2018-08-29,754.5,754.7,716.0,722.7,342
2018-08-30,725.0,734.0,712.5,734.0,58
2018-08-31,734.0,770.5,720.0,720.0,126
2018-09-03,700.6,752.0,697.5,702.2,15164
2018-09-04,702.5,720.0,670.0,700.0,9226
2018-09-05,712.5,724.5,687.5,699.65,7374
2018-09-06,690.5,702.5,690.5,701.4,11426
2018-09-07,723.9,723.9,691.25,697.45,9454
2018-09-10,700.0,712.0,663.0,699.3,410
2018-09-11,671.5,710.0,665.0,709.95,382
2018-09-12,680.55,700.0,677.5,689.75,186
2018-09-14,689.7,689.7,667.5,681.7,204
2018-09-17,692.6,693.5,673.5,692.5,212
2018-09-18,690.0,712.0,677.5,698.3,22082
2018-09-19,697.5,700.0,680.0,684.9,20616
2018-09-21,693.0,700.5,682.6,689.5,20094
2018-09-24,682.5,682.5,655.0,667.45,1032
2018-09-25,665.0,665.0,634.1,637.1,1474
2018-09-26,637.5,662.5,637.5,654.2,368
2018-09-27,650.0,652.5,621.55,649.45,400
2018-09-28,637.5,649.5,637.5,649.0,172
2018-10-01,637.5,649.5,617.0,649.5,366
2018-10-03,637.5,648.5,635.25,640.25,370
2018-10-04,642.2,670.0,626.1,641.2,438
2018-10-05,625.0,642.5,615.0,615.8,464
2018-10-08,600.0,610.0,585.0,586.9,7874
2018-10-09,585.0,614.95,569.5,574.0,266
2018-10-10,600.0,600.0,575.5,582.5,1440
2018-10-11,561.0,605.0,555.5,561.8,722
2018-10-12,560.5,587.5,560.5,581.0,502
2018-10-15,597.5,610.0,551.95,602.1,3054
2018-10-16,624.0,629.5,591.0,597.6,3846
2018-10-17,572.65,618.45,572.65,601.4,4032
2018-10-19,578.6,613.35,578.6,581.8,216
2018-10-22,582.8,605.0,574.8,575.6,188
2018-10-23,575.0,587.4,575.0,578.2,92
2018-10-24,585.0,597.5,575.05,594.0,72
2018-10-25,565.0,590.0,565.0,588.1,506
2018-10-26,588.1,588.1,560.25,587.3,4666
2018-10-29,570.0,582.5,562.5,579.25,1194
2018-10-30,562.95,582.5,562.95,574.9,410
2018-10-31,599.85,600.0,563.0,576.6,250
2018-11-01,605.4,605.4,567.6,569.95,282
2018-11-02,598.0,598.0,570.5,595.0,56
2018-11-05,570.0,611.0,570.0,600.5,134
2018-11-06,573.5,619.5,573.5,595.25,258
2018-11-09,638.25,638.25,593.5,605.0,66
2018-11-12,612.0,617.0,587.5,612.5,26
2018-11-13,600.0,609.5,581.9,583.5,976
2018-11-14,587.5,593.5,576.05,593.5,388
2018-11-15,575.75,590.0,575.75,590.0,20
