date,open,high,low,close,volume
2018-07-05,787.6,788.3,780.6,783.4,10412
2018-07-06,782.6,800.8,782.6,797.1,4183
2018-07-09,805.4,814.5,799.1,809.6,6105
2018-07-10,807.5,819.1,800.8,813.8,5744
2018-07-11,802.8,819.2,802.8,814.5,4554
2018-07-12,814.5,820.9,810.0,811.5,4979
2018-07-13,810.9,822.8,799.5,808.4,10307
2018-07-16,820.1,820.1,797.4,803.7,4782
2018-07-17,801.7,806.3,796.3,799.7,2250
2018-07-18,799.7,809.8,779.4,786.7,5634
2018-07-19,786.8,787.1,756.0,759.6,18104
2018-07-20,764.2,764.2,752.8,755.6,3189
2018-07-23,752.3,755.5,748.8,751.6,4204
2018-07-24,747.7,771.1,747.7,756.0,266440
2018-07-25,766.5,768.3,732.4,742.4,601058
2018-07-26,757.0,757.0,741.4,746.4,79522
2018-07-27,746.4,759.6,744.1,752.7,104068
2018-07-30,755.1,770.7,751.4,765.9,10894
2018-07-31,773.8,773.8,759.7,768.0,5623
2018-08-01,771.1,780.6,766.5,773.0,6553
2018-08-02,779.8,779.8,756.1,777.9,95559
2018-08-03,782.5,784.8,775.5,779.6,7946
2018-08-06,784.8,792.8,778.0,790.6,11393
2018-08-07,794.0,796.0,784.8,788.5,6828
2018-08-08,794.0,807.7,784.8,789.2,50802
2018-08-09,792.3,793.5,778.7,785.7,8215
2018-08-10,784.0,810.2,775.7,797.6,195435
2018-08-13,788.1,804.5,768.8,784.0,13157
2018-08-14,782.5,796.7,779.5,785.0,58471
2018-08-16,791.7,803.1,787.1,790.6,7274
2018-08-17,794.0,798.5,789.4,792.3,3362
2018-08-20,798.6,817.7,795.0,804.1,8667
2018-08-21,807.7,811.9,796.3,800.5,4292
2018-08-23,805.4,810.9,798.6,803.1,7349
2018-08-24,802.7,821.4,802.7,816.0,13210
2018-08-27,819.2,832.4,819.2,823.8,26325
2018-08-28,819.2,828.3,810.0,818.4,5907
2018-08-29,784.8,819.1,784.8,794.2,143910
2018-08-30,805.4,810.0,794.0,799.9,25085
2018-08-31,800.8,823.7,799.5,820.7,11845
2018-09-03,832.9,832.9,805.4,815.8,8025
2018-09-04,806.9,819.7,803.2,811.4,7988
2018-09-05,805.4,820.7,796.3,810.6,7858
2018-09-06,816.8,816.9,796.7,810.5,102555
2018-09-07,810.0,816.8,800.8,808.6,7669
2018-09-10,812.0,812.0,796.5,800.5,5083
2018-09-11,807.7,820.6,801.0,812.6,12470
2018-09-12,813.0,819.1,790.8,801.8,26416
2018-09-14,810.0,813.6,806.6,809.7,6073
2018-09-17,811.2,811.9,791.2,805.2,5576
2018-09-18,805.6,811.9,793.5,801.1,3976
2018-09-19,794.4,801.7,791.8,797.0,8031
2018-09-21,799.5,805.4,791.7,793.5,6598
2018-09-24,807.7,807.7,779.8,785.8,41037
2018-09-25,780.4,788.9,768.8,778.7,57566
2018-09-26,778.4,789.4,775.1,781.8,40774
2018-09-27,782.6,784.0,769.3,773.7,12504
2018-09-28,773.7,779.8,763.0,770.8,9678
2018-10-01,759.6,787.1,750.5,773.8,11741
2018-10-03,777.5,787.1,770.2,777.1,18136
2018-10-04,772.3,782.5,761.5,778.2,18471
2018-10-05,778.0,780.5,754.5,769.4,43925
2018-10-08,755.5,764.0,752.3,759.0,18680
2018-10-09,759.3,767.0,751.5,753.2,55943
2018-10-10,755.5,770.4,755.1,758.3,10939
2018-10-11,777.9,777.9,744.1,746.5,6461
2018-10-12,748.1,762.0,748.1,755.2,11096
2018-10-15,772.9,772.9,755.7,765.0,51355
2018-10-16,771.1,786.2,766.5,777.9,80442
2018-10-17,783.8,811.5,772.0,777.0,11131
2018-10-19,790.3,811.9,764.3,777.9,86642
2018-10-22,807.7,811.9,779.4,782.6,46604
2018-10-23,783.0,787.1,764.2,766.0,10186
2018-10-24,766.1,790.8,765.6,784.0,42242
2018-10-25,808.2,827.4,796.8,818.9,231248
2018-10-26,818.7,828.3,807.7,815.6,17999
2018-10-29,821.1,821.1,810.2,813.0,72447
2018-10-30,811.0,818.2,810.0,810.8,9895
2018-10-31,810.9,823.3,810.9,816.6,5294
2018-11-01,823.7,826.0,815.5,818.8,8933
2018-11-02,816.0,823.2,816.0,819.0,18746
2018-11-05,821.7,821.7,814.6,819.2,26694
2018-11-06,819.1,819.3,814.6,816.9,54631
2018-11-09,823.7,824.7,815.4,822.3,15358
2018-11-12,828.2,828.8,821.4,828.1,8407
2018-11-13,819.2,845.5,819.2,841.2,32545
2018-11-14,843.0,858.4,843.0,850.9,23343
2018-11-15,858.9,858.9,847.0,848.9,15561
2018-11-16,849.8,856.2,847.0,848.4,6696
2018-11-19,853.5,862.6,843.4,858.4,21113
2018-11-20,858.0,862.6,849.4,854.7,16918
2018-11-21,858.0,862.1,845.8,858.9,27592
2018-11-22,860.3,862.6,853.5,861.4,8067
2018-11-26,866.7,867.2,855.8,858.8,13963
2018-11-27,858.0,862.6,853.5,855.7,6167
2018-11-28,860.3,860.3,846.7,852.7,7325
2018-11-29,853.9,862.6,851.2,856.3,8759
2018-11-30,860.6,874.1,858.2,872.7,27558
2018-12-03,877.7,882.3,874.5,879.4,19925
2018-12-04,880.9,882.7,877.3,879.4,30683
2018-12-05,879.9,883.6,872.7,881.6,33221
2018-12-06,881.4,881.4,868.1,871.0,16551
2018-12-07,880.8,880.8,860.3,863.2,24352
2018-12-10,861.8,861.8,837.5,845.3,527690
2018-12-11,855.7,855.7,841.3,846.3,26342
2018-12-12,846.3,871.8,846.3,869.6,29940
2018-12-13,874.1,875.4,869.5,873.5,31107
2018-12-14,875.4,876.4,869.5,872.9,26886
2018-12-17,871.8,878.6,868.2,874.4,36150
2018-12-18,870.6,885.4,870.0,881.6,63445
2018-12-19,885.5,889.1,881.3,888.1,578432
2018-12-20,860.8,873.6,855.7,870.8,99669
2018-12-21,870.8,880.7,869.1,870.1,34605
2018-12-24,864.9,875.9,864.9,869.9,16950
2018-12-26,869.9,874.1,860.3,867.0,11967
2018-12-27,865.6,877.5,865.6,868.5,6254
2018-12-28,871.1,874.1,865.0,869.1,6653
2018-12-31,869.5,874.1,869.2,872.8,5881
2019-01-01,870.0,880.9,869.5,872.4,6387
2019-01-02,873.2,879.9,869.0,872.8,7498
2019-01-03,867.2,876.7,867.2,869.6,17154
2019-01-04,869.5,874.7,869.5,872.8,7907
2019-01-07,875.3,878.4,870.8,876.4,8108
2019-01-08,878.6,882.3,871.4,879.3,104147
2019-01-09,879.1,887.8,874.7,886.1,844855
2019-01-10,886.9,888.2,882.4,885.7,506529
2019-01-11,885.7,887.8,881.1,887.7,18104
2019-01-14,887.8,887.8,872.3,877.3,17513
2019-01-15,874.1,887.8,874.1,881.9,150102
2019-01-16,887.3,898.9,881.4,886.8,68936
2019-01-17,887.8,891.5,882.1,883.5,24962
2019-01-18,886.0,889.4,880.9,883.0,20802
2019-01-21,876.9,885.1,876.9,881.1,70437
2019-01-22,887.8,887.8,876.8,882.1,22274
2019-01-23,880.9,885.5,880.5,880.9,20523
2019-01-24,885.1,885.1,877.3,880.9,34601
2019-01-25,877.9,885.3,877.9,881.8,19599
2019-01-28,879.1,884.0,876.4,877.8,36713
2019-01-29,879.1,881.4,875.5,878.6,29701
2019-01-30,878.0,883.1,876.1,881.3,45798
2019-01-31,882.8,885.3,875.0,878.6,36811
2019-02-01,883.6,884.4,868.7,873.8,33669
2019-02-04,875.4,885.5,870.8,882.4,39497
2019-02-05,879.6,885.9,874.1,878.5,30894
2019-02-06,873.9,882.7,870.5,880.7,37125
2019-02-07,883.3,886.0,876.7,883.4,38332
2019-02-08,885.5,887.3,876.8,882.0,224800
2019-02-11,876.0,886.8,869.5,883.2,100179
2019-02-12,879.2,892.3,878.6,889.7,29211
2019-02-13,889.7,906.1,877.8,895.2,37846
2019-02-14,896.9,906.1,896.9,899.7,24817
2019-02-15,901.5,910.7,890.2,892.1,117515
2019-02-18,892.4,912.0,888.8,909.2,36941
2019-02-19,914.7,914.7,893.1,899.2,13121
2019-02-20,901.5,908.8,896.0,905.3,9253
2019-02-21,905.3,907.9,893.9,896.4,5324
2019-02-22,896.4,900.2,892.9,896.0,46561
2019-02-25,892.4,919.8,892.4,906.8,76079
2019-02-26,906.8,912.4,892.4,898.8,12656
2019-02-27,896.9,910.7,896.9,900.4,7434
2019-02-28,906.1,906.1,881.0,886.1,62519
2019-03-01,886.1,892.8,881.0,884.7,52585
2019-03-05,886.3,910.2,885.1,893.5,25508
2019-03-06,896.9,901.1,887.8,891.8,16696
2019-03-07,887.8,901.5,885.6,896.5,188820
2019-03-08,891.0,903.8,890.6,896.8,15744
2019-03-11,894.7,901.5,882.6,886.5,49326
2019-03-12,894.2,909.3,886.5,901.0,216305
2019-03-13,902.5,907.4,894.7,900.1,8317
2019-03-14,898.6,901.9,885.5,888.5,69198
