date,open,high,low,close,volume
2018-07-05,169.0,169.75,164.35,166.05,45061
2018-07-06,166.1,167.0,163.15,163.7,24187
2018-07-09,167.0,167.0,163.25,164.55,23879
2018-07-10,167.05,168.05,164.15,165.35,31849
2018-07-11,165.1,168.05,164.25,165.15,43900
2018-07-12,163.2,164.9,158.95,159.7,41536
2018-07-13,159.25,161.2,158.5,160.85,11484
2018-07-16,163.15,163.15,150.7,155.25,78160
2018-07-17,155.0,158.15,152.4,156.75,48447
2018-07-18,156.75,159.45,156.75,158.3,27819
2018-07-19,158.9,160.2,157.85,158.5,12943
2018-07-20,158.5,159.15,157.55,158.6,15512
2018-07-23,158.35,160.05,156.3,157.95,19333
2018-07-24,159.05,165.15,157.3,162.55,50120
2018-07-25,162.55,165.6,157.95,158.85,17794
2018-07-26,158.25,160.1,155.3,156.4,86946
2018-07-27,156.3,157.85,151.0,152.3,91669
2018-07-30,152.5,154.9,148.65,151.0,58009
2018-07-31,150.75,160.0,150.75,157.3,51004
2018-08-01,154.35,157.0,149.7,151.25,97041
2018-08-02,151.4,153.6,149.7,150.25,44429
2018-08-03,150.45,151.35,142.7,146.95,168723
2018-08-06,151.45,151.45,147.55,149.35,75885
2018-08-07,150.15,151.0,145.6,147.35,74844
2018-08-08,147.5,150.6,147.5,149.15,44258
2018-08-09,150.2,150.25,130.05,132.95,547356
2018-08-10,133.0,135.35,115.65,116.85,1064378
2018-08-13,119.2,124.85,115.4,118.25,773785
2018-08-14,119.25,121.0,112.6,115.75,687129
2018-08-16,113.45,117.4,108.05,108.8,879114
2018-08-17,110.4,122.9,110.4,117.95,877285
2018-08-20,120.25,137.25,120.25,125.05,2459675
2018-08-21,126.55,134.65,126.2,127.4,1524053
2018-08-23,128.55,133.85,127.05,132.85,755224
2018-08-24,132.85,135.7,131.1,132.35,313481
2018-08-27,133.65,134.1,127.25,128.05,227759
2018-08-28,129.25,132.15,127.05,128.2,352673
2018-08-29,128.8,129.65,125.15,126.4,200713
2018-08-30,127.35,128.75,125.6,126.85,272037
2018-08-31,127.0,128.0,124.55,126.15,249008
2018-09-03,127.0,127.8,123.1,124.5,137772
2018-09-04,125.25,125.25,119.85,120.75,182737
2018-09-05,120.15,125.0,118.25,124.45,91951
2018-09-06,126.5,126.5,122.25,125.55,56037
2018-09-07,126.85,126.85,123.1,124.0,52158
2018-09-10,124.35,124.95,120.4,121.45,69450
2018-09-11,121.35,123.6,119.2,119.45,67726
2018-09-12,119.75,122.1,115.65,120.05,69300
2018-09-14,122.1,122.15,119.3,120.2,48150
2018-09-17,119.2,121.3,118.2,118.8,55476
2018-09-18,118.2,119.4,116.8,117.2,36969
2018-09-19,116.7,119.2,115.3,115.9,68781
2018-09-21,116.5,117.25,106.5,108.05,190168
2018-09-24,110.4,110.4,99.65,100.3,129547
2018-09-25,101.6,104.55,99.2,103.8,52773
2018-09-26,104.05,111.1,102.65,104.25,65954
2018-09-27,107.0,107.0,100.65,102.35,43769
2018-09-28,102.6,103.5,95.75,97.0,114198
2018-10-01,97.0,97.0,91.35,93.85,76184
2018-10-03,95.2,97.9,93.95,96.55,60512
2018-10-04,93.05,99.6,90.85,94.2,135795
2018-10-05,93.3,96.7,92.2,95.2,50180
2018-10-08,94.75,94.75,87.95,90.6,54364
2018-10-09,91.9,93.85,88.45,90.35,60263
2018-10-10,89.9,92.3,89.8,90.2,162045
2018-10-11,87.95,89.75,83.05,86.75,76698
2018-10-12,87.05,93.15,87.05,90.9,53395
2018-10-15,92.2,97.7,90.8,96.35,101118
2018-10-16,97.65,97.65,95.25,96.6,69251
2018-10-17,97.7,97.7,93.05,95.4,70362
2018-10-19,95.75,96.7,90.6,92.5,90693
2018-10-22,92.8,95.75,90.25,92.45,30139
2018-10-23,93.1,93.1,88.9,89.8,19889
2018-10-24,90.1,91.6,88.0,88.5,30486
2018-10-25,87.95,89.3,81.05,88.25,51231
2018-10-26,86.05,89.4,85.05,88.5,70693
2018-10-29,89.2,89.4,87.25,88.35,97068
2018-10-30,88.4,89.4,86.15,87.95,66481
2018-10-31,87.15,89.4,87.05,88.45,45254
2018-11-01,89.9,91.45,88.4,89.3,52785
2018-11-02,90.15,94.85,89.5,93.25,78289
2018-11-05,94.25,94.75,91.85,93.1,24499
2018-11-06,93.8,93.9,92.3,93.05,16396
2018-11-09,95.75,95.95,92.8,93.3,23709
2018-11-12,95.75,96.7,92.85,94.35,33028
2018-11-13,94.6,96.7,87.45,93.05,106110
2018-11-14,90.85,90.85,83.05,87.95,156176
2018-11-15,87.35,91.75,87.35,91.35,309128
2018-11-16,92.6,92.6,89.4,89.55,29316
2018-11-19,88.4,90.4,87.45,89.5,56040
2018-11-20,89.35,89.85,87.45,88.0,96454
2018-11-21,88.0,90.7,87.8,89.1,93305
2018-11-22,90.4,90.4,87.95,88.25,38919
2018-11-26,87.95,88.8,87.85,88.0,65635
2018-11-27,88.05,89.65,87.85,89.35,153669
2018-11-28,90.3,90.3,89.0,89.55,54695
2018-11-29,89.4,90.75,88.05,89.9,168973
2018-11-30,90.85,91.35,89.1,89.95,51547
2018-12-03,90.85,91.2,88.9,89.35,51559
2018-12-04,89.9,90.85,88.2,89.45,72493
2018-12-05,90.1,90.7,87.95,88.35,47701
2018-12-06,89.2,89.2,86.45,87.15,41407
2018-12-07,87.1,88.8,84.05,86.85,171535
2018-12-10,86.85,86.85,83.25,85.0,95112
2018-12-11,83.05,85.95,83.05,84.3,57634
2018-12-12,84.1,86.0,83.75,84.95,65685
2018-12-13,85.1,91.45,85.1,88.0,121897
2018-12-14,88.05,88.55,86.45,86.75,18270
2018-12-17,87.7,87.95,85.5,87.45,28823
2018-12-18,88.3,88.8,84.9,86.8,524469
2018-12-19,87.9,87.95,85.95,86.3,90096
2018-12-20,86.15,87.1,85.2,85.9,45904
2018-12-21,86.0,86.95,84.15,84.85,54409
2018-12-24,85.15,85.15,83.75,84.0,32124
2018-12-26,84.0,84.0,82.8,83.1,24189
2018-12-27,83.2,84.75,81.9,82.15,30453
