date,open,high,low,close,volume
2023-01-06,25.0,26.9,22.15,22.5,504720
2023-01-09,23.55,23.75,22.3,22.75,899950
2023-01-10,23.1,27.3,22.95,27.3,4128970
2023-01-11,29.0,31.2,28.3,30.65,17789860
2023-01-12,30.2,31.5,29.25,31.3,7899000
2023-01-13,31.2,31.5,30.5,30.9,4175300
2023-01-16,31.0,32.4,28.0,28.8,3685620
2023-01-17,28.6,28.6,27.0,27.35,566710
2023-01-18,27.35,27.35,25.55,25.55,2127350
2023-01-19,25.3,28.1,25.3,27.2,2612370
2023-01-20,27.75,27.75,25.3,25.35,509900
2023-01-23,25.9,27.9,25.25,27.5,2758220
2023-01-24,27.7,27.95,26.2,27.35,633950
2023-01-25,27.75,27.75,26.2,26.5,246020
2023-01-27,26.85,27.2,25.35,26.75,368710
2023-01-30,27.25,27.8,26.2,26.75,293350
2023-01-31,26.4,27.8,26.4,27.25,185870
2023-02-01,26.85,27.8,26.4,27.3,242890
2023-02-02,27.6,27.8,26.75,27.25,478410
2023-02-03,27.2,29.65,26.8,28.3,749360
2023-02-06,28.9,30.4,28.9,30.15,480300
2023-02-07,30.6,31.95,29.15,29.9,1329140
2023-02-08,30.2,31.6,29.7,31.1,381140
2023-02-09,31.1,34.0,30.55,33.7,1218170
2023-02-10,34.35,34.8,30.0,31.05,1091930
2023-02-13,30.6,32.75,30.0,31.75,859100
2023-02-14,32.2,32.25,30.1,30.3,344870
2023-02-15,30.75,31.5,30.0,30.0,660400
2023-02-16,30.3,30.55,30.0,30.05,662740
2023-02-17,30.0,31.85,30.0,30.8,627740
2023-02-20,30.9,31.1,30.1,30.2,150130
2023-02-21,30.5,30.85,30.3,30.6,275260
2023-02-22,30.9,30.9,28.8,29.1,360650
2023-02-23,29.25,29.25,28.8,28.85,276800
2023-02-24,29.0,34.6,29.0,34.4,4748990
2023-02-27,34.1,35.5,33.2,33.8,2472980
2023-02-28,33.8,34.35,32.2,32.75,470850
2023-03-01,32.25,33.7,32.15,32.9,639950
2023-03-02,32.55,33.25,31.7,32.2,229050
2023-03-03,32.35,32.7,31.0,31.2,429530
2023-03-06,31.6,34.0,31.0,31.5,1157470
2023-03-08,32.0,32.0,31.05,31.55,175180
2023-03-09,33.0,33.0,30.75,31.0,180190
2023-03-10,31.5,31.5,30.55,30.85,118540
2023-03-13,31.0,32.05,27.5,28.1,815640
2023-03-14,28.5,28.5,26.55,27.55,503980
2023-03-15,28.0,28.5,26.5,26.85,239290
2023-03-16,27.3,27.45,25.6,26.0,352410
2023-03-17,26.35,27.15,26.0,26.45,196240
2023-03-20,26.3,27.25,25.8,26.8,383230
2023-03-21,26.7,27.15,26.4,26.5,294190
2023-03-22,26.1,27.8,26.1,27.1,483300
2023-03-23,27.1,27.1,26.15,26.4,55940
2023-03-24,26.7,27.2,24.8,25.2,296210
2023-03-27,25.1,25.4,20.65,24.2,213690
2023-03-28,23.8,29.0,22.6,28.9,4178670
2023-03-29,29.5,29.9,27.15,28.1,3036620
2023-03-31,28.1,28.35,27.1,27.25,169850
2023-04-03,28.3,28.65,27.15,27.55,268200
2023-04-05,28.2,29.25,27.1,28.4,659170
2023-04-06,28.4,34.0,28.4,31.35,7236940
2023-04-10,31.25,35.5,31.05,34.65,6664800
2023-04-11,35.0,36.9,33.1,33.8,4547700
2023-04-12,33.8,34.2,32.6,33.65,1365520
2023-04-13,33.8,34.0,33.0,33.25,552380
2023-04-17,33.2,34.0,32.75,33.55,286000
2023-04-18,33.55,37.0,33.55,34.3,2340390
2023-04-19,34.7,35.65,34.0,34.3,473310
2023-04-20,34.5,35.0,34.05,34.3,380950
2023-04-21,34.0,34.4,32.9,33.0,884040
2023-04-24,33.0,34.5,31.8,32.7,779260
2023-04-25,33.0,33.7,32.0,32.2,280280
2023-04-26,32.85,33.35,32.0,32.9,517180
2023-04-27,33.25,34.65,32.75,33.6,808060
2023-04-28,33.85,33.95,32.5,33.0,212080
2023-05-02,32.6,34.7,32.6,34.4,576830
2023-05-03,33.0,34.8,33.0,34.45,263170
2023-05-04,34.45,36.1,34.4,34.65,954920
2023-05-05,34.65,34.65,33.45,33.55,1003250
2023-05-08,33.7,34.1,33.0,33.5,156260
2023-05-09,33.8,33.95,33.35,33.4,114970
2023-05-10,33.6,33.9,33.2,33.6,186170
2023-05-11,33.85,33.85,32.3,32.85,198740
2023-05-12,32.95,35.0,32.4,32.7,143990
2023-05-15,33.1,35.5,32.9,34.6,466780
2023-05-16,34.7,37.8,34.15,36.75,1884100
2023-05-17,37.25,38.55,37.1,37.35,1117760
2023-05-18,37.55,37.75,35.65,36.05,500700
2023-05-19,37.95,37.95,35.15,35.5,544750
2023-05-22,35.6,35.65,34.0,34.5,257730
2023-05-23,35.0,36.0,34.4,34.7,339460
2023-05-24,35.0,35.45,34.0,34.2,152520
2023-05-25,34.45,41.05,34.45,40.95,8574680
2023-05-26,42.2,42.5,38.6,40.7,6930720
2023-05-29,40.2,42.65,40.2,40.75,1421320
2023-05-30,41.0,44.0,39.5,39.85,2047330
2023-05-31,40.45,43.35,40.45,41.6,1135040
2023-06-01,42.5,42.75,40.05,40.45,1170100
2023-06-02,40.8,41.05,39.6,39.9,739570
2023-06-05,40.5,47.4,40.15,40.5,9160730
2023-06-06,40.6,40.75,32.4,32.65,10399350
2023-06-07,31.1,34.3,31.05,34.3,607610
2023-06-08,34.0,34.0,32.6,32.65,352550
2023-06-09,32.5,33.0,31.05,31.05,427660
2023-06-12,31.05,31.05,29.5,29.65,296000
2023-06-13,29.7,31.0,28.4,30.65,260480
2023-06-14,31.5,31.5,29.3,29.55,109630
2023-06-15,30.3,30.85,29.5,29.7,93950
2023-06-16,30.4,30.4,29.3,29.8,61870
2023-06-19,30.25,30.25,28.4,28.6,124590
2023-06-20,29.2,29.5,28.0,28.4,104840
2023-06-21,28.0,29.0,28.0,28.45,75370
2023-06-22,29.3,29.3,27.5,28.0,53650
2023-06-23,28.0,28.7,26.7,27.5,55730
2023-06-26,27.4,27.5,26.65,27.0,38890
2023-06-27,27.1,27.4,26.6,27.2,43260
2023-06-28,28.45,28.45,27.2,28.1,96860
2023-06-30,28.5,28.5,27.45,27.85,25180
2023-07-03,28.3,28.3,27.1,27.3,92140
2023-07-04,28.15,28.5,27.3,27.8,54980
2023-07-05,28.3,28.35,27.0,27.85,55660
2023-07-06,28.1,28.8,27.0,27.75,95380
2023-07-07,28.4,28.4,27.4,27.5,46130
2023-07-10,28.3,28.3,27.2,27.55,113510
2023-07-11,28.2,28.2,26.2,26.9,103210
2023-07-12,27.6,27.6,26.55,27.0,51460
2023-07-13,27.4,27.4,26.2,26.55,96790
2023-07-14,26.2,26.55,25.55,26.2,103350
2023-07-17,26.8,27.0,26.0,26.8,74550
2023-07-18,27.2,27.8,26.7,27.05,72340
2023-07-19,27.5,27.55,27.1,27.15,54810
2023-07-20,27.5,27.5,27.0,27.0,53360
2023-07-21,27.5,27.5,26.9,27.15,42300
2023-07-24,27.2,28.5,26.75,28.05,103440
2023-07-25,28.5,29.15,28.05,28.5,197050
2023-07-26,28.9,29.0,28.0,28.2,124620
2023-07-27,28.8,28.8,27.25,27.6,61050
2023-07-28,27.7,27.8,26.2,26.9,77310
2023-07-31,27.0,27.85,26.25,26.75,52490
2023-08-01,26.75,27.35,26.2,26.55,66440
2023-08-02,26.7,27.5,26.6,26.8,57450
2023-08-03,26.9,27.25,26.4,26.5,97950
2023-08-04,27.15,27.15,26.2,26.5,53800
2023-08-07,27.1,27.1,25.8,26.05,101010
2023-08-08,25.9,26.5,25.0,25.55,97980
2023-08-09,26.0,26.1,25.1,25.7,74320
2023-08-10,25.5,25.95,24.7,25.45,149030
2023-08-11,25.6,26.25,25.5,25.95,53420
2023-08-14,27.25,27.25,27.25,27.25,56250
2023-08-16,28.6,28.6,28.0,28.6,1699540
2023-08-17,29.9,30.05,29.3,30.0,1280500
2023-08-18,29.7,30.0,28.8,29.8,523300
2023-08-21,29.2,29.2,29.2,29.2,66160
2023-08-22,28.6,28.6,28.6,28.6,156660
2023-08-23,28.05,28.2,28.05,28.2,269830
2023-08-24,28.8,28.8,28.2,28.2,479940
2023-08-25,28.25,28.35,28.25,28.35,110520
2023-08-28,28.9,28.9,28.7,28.7,64580
2023-08-29,28.5,28.5,28.4,28.4,235710
2023-08-30,28.5,28.8,28.5,28.5,238010
2023-08-31,28.5,28.5,28.4,28.5,146070
2023-09-01,28.5,28.5,28.5,28.5,125660
2023-09-04,28.5,28.5,28.4,28.4,135440
2023-09-05,28.3,28.3,28.25,28.3,325620
