date,open,high,low,close,volume
2018-07-05,455.5,467.2,444.8,464.4,173879
2018-07-06,473.05,493.55,465.5,479.25,1504231
2018-07-09,474.0,486.9,473.1,477.75,268689
2018-07-10,480.85,481.3,468.35,471.4,127874
2018-07-11,467.25,484.25,465.5,471.85,166534
2018-07-12,475.4,479.65,468.5,472.45,108342
2018-07-13,473.0,473.7,439.95,443.1,195983
2018-07-16,444.6,455.35,431.2,445.6,107504
2018-07-17,441.9,454.95,441.9,450.1,57435
2018-07-18,457.55,466.05,445.8,451.8,227591
2018-07-19,455.2,472.05,450.7,454.6,508273
2018-07-20,454.55,457.25,446.75,454.15,65438
2018-07-23,457.45,471.0,442.85,462.15,172134
2018-07-24,465.25,475.1,460.55,463.4,104043
2018-07-25,456.0,459.4,444.2,446.3,186704
2018-07-26,449.9,454.45,443.95,449.4,61616
2018-07-27,448.7,453.4,447.75,449.15,77997
2018-07-30,455.5,455.5,449.05,451.9,45052
2018-07-31,451.65,467.2,449.5,459.9,216939
2018-08-01,462.8,465.25,454.8,460.55,66773
2018-08-02,463.4,465.05,453.05,459.35,47841
2018-08-03,462.35,475.95,459.4,472.4,257889
2018-08-06,476.6,482.75,467.3,471.6,105609
2018-08-07,471.8,496.25,471.8,482.5,825732
2018-08-08,481.8,485.7,469.4,483.75,192990
2018-08-09,489.4,515.85,485.25,509.0,859525
2018-08-10,508.75,524.65,501.5,516.5,550191
2018-08-13,507.1,507.1,485.05,488.9,164553
2018-08-14,486.55,501.15,477.5,480.25,267483
2018-08-16,475.95,477.25,452.6,454.4,365203
2018-08-17,454.6,461.85,450.65,452.5,220178
2018-08-20,454.35,461.35,451.65,453.75,125397
2018-08-21,455.9,463.65,449.9,455.3,282218
2018-08-23,455.25,458.7,450.65,457.4,166729
2018-08-24,457.4,457.45,452.6,452.8,110230
2018-08-27,455.05,464.35,452.6,452.9,158301
2018-08-28,456.1,456.25,452.6,453.05,81799
2018-08-29,453.05,463.3,452.6,453.7,252861
2018-08-30,453.7,456.1,445.6,448.9,114698
2018-08-31,449.2,455.05,444.8,447.3,109644
2018-09-03,447.75,451.65,434.0,436.7,148079
2018-09-04,436.7,437.05,421.1,427.35,209268
2018-09-05,427.7,431.6,415.25,425.2,97922
2018-09-06,428.25,436.05,419.75,427.05,115962
2018-09-07,427.05,428.05,423.3,424.4,77039
2018-09-10,422.35,423.2,413.2,413.95,123157
2018-09-11,414.8,417.25,410.75,413.4,61807
2018-09-12,416.4,426.4,394.8,418.8,950793
2018-09-14,424.85,436.05,417.55,422.8,101478
2018-09-17,423.4,434.1,421.45,428.15,101033
2018-09-18,429.25,433.05,413.85,415.65,188970
2018-09-19,418.55,422.2,409.45,413.45,53921
2018-09-21,418.55,424.95,401.0,406.7,184824
2018-09-24,406.7,407.85,384.25,394.9,129448
2018-09-25,395.95,416.6,393.6,411.9,157728
2018-09-26,416.5,424.35,404.9,409.5,102156
2018-09-27,408.8,408.8,392.25,398.4,135442
2018-09-28,403.85,403.85,383.5,387.85,221369
2018-10-01,389.35,390.95,373.05,385.45,342301
2018-10-03,381.8,398.6,381.8,389.35,351680
2018-10-04,380.55,393.25,378.65,389.15,268290
2018-10-05,383.5,390.15,379.8,383.9,188113
2018-10-08,389.35,396.95,383.9,388.0,355992
2018-10-09,390.9,390.9,374.75,379.5,261763
2018-10-10,379.5,386.4,374.85,380.75,622944
2018-10-11,375.7,400.9,370.15,392.7,622043
2018-10-12,395.55,416.6,392.75,407.45,199338
2018-10-15,410.75,416.05,399.7,406.4,90838
2018-10-16,404.1,424.35,404.1,422.05,133532
2018-10-17,429.25,436.05,422.3,425.05,155661
2018-10-19,423.4,427.0,404.9,414.6,234575
2018-10-22,413.65,426.55,407.25,424.7,83169
2018-10-23,412.45,422.25,404.05,409.3,65058
2018-10-24,411.25,426.25,409.75,421.55,102545
2018-10-25,415.6,421.05,413.65,417.8,77291
2018-10-26,416.05,427.3,407.9,419.25,99970
2018-10-29,420.5,426.55,410.0,423.45,160305
2018-10-30,421.7,439.85,415.85,437.05,107928
2018-10-31,443.5,447.75,428.55,435.65,99624
2018-11-01,435.55,443.9,432.55,440.35,74165
2018-11-02,446.65,449.35,436.9,440.75,81718
2018-11-05,443.65,447.75,429.3,447.05,77250
2018-11-06,452.6,455.45,442.1,452.05,88027
2018-11-09,451.6,456.5,440.85,452.2,177426
2018-11-12,459.8,463.3,433.15,437.15,283889
2018-11-13,435.0,445.8,427.3,442.6,163293
