date,open,high,low,close,volume
2018-07-05,368.75,375.25,360.25,362.8,3355387
2018-07-06,363.65,367.75,357.9,361.25,1906769
2018-07-09,365.3,368.75,359.55,360.4,1645693
2018-07-10,362.65,364.95,352.95,356.45,1493251
2018-07-11,355.45,357.25,339.1,342.15,2175323
2018-07-12,344.9,345.8,327.1,329.5,2834374
2018-07-13,330.05,338.3,324.35,333.55,3389076
2018-07-16,334.1,334.1,314.05,315.85,1528854
2018-07-17,318.45,325.2,311.8,321.65,1459094
2018-07-18,324.35,325.55,308.25,315.0,1852354
2018-07-19,315.25,318.7,303.9,305.75,1723329
2018-07-20,305.75,312.25,303.95,309.25,1223035
2018-07-23,310.85,325.15,309.15,323.75,1726482
2018-07-24,323.15,330.0,322.1,325.95,1098218
2018-07-25,326.05,328.7,319.35,323.2,1000984
2018-07-26,325.85,329.95,315.9,317.5,1805016
2018-07-27,313.6,326.15,313.6,321.3,1066487
2018-07-30,321.6,352.35,320.45,349.8,5326511
2018-07-31,351.6,354.15,341.55,343.6,2407716
2018-08-01,345.35,352.05,340.1,342.65,1383871
2018-08-02,343.75,359.75,342.3,353.1,4075467
2018-08-03,352.95,364.05,344.2,351.45,3083347
2018-08-06,353.85,361.85,352.6,357.45,2170998
2018-08-07,359.2,361.15,347.9,350.6,1372205
2018-08-08,351.5,378.75,336.5,370.65,14488281
2018-08-09,371.95,388.65,371.95,378.7,7323556
2018-08-10,380.2,382.7,363.9,367.55,2725654
2018-08-13,365.35,375.7,360.35,370.3,2133138
2018-08-14,371.7,378.65,361.0,375.55,2386317
2018-08-16,374.7,388.15,370.9,385.8,3323273
2018-08-17,389.55,404.65,386.05,401.25,5906475
2018-08-20,406.2,413.95,398.8,403.2,3753273
2018-08-21,405.65,421.65,403.85,418.0,4952837
2018-08-23,428.5,438.85,423.25,427.65,6283804
2018-08-24,427.1,432.0,413.7,430.6,3094264
2018-08-27,435.15,435.15,422.4,429.95,2198033
2018-08-28,432.1,434.7,423.55,427.05,2053803
2018-08-29,426.85,436.9,422.45,429.35,1854748
2018-08-30,430.2,442.3,430.2,437.8,2351633
2018-08-31,438.75,446.2,436.05,443.7,2799883
2018-09-03,444.95,458.3,442.3,446.1,3503441
2018-09-04,447.45,448.2,425.7,428.8,2076818
2018-09-05,425.05,441.85,425.05,437.0,2683875
2018-09-06,438.55,450.7,437.05,447.75,2178606
2018-09-07,446.95,456.6,440.15,452.9,2242680
2018-09-10,448.55,457.65,435.65,439.35,1711204
2018-09-11,443.15,451.05,435.15,438.4,1883947
2018-09-12,438.45,448.55,428.45,444.3,2098818
2018-09-14,447.2,451.2,442.4,445.3,1434876
2018-09-17,444.0,461.95,438.9,454.5,3910998
2018-09-18,456.35,461.55,441.35,445.15,1851925
2018-09-19,439.6,448.55,422.05,437.65,4804821
2018-09-21,445.85,456.5,395.35,444.8,4467699
2018-09-24,446.75,448.2,413.25,417.95,1835893
2018-09-25,415.1,427.55,398.5,415.15,2514678
2018-09-26,417.25,432.0,416.8,429.7,1648510
2018-09-27,428.0,428.45,408.25,412.95,2274391
2018-09-28,414.5,417.7,385.3,388.6,2142608
2018-10-01,386.0,398.7,369.95,397.05,2101906
2018-10-03,394.05,412.55,389.1,399.55,1826500
2018-10-04,395.8,399.65,374.8,379.0,2083552
2018-10-05,372.9,385.7,366.35,376.5,1611353
2018-10-08,376.85,383.2,353.55,364.35,1879137
