date,open,high,low,close,volume
2018-07-05,10.0,10.0,9.5,9.7,146054
2018-07-06,9.6,10.1,9.55,10.0,149102
2018-07-09,10.3,10.3,9.8,9.9,138770
2018-07-10,10.2,10.3,9.9,10.15,88244
2018-07-11,10.1,10.4,9.9,10.1,97584
2018-07-12,10.1,10.3,10.0,10.1,86660
2018-07-13,10.1,10.25,9.9,9.9,97794
2018-07-16,9.85,9.9,9.5,9.5,69076
2018-07-17,9.8,9.8,9.5,9.6,70708
2018-07-18,9.55,9.7,9.0,9.05,218934
2018-07-19,9.2,9.2,8.6,8.75,180092
2018-07-20,8.95,9.1,8.45,8.9,101034
2018-07-23,8.95,9.0,8.65,8.9,169058
2018-07-24,8.85,9.55,8.85,9.45,154044
2018-07-25,9.5,9.75,9.35,9.5,182538
2018-07-26,9.5,9.5,9.25,9.4,64910
2018-07-27,9.5,10.15,9.4,9.7,235928
2018-07-30,9.5,10.25,9.5,10.2,169428
2018-07-31,10.3,10.45,10.15,10.35,205176
2018-08-01,10.45,11.0,10.3,10.75,304706
2018-08-02,10.7,11.2,10.6,11.0,215406
2018-08-03,11.2,13.15,11.0,12.25,4299322
2018-08-06,12.5,12.7,11.95,12.1,530944
2018-08-07,12.3,12.3,11.4,11.45,238008
2018-08-08,11.4,12.1,11.15,11.55,361612
2018-08-09,11.6,11.7,11.15,11.2,209052
2018-08-10,11.1,11.4,11.1,11.2,100402
2018-08-13,11.1,11.25,10.6,10.7,472872
2018-08-14,10.65,11.5,10.3,10.6,244164
2018-08-16,10.5,10.6,9.95,10.1,293768
2018-08-17,10.1,10.5,10.1,10.35,104630
2018-08-20,10.4,10.8,10.35,10.5,134108
2018-08-21,10.6,10.75,10.5,10.6,156236
2018-08-23,10.7,10.7,10.1,10.4,109818
2018-08-24,10.4,10.5,10.1,10.2,116094
2018-08-27,10.4,10.6,10.1,10.2,186830
2018-08-28,10.3,10.3,9.9,10.0,279460
2018-08-29,9.8,10.1,9.8,9.9,296524
2018-08-30,10.0,10.1,9.8,10.0,112786
2018-08-31,9.95,10.5,9.7,10.0,153806
2018-09-03,10.1,10.4,10.0,10.15,102482
2018-09-04,10.0,10.25,9.8,9.9,119346
2018-09-05,10.0,10.0,9.55,9.65,90648
2018-09-06,9.7,10.3,9.7,10.0,211008
2018-09-07,10.1,10.2,9.8,9.9,125648
2018-09-10,10.0,10.25,9.6,9.9,132218
2018-09-11,10.0,10.0,9.35,9.5,141134
2018-09-12,9.6,9.75,9.3,9.55,122138
2018-09-14,9.75,10.1,9.5,9.8,122868
2018-09-17,9.6,9.8,9.55,9.6,140170
2018-09-18,9.65,9.8,9.4,9.5,143402
