date,open,high,low,close,volume
2018-07-05,591.1,602.6,587.0,595.3,379997
2018-07-06,596.7,600.6,588.4,590.3,154230
2018-07-09,594.6,607.8,589.9,599.6,130721
2018-07-10,608.5,621.4,602.7,614.1,426363
2018-07-11,619.0,619.0,602.5,606.0,104953
2018-07-12,608.2,614.7,592.5,609.7,274970
2018-07-13,618.6,623.6,592.7,600.8,772499
2018-07-16,599.7,599.7,557.8,563.3,395599
2018-07-17,562.7,575.6,557.3,567.2,174782
2018-07-18,568.7,570.6,534.2,546.2,328320
2018-07-19,545.7,556.5,540.6,548.7,208272
2018-07-20,546.7,556.5,544.7,552.6,461627
2018-07-23,552.6,567.6,545.3,566.1,166013
2018-07-24,568.7,594.8,562.6,587.4,308285
2018-07-25,587.4,593.2,573.7,577.4,216440
2018-07-26,577.7,587.7,567.3,570.3,160378
2018-07-27,574.6,581.3,566.1,568.2,146121
2018-07-30,569.8,582.3,568.2,577.8,258655
2018-07-31,579.7,594.7,575.7,578.3,328522
2018-08-01,575.7,597.9,570.3,590.0,461174
2018-08-02,590.0,596.0,581.4,586.9,273088
2018-08-03,585.6,602.8,584.4,586.4,373381
2018-08-06,586.0,597.5,578.9,580.9,211666
2018-08-07,582.6,584.4,572.7,581.2,212774
2018-08-08,584.2,591.7,575.7,581.5,255399
2018-08-09,581.8,599.7,576.2,590.2,266933
2018-08-10,585.3,588.4,550.9,568.3,1022803
2018-08-13,568.5,568.5,554.3,559.0,180576
2018-08-14,558.6,571.7,553.1,565.4,271253
2018-08-16,568.6,568.6,555.0,557.8,246555
2018-08-17,560.5,563.8,549.8,553.6,175399
2018-08-20,556.0,562.9,546.7,551.5,237400
2018-08-21,550.7,558.3,547.3,549.6,155057
2018-08-23,548.6,556.6,543.1,548.9,136310
2018-08-24,549.0,549.7,539.1,542.2,187042
2018-08-27,543.4,554.2,543.4,551.0,261837
2018-08-28,552.7,555.9,542.4,547.3,313779
2018-08-29,544.7,551.7,542.5,548.6,144203
2018-08-30,549.7,563.3,545.7,559.2,589268
2018-08-31,559.7,564.7,536.3,539.7,449154
2018-09-03,543.7,545.4,527.8,531.4,237920
2018-09-04,531.5,534.6,515.5,518.6,709049
2018-09-05,514.7,520.6,504.7,513.1,576355
2018-09-06,510.7,519.3,506.4,516.8,376237
2018-09-07,520.3,533.0,512.7,527.2,595693
2018-09-10,528.0,532.5,518.0,525.4,245745
