date,open,high,low,close,volume
2018-07-05,61.75,62.15,61.3,61.75,80261
2018-07-06,61.55,62.1,60.85,61.15,105727
2018-07-09,61.65,62.05,60.4,61.15,111201
2018-07-10,61.2,62.0,60.6,61.75,95348
2018-07-11,61.55,62.85,61.4,62.25,93732
2018-07-12,62.65,63.1,61.75,62.45,88420
2018-07-13,62.15,62.5,60.55,60.7,77289
2018-07-16,61.1,61.1,57.3,57.7,171125
2018-07-17,59.0,59.0,56.0,57.8,134875
2018-07-18,58.1,58.5,55.5,56.65,121908
2018-07-19,57.2,57.2,54.55,54.85,155374
2018-07-20,54.6,55.4,51.35,55.1,206203
2018-07-23,55.5,55.65,52.5,53.95,188561
2018-07-24,53.85,64.7,53.85,64.7,2012094
2018-07-25,65.4,65.4,59.95,60.3,636299
2018-07-26,60.0,62.4,59.75,61.25,223979
2018-07-27,61.25,66.05,60.8,62.65,618918
2018-07-30,63.3,74.4,62.3,71.1,2942721
2018-07-31,68.5,71.2,67.4,68.7,1614707
2018-08-01,68.35,69.4,67.25,68.6,402356
2018-08-02,68.1,71.0,66.3,69.4,654946
2018-08-03,69.95,70.55,69.1,69.5,184671
2018-08-06,69.9,70.2,67.75,68.2,224022
2018-08-07,68.85,68.85,66.65,67.35,167970
2018-08-08,68.1,68.6,67.2,67.4,295522
2018-08-09,68.05,68.05,66.35,66.9,202751
2018-08-10,66.7,67.35,65.45,65.75,122822
2018-08-13,64.85,66.05,63.55,64.9,180094
2018-08-14,64.9,65.8,62.55,63.85,222000
2018-08-16,64.75,68.85,64.6,66.05,633678
2018-08-17,66.45,67.15,65.85,66.3,191759
2018-08-20,66.35,69.25,65.9,68.5,402536
2018-08-21,68.6,69.35,65.9,67.3,197197
2018-08-23,66.3,67.65,64.85,67.35,191299
2018-08-24,67.35,68.95,66.5,67.65,169397
2018-08-27,67.3,68.65,67.2,67.6,172878
2018-08-28,67.85,70.2,67.2,69.25,395865
2018-08-29,71.2,71.6,69.35,69.9,437714
2018-08-30,70.3,70.5,68.4,68.7,164802
2018-08-31,69.0,70.95,68.1,69.65,194250
2018-09-03,70.35,70.35,68.8,69.05,112226
2018-09-04,68.75,69.0,66.3,67.3,133874
2018-09-05,66.8,70.2,66.35,69.75,461292
2018-09-06,69.75,70.4,69.05,69.55,148134
2018-09-07,70.2,71.95,69.25,71.65,281430
2018-09-10,71.65,73.95,69.1,70.3,324276
2018-09-11,70.85,70.85,66.1,66.75,223073
2018-09-12,67.55,72.65,67.4,68.05,863607
2018-09-14,68.1,69.0,67.65,68.65,223454
2018-09-17,69.15,69.8,67.95,68.85,170773
2018-09-18,68.8,69.8,66.95,67.4,189928
2018-09-19,67.45,68.65,65.2,65.65,218104
2018-09-21,66.7,66.7,61.3,62.3,329700
2018-09-24,63.05,63.9,60.3,60.55,162873
2018-09-25,60.6,60.8,57.95,59.15,279891
2018-09-26,59.3,60.55,57.9,58.1,248410
2018-09-27,58.1,58.55,55.4,57.0,270579
2018-09-28,57.0,57.3,52.75,54.0,388054
2018-10-01,53.55,55.2,50.85,54.65,295774
2018-10-03,55.6,58.35,54.05,56.75,182133
2018-10-04,56.3,56.3,53.35,53.95,305059
2018-10-05,54.3,54.4,50.95,51.7,301813
2018-10-08,53.0,53.0,48.95,50.55,475118
2018-10-09,50.05,52.05,49.0,50.65,230628
2018-10-10,51.05,53.5,50.4,53.05,205385
2018-10-11,50.4,52.5,49.95,51.3,192246
2018-10-12,52.75,54.65,51.0,51.9,422346
2018-10-15,52.25,53.05,51.75,52.65,92786
2018-10-16,53.05,54.95,53.05,54.2,177329
2018-10-17,55.35,55.75,52.2,52.55,461282
2018-10-19,52.55,52.65,50.85,51.4,144420
2018-10-22,51.55,52.7,50.5,50.8,92334
2018-10-23,50.55,51.75,50.25,51.15,77979
2018-10-24,51.25,52.45,50.35,50.95,87987
2018-10-25,51.0,52.35,50.35,51.3,176515
2018-10-26,51.3,52.05,50.65,51.0,128131
2018-10-29,50.65,56.05,50.65,55.0,321462
2018-10-30,55.45,56.55,54.75,55.3,186917
2018-10-31,56.0,56.3,54.65,56.15,240740
2018-11-01,56.3,59.15,56.1,58.3,258729
2018-11-02,59.25,59.85,55.2,56.35,275927
2018-11-05,57.65,59.1,55.5,57.3,357468
2018-11-06,57.65,59.0,57.35,58.0,139288
2018-11-09,59.0,61.2,55.6,60.85,332414
2018-11-12,60.95,62.35,59.7,60.1,149965
2018-11-13,59.3,60.45,59.3,60.0,86269
2018-11-14,59.95,60.65,57.75,59.8,142351
2018-11-15,59.5,60.0,58.15,58.45,109507
2018-11-16,58.6,59.45,57.85,58.0,125410
2018-11-19,58.3,59.15,57.15,58.2,238051
2018-11-20,58.1,59.15,57.2,57.75,151547
2018-11-21,57.95,58.55,56.6,57.4,197505
2018-11-22,57.5,58.15,56.65,57.0,88999
2018-11-26,57.2,57.95,53.9,54.95,126623
2018-11-27,54.55,55.25,53.6,53.8,216214
2018-11-28,53.75,54.65,52.55,52.85,247309
2018-11-29,52.9,53.45,51.15,51.6,323956
2018-11-30,51.7,52.15,50.3,50.55,554687
2018-12-03,50.95,51.35,49.2,49.95,361135
2018-12-04,50.4,51.3,48.75,49.0,845597
2018-12-05,49.05,49.6,47.55,47.95,264466
2018-12-06,47.45,47.85,46.75,46.95,193926
2018-12-07,47.6,47.6,46.15,47.1,5611793
2018-12-10,46.4,52.1,45.55,50.0,2192951
2018-12-11,49.75,51.55,48.4,49.3,1082310
2018-12-12,49.6,52.6,49.2,51.8,1222284
2018-12-13,52.65,54.75,51.85,52.75,2402563
2018-12-14,53.05,53.7,52.4,52.7,368871
2018-12-17,53.15,54.2,51.85,53.45,472288
2018-12-18,53.55,54.55,53.2,53.9,359604
2018-12-19,54.1,54.8,53.65,53.9,388770
2018-12-20,53.85,55.65,53.15,54.3,1122955
2018-12-21,54.35,54.95,52.65,53.05,1260143
2018-12-24,53.55,54.0,52.4,52.55,361256
2018-12-26,52.65,53.05,51.3,52.75,266531
2018-12-27,53.35,54.0,52.65,52.9,241537
2018-12-28,52.9,53.4,52.5,53.25,290960
2018-12-31,53.35,53.95,53.1,53.6,296852
2019-01-01,53.8,54.5,53.4,53.95,198055
2019-01-02,53.95,53.95,52.75,53.25,222845
2019-01-03,53.55,53.55,51.6,51.75,213098
2019-01-04,51.8,52.55,51.45,52.05,169008
2019-01-07,52.45,52.9,51.75,52.15,114052
2019-01-08,52.3,52.55,51.65,52.05,140961
2019-01-09,52.15,54.5,51.85,52.05,195308
2019-01-10,52.55,52.9,51.9,52.55,133176
2019-01-11,52.7,54.6,52.55,53.85,473431
2019-01-14,53.9,54.4,52.7,53.05,369848
2019-01-15,53.3,54.2,53.15,53.55,264669
2019-01-16,53.95,54.95,53.05,54.15,995656
2019-01-17,54.5,59.0,53.95,54.45,531802
2019-01-18,55.1,55.4,53.1,53.4,443284
2019-01-21,53.85,53.85,51.25,52.0,327953
2019-01-22,51.95,52.1,50.0,51.5,270699
2019-01-23,51.3,51.4,50.5,51.05,190848
2019-01-24,51.75,52.3,50.85,51.2,215588
2019-01-25,51.7,51.95,49.35,50.55,384324
2019-01-28,50.65,51.0,47.2,48.4,363446
2019-01-29,48.35,49.0,47.65,48.55,123775
2019-01-30,49.85,51.6,49.5,51.25,351593
2019-01-31,53.4,53.4,49.25,51.6,446289
2019-02-01,51.85,52.0,49.35,50.85,616040
2019-02-04,50.85,56.2,48.2,54.35,2611731
2019-02-05,54.0,54.0,51.75,52.8,506778
2019-02-06,53.7,54.55,52.1,54.2,475707
2019-02-07,53.55,55.1,53.45,54.45,393035
2019-02-08,54.5,55.5,52.4,53.7,538843
2019-02-11,53.15,54.0,50.9,51.25,171899
2019-02-12,51.15,51.15,50.05,50.3,100458
2019-02-13,50.3,51.3,49.55,49.6,203643
2019-02-14,49.6,50.5,49.1,49.55,163158
2019-02-15,49.7,49.7,48.0,48.6,196093
2019-02-18,48.6,48.65,47.2,47.55,312925
2019-02-19,47.65,49.65,47.45,49.15,339128
2019-02-20,49.35,50.85,49.2,50.6,170727
2019-02-21,50.85,51.05,50.25,50.9,182012
2019-02-22,50.9,51.9,50.6,51.6,144237
2019-02-25,51.9,53.3,51.3,53.05,168321
2019-02-26,50.95,54.15,50.95,53.35,326552
2019-02-27,54.1,54.95,52.2,52.55,329689
2019-02-28,52.45,54.0,52.45,53.6,137344
2019-03-01,54.45,54.5,53.05,54.15,121669
2019-03-05,54.15,59.25,53.55,58.45,637023
2019-03-06,59.95,61.45,58.4,60.6,487510
2019-03-07,60.6,61.45,59.0,59.2,219500
2019-03-08,58.85,59.8,58.1,58.95,244425
2019-03-11,59.1,60.0,58.4,59.05,159289
2019-03-12,59.95,64.3,59.35,62.25,717586
2019-03-13,62.2,68.1,62.15,65.7,3921956
2019-03-14,66.3,66.3,64.15,65.45,361340
2019-03-15,65.6,66.3,59.95,61.2,544383
2019-03-18,61.95,62.45,59.45,60.95,260851
2019-03-19,61.1,64.0,60.85,63.45,319705
2019-03-20,63.3,64.65,62.85,64.3,338042
2019-03-22,64.3,65.1,63.65,64.4,248845
2019-03-25,63.2,63.2,61.85,62.45,165877
2019-03-26,63.45,63.8,62.25,62.65,157473
2019-03-27,63.6,64.0,60.75,63.0,317347
2019-03-28,62.85,63.7,62.25,62.75,116374
2019-03-29,62.65,63.6,62.1,62.65,163776
2019-04-01,63.9,64.85,61.6,64.05,339131
2019-04-02,64.1,64.45,63.25,64.0,133546
2019-04-03,64.0,64.6,63.3,63.55,253375
2019-04-04,63.9,64.25,61.4,61.95,244039
2019-04-05,62.4,62.75,60.5,61.3,203972
2019-04-08,61.75,62.45,60.75,61.7,107621
2019-04-09,61.75,61.95,60.75,61.25,71314
2019-04-10,61.4,62.3,61.25,61.7,154757
2019-04-11,61.75,62.4,61.55,61.8,75931
2019-04-12,61.8,62.4,60.9,62.0,107664
2019-04-15,62.65,65.5,62.35,63.7,405768
2019-04-16,64.2,64.6,62.95,63.5,276652
2019-04-18,63.55,63.85,61.1,61.85,138301
2019-04-22,61.6,63.75,60.6,63.5,289379
2019-04-23,64.15,64.25,62.5,62.9,99216
2019-04-24,63.75,64.05,62.4,63.8,290400
2019-04-25,63.15,64.4,62.65,63.4,111800
2019-04-26,63.4,63.9,62.65,63.0,130493
2019-04-30,64.15,64.15,60.95,61.25,106385
2019-05-02,59.95,61.95,59.95,61.45,66726
2019-05-03,60.9,62.5,60.45,61.05,36118
2019-05-06,59.95,61.2,59.1,59.3,93105
2019-05-07,60.2,60.45,59.15,59.5,56511
2019-05-08,59.0,59.5,57.7,58.3,87132
2019-05-09,58.3,59.7,57.0,58.95,74575
2019-05-10,58.7,59.35,58.15,58.35,36391
2019-05-13,58.55,60.35,55.45,57.0,761769
2019-05-14,56.3,57.4,55.65,56.9,210135
2019-05-15,56.95,57.65,55.3,55.75,83628
2019-05-16,55.55,56.15,55.05,55.8,87882
2019-05-17,55.75,56.95,55.1,56.75,76501
2019-05-20,58.55,61.7,58.0,60.95,247004
2019-05-21,61.65,64.85,59.4,63.4,556339
2019-05-22,64.45,65.85,60.5,62.35,837574
2019-05-23,64.45,65.4,59.0,62.4,473397
2019-05-24,63.3,64.95,62.7,64.15,281559
2019-05-27,64.0,68.55,63.3,67.85,676444
