date,open,high,low,close,volume
2018-07-05,222.6,225.25,214.3,215.1,7054
2018-07-06,221.0,221.05,213.75,215.55,1334
2018-07-09,217.5,222.05,213.65,216.75,3982
2018-07-10,218.0,222.85,210.75,214.3,16298
2018-07-11,218.0,218.0,213.15,214.3,12502
2018-07-12,216.9,217.4,210.25,210.55,13164
2018-07-13,214.9,214.95,210.25,210.4,5400
2018-07-16,213.15,213.15,199.6,203.6,7853
2018-07-17,203.45,208.3,201.1,202.3,6143
2018-07-18,203.45,204.9,194.3,196.75,5419
2018-07-19,196.25,208.6,190.4,200.15,13298
2018-07-20,194.75,207.6,194.75,204.4,14500
2018-07-23,210.65,210.65,194.35,196.55,8214
2018-07-24,203.95,206.6,190.95,204.9,8113
2018-07-25,211.0,211.0,199.1,204.35,4806
2018-07-26,202.5,205.6,196.5,203.45,11940
2018-07-27,209.25,209.25,201.05,203.35,11581
2018-07-30,206.85,218.0,201.3,205.7,8581
2018-07-31,213.15,213.15,198.6,202.4,8140
2018-08-01,203.45,234.95,197.45,219.35,96528
2018-08-02,219.35,220.25,208.3,212.3,8290
2018-08-03,208.8,216.05,208.8,214.1,4816
2018-08-06,219.45,219.45,210.35,213.15,6201
2018-08-07,213.15,213.15,200.55,209.75,5462
2018-08-08,205.9,216.95,203.95,206.25,5970
2018-08-09,210.7,210.7,203.45,204.6,3270
2018-08-10,207.8,207.8,199.1,204.8,16432
2018-08-13,205.4,205.4,199.1,201.5,11372
2018-08-14,198.6,203.2,198.6,199.25,3169
2018-08-16,205.4,205.4,184.2,198.6,31634
2018-08-17,199.1,201.3,190.85,199.2,15776
2018-08-20,199.4,201.05,186.15,187.95,23509
2018-08-21,189.9,197.65,187.0,194.65,21632
2018-08-23,199.75,199.75,190.85,194.15,4184
2018-08-24,198.2,201.05,193.75,199.7,8941
2018-08-27,200.05,204.2,192.6,197.4,7029
2018-08-28,196.65,198.6,194.35,195.85,6548
2018-08-29,193.75,198.05,189.0,195.6,8524
2018-08-30,196.65,196.65,189.45,193.0,28393
2018-08-31,199.6,199.6,191.35,194.15,10353
2018-09-03,190.4,201.75,190.15,192.4,30979
2018-09-04,191.65,195.2,185.6,187.9,6616
2018-09-05,191.35,193.2,178.0,184.75,12549
2018-09-06,186.45,190.75,175.8,181.45,22260
2018-09-07,185.55,192.3,180.3,189.7,6096
2018-09-10,190.25,192.3,182.15,183.45,5320
2018-09-11,184.1,190.75,182.2,185.8,2106
2018-09-12,184.1,193.3,180.0,182.7,13024
2018-09-14,186.5,193.75,185.05,187.2,13736
2018-09-17,187.45,191.35,183.6,185.9,6614
