date,open,high,low,close,volume
2018-07-05,206.25,209.6,204.3,208.4,243920
2018-07-06,208.25,209.0,203.3,205.2,358190
2018-07-09,206.25,207.4,203.75,205.0,169538
2018-07-10,205.0,206.8,204.4,205.65,166944
2018-07-11,205.65,206.2,203.4,205.45,181550
2018-07-12,205.4,205.65,204.15,205.3,173899
2018-07-13,205.3,205.3,200.4,203.2,241714
2018-07-16,203.2,205.65,201.0,205.15,238456
2018-07-17,205.15,206.5,199.95,203.75,274320
2018-07-18,203.55,205.3,199.55,204.45,247432
2018-07-19,203.95,205.45,200.85,203.65,232588
2018-07-20,202.5,205.75,201.8,204.65,172318
2018-07-23,204.8,204.8,199.6,200.05,388610
2018-07-24,200.6,203.55,199.6,202.85,218500
2018-07-25,203.25,204.0,200.0,202.65,345960
2018-07-26,203.0,203.25,200.15,201.75,257836
2018-07-27,201.6,203.2,201.05,201.7,205848
2018-07-30,200.65,201.9,199.25,200.2,256809
2018-07-31,199.45,199.85,192.95,196.35,532104
2018-08-01,195.05,196.2,188.75,190.4,587447
2018-08-02,190.55,198.05,185.65,196.8,536181
2018-08-03,198.2,200.1,195.85,197.85,385766
2018-08-06,196.25,201.0,196.0,200.45,245464
2018-08-07,202.5,203.2,195.2,199.9,590669
2018-08-08,197.3,198.45,192.9,195.25,541655
2018-08-09,196.55,199.15,192.2,197.6,366335
2018-08-10,198.65,199.2,195.25,195.95,272816
2018-08-13,195.05,195.65,191.4,192.0,210244
2018-08-14,193.5,194.5,190.7,192.0,450743
2018-08-16,190.6,192.05,185.0,186.1,454892
2018-08-17,187.95,188.3,182.35,183.15,628144
2018-08-20,184.45,184.45,178.75,179.35,1172816
2018-08-21,180.6,187.5,179.75,182.05,4392351
2018-08-23,183.0,184.15,181.95,182.65,995410
2018-08-24,183.4,184.6,181.6,182.35,814436
2018-08-27,184.35,189.8,182.85,189.2,766587
2018-08-28,189.65,192.0,186.95,191.15,327736
2018-08-29,191.3,192.8,187.95,190.95,285636
2018-08-30,191.2,191.65,187.7,189.2,313649
2018-08-31,189.0,191.2,186.55,186.95,485143
2018-09-03,188.3,190.8,186.8,188.45,318168
2018-09-04,189.35,191.25,183.25,184.35,447401
2018-09-05,184.6,191.9,181.1,183.85,941605
2018-09-06,185.1,188.7,181.95,182.9,365482
2018-09-07,183.1,185.2,182.4,183.85,375041
2018-09-10,184.45,185.8,182.4,183.0,157016
2018-09-11,183.25,189.05,182.8,184.0,387491
2018-09-12,183.5,184.6,180.1,181.5,373519
2018-09-14,183.0,185.3,182.7,183.85,214362
2018-09-17,183.1,183.55,181.7,182.8,117494
2018-09-18,182.05,183.4,178.1,180.25,173171
2018-09-19,180.3,184.4,178.75,182.0,2423703
2018-09-21,182.35,187.55,176.55,183.75,334329
2018-09-24,185.35,185.35,175.6,178.1,285612
2018-09-25,176.4,190.55,169.65,182.55,445972
2018-09-26,186.25,186.25,178.1,179.0,194334
2018-09-27,179.3,179.3,169.15,170.4,1241979
2018-09-28,171.75,171.8,162.2,167.35,1066834
2018-10-01,167.4,172.65,147.35,171.5,1700356
2018-10-03,170.55,171.05,157.9,160.2,997408
2018-10-04,156.95,161.4,153.2,159.3,458930
2018-10-05,157.7,159.2,150.2,153.0,953793
2018-10-08,150.8,158.15,146.75,149.45,347518
2018-10-09,149.4,149.45,144.45,145.7,330796
2018-10-10,147.05,153.55,145.4,150.05,920022
2018-10-11,146.4,150.95,144.9,149.55,580343
2018-10-12,151.05,167.2,151.05,163.55,458575
2018-10-15,162.9,168.6,159.3,165.0,1106640
2018-10-16,166.65,173.35,159.55,161.4,1123352
2018-10-17,162.8,164.05,155.65,156.7,299968
2018-10-19,155.35,156.8,150.6,151.1,309925
2018-10-22,151.4,162.0,148.8,158.3,456231
2018-10-23,156.85,160.25,152.45,157.7,277012
