date,open,high,low,close,volume
2018-07-05,64.5,64.95,62.05,62.3,158998
2018-07-06,62.35,64.5,61.05,61.5,314686
2018-07-09,61.8,71.4,61.8,70.0,3554148
2018-07-10,70.5,71.2,68.05,68.9,805524
2018-07-11,68.45,68.9,67.1,67.7,215588
2018-07-12,68.85,73.7,68.6,70.0,1909870
2018-07-13,71.5,71.7,67.7,68.05,375994
2018-07-16,68.05,68.05,65.05,65.3,236450
2018-07-17,65.85,68.35,65.65,67.05,286754
2018-07-18,67.1,69.05,64.7,65.35,302990
2018-07-19,65.3,66.0,63.0,63.4,389048
2018-07-20,63.2,63.95,60.8,62.3,337930
2018-07-23,61.1,64.25,61.1,62.8,449268
2018-07-24,63.05,67.85,63.05,66.2,819536
2018-07-25,67.2,70.45,67.0,68.4,619876
2018-07-26,68.9,69.95,68.05,68.5,221532
2018-07-27,68.75,71.6,68.75,69.0,285782
2018-07-30,69.25,71.0,68.8,69.1,249680
2018-07-31,69.3,70.75,69.05,70.0,280528
2018-08-01,70.55,72.0,70.0,71.0,353106
2018-08-02,71.45,73.0,70.4,72.0,419422
2018-08-03,72.5,73.0,69.55,70.1,468960
2018-08-06,70.5,76.7,70.5,75.6,1563730
2018-08-07,75.75,79.8,75.75,78.8,1577444
2018-08-08,79.35,81.2,78.0,80.4,543238
2018-08-09,80.5,80.5,77.6,78.5,415974
2018-08-10,79.9,79.9,75.0,75.5,367420
2018-08-13,75.35,75.35,72.2,72.95,313350
2018-08-14,72.85,72.85,71.4,72.5,185446
2018-08-16,72.4,72.9,70.6,71.65,202178
2018-08-17,72.0,73.45,71.25,72.05,725620
2018-08-20,72.05,72.2,70.5,71.5,364756
2018-08-21,71.0,72.05,70.6,71.4,491670
2018-08-23,72.0,76.25,71.5,73.5,421620
2018-08-24,72.65,77.3,72.3,75.7,511414
2018-08-27,76.25,78.0,75.8,77.45,361422
2018-08-28,78.2,78.65,75.4,76.05,372348
2018-08-29,77.4,79.0,76.5,77.3,259364
2018-08-30,77.5,78.3,76.05,77.2,247554
2018-08-31,78.35,78.35,76.05,77.3,437920
2018-09-03,77.0,79.8,76.5,77.1,466612
2018-09-04,77.2,79.15,76.5,77.1,497612
2018-09-05,76.5,78.9,76.0,78.1,346948
2018-09-06,78.9,81.5,76.75,80.0,613706
2018-09-07,80.2,82.3,79.2,80.65,518928
2018-09-10,79.65,80.85,77.7,78.0,262804
2018-09-11,78.75,79.0,75.25,76.3,183954
2018-09-12,76.45,78.0,75.05,75.65,363044
2018-09-14,76.3,78.2,76.2,77.7,162892
2018-09-17,77.25,79.85,76.0,77.9,137142
2018-09-18,77.75,78.6,76.0,76.3,115024
2018-09-19,76.15,78.25,73.0,76.45,195410
2018-09-21,77.45,78.0,72.5,76.1,639412
2018-09-24,77.4,77.85,74.25,75.1,2441704
2018-09-25,75.0,77.0,72.3,75.2,1724164
2018-09-26,75.0,77.45,73.1,73.9,165106
2018-09-27,73.3,75.0,69.5,70.95,180658
2018-09-28,71.9,72.9,61.0,63.8,932068
2018-10-01,63.95,66.0,57.5,63.9,1006686
2018-10-03,64.0,67.5,61.0,66.45,753000
2018-10-04,64.45,66.0,60.75,63.7,305148
2018-10-05,64.7,65.45,58.4,60.8,348006
2018-10-08,60.0,67.5,59.55,61.95,383670
2018-10-09,62.45,64.45,61.05,62.0,630038
2018-10-10,62.5,64.7,62.0,62.7,561382
2018-10-11,60.5,62.85,58.6,61.55,202970
2018-10-12,62.5,65.0,62.5,63.75,152016
2018-10-15,64.0,64.5,61.85,63.5,172602
2018-10-16,63.05,65.5,62.5,62.8,166622
2018-10-17,63.75,65.0,60.6,60.8,165174
2018-10-19,60.0,62.0,58.5,59.75,211640
2018-10-22,61.2,61.9,58.75,59.05,81300
2018-10-23,58.55,60.1,56.1,56.8,132266
2018-10-24,57.85,58.4,55.3,56.1,144228
2018-10-25,55.85,56.25,54.7,55.5,68796
2018-10-26,56.0,56.35,54.75,56.05,110540
2018-10-29,56.85,56.85,54.75,55.4,108230
2018-10-30,55.45,56.7,54.95,55.65,119782
2018-10-31,55.65,56.85,55.25,56.3,222656
2018-11-01,56.75,59.7,56.35,57.9,296740
2018-11-02,58.05,60.2,57.8,59.3,192242
2018-11-05,59.5,61.5,59.0,59.9,183316
2018-11-06,60.35,61.0,59.6,60.4,83380
