date,open,high,low,close,volume
2018-07-05,7.1,7.45,6.75,7.0,271370
2018-07-06,6.9,7.15,6.9,7.0,92030
2018-07-09,6.9,7.5,6.8,7.3,256940
2018-07-10,7.45,7.8,7.3,7.6,250500
2018-07-11,7.5,8.0,7.5,7.6,335380
2018-07-12,7.95,8.35,7.6,8.0,961730
2018-07-13,8.1,8.1,7.4,7.85,325420
2018-07-16,7.85,7.85,7.5,7.65,30770
2018-07-17,7.45,7.9,7.4,7.7,94560
2018-07-18,7.7,8.25,7.7,8.1,416090
2018-07-19,8.35,8.35,7.9,8.0,136990
2018-07-20,8.1,8.25,7.7,8.15,174800
2018-07-23,8.15,8.3,8.1,8.15,138200
2018-07-24,8.2,8.4,8.15,8.25,59590
2018-07-25,8.2,8.2,8.1,8.15,18740
2018-07-26,8.35,8.35,8.2,8.25,23060
2018-07-27,8.2,8.95,8.2,8.65,175030
2018-07-30,8.8,9.1,8.65,8.95,162010
2018-07-31,8.8,9.4,8.75,8.95,194450
2018-08-01,8.9,9.0,8.6,8.65,103000
2018-08-02,8.8,8.8,8.4,8.4,73840
2018-08-03,8.4,8.75,8.4,8.4,29110
2018-08-06,8.75,9.05,8.4,8.45,66620
2018-08-07,8.5,8.7,8.35,8.4,63830
2018-08-08,8.4,8.65,8.35,8.55,82830
2018-08-09,8.8,8.8,8.5,8.65,68940
2018-08-10,8.9,9.55,8.65,8.65,284510
2018-08-13,8.95,8.95,8.35,8.45,149890
2018-08-14,8.5,8.65,7.9,8.15,61850
2018-08-16,8.4,8.6,8.25,8.35,54850
2018-08-17,8.65,8.65,8.2,8.2,23460
2018-08-20,8.3,8.5,8.2,8.2,60020
2018-08-21,8.2,8.5,8.2,8.4,60640
2018-08-23,8.4,8.7,8.2,8.5,41610
2018-08-24,8.55,8.55,8.2,8.3,33080
2018-08-27,8.25,8.45,8.15,8.2,34120
2018-08-28,8.35,8.35,8.15,8.2,31500
2018-08-29,8.2,8.25,8.15,8.2,17940
2018-08-30,8.5,8.5,8.1,8.15,67910
2018-08-31,8.3,8.3,7.85,7.9,85660
2018-09-03,8.25,8.25,7.9,7.95,49370
2018-09-04,8.15,8.15,7.6,7.75,43670
2018-09-05,7.6,7.75,7.55,7.6,131540
2018-09-06,7.9,8.0,7.4,7.6,150930
2018-09-07,7.8,7.8,7.35,7.45,158260
