date,open,high,low,close,volume
2018-07-05,5.44,5.49,5.39,5.39,136561
2018-07-06,5.39,5.54,5.39,5.39,227247
2018-07-09,5.44,5.49,5.34,5.34,386250
2018-07-10,5.39,6.07,5.39,5.98,4204036
2018-07-11,5.88,6.07,5.78,5.88,1257011
2018-07-12,5.88,5.98,5.73,5.73,328313
2018-07-13,5.73,5.78,5.58,5.58,247297
2018-07-16,5.58,5.58,5.19,5.19,647449
2018-07-17,5.24,5.44,5.24,5.34,493722
2018-07-18,5.34,5.44,5.24,5.29,231610
2018-07-19,5.29,5.34,5.19,5.24,214462
2018-07-20,5.19,5.29,5.09,5.24,228606
2018-07-23,5.24,5.34,5.19,5.24,212702
2018-07-24,5.29,5.54,5.24,5.49,447142
2018-07-25,5.49,5.58,5.44,5.49,153320
2018-07-26,5.49,5.63,5.44,5.49,223994
2018-07-27,5.54,5.58,5.39,5.39,362470
2018-07-30,5.39,5.54,5.39,5.49,340284
2018-07-31,5.44,5.63,5.44,5.49,360733
2018-08-01,5.63,5.83,5.54,5.83,1581336
2018-08-02,5.78,5.93,5.68,5.88,665199
2018-08-03,5.98,6.32,5.93,6.27,2341176
2018-08-06,6.51,7.15,6.42,6.96,8210193
2018-08-07,7.0,7.1,6.42,6.56,5092115
2018-08-08,6.42,6.42,6.12,6.22,2003918
2018-08-09,6.22,6.37,6.17,6.17,763429
2018-08-10,6.17,6.22,5.98,6.03,1078309
2018-08-13,5.98,6.07,5.83,6.03,647757
2018-08-14,5.98,6.03,5.73,5.78,777650
2018-08-16,5.78,5.93,5.73,5.83,490793
2018-08-17,5.88,6.12,5.83,5.98,1032036
2018-08-20,6.07,6.12,5.93,6.07,646583
2018-08-21,6.12,6.17,6.03,6.12,494365
2018-08-23,6.12,6.42,6.12,6.32,1544181
2018-08-24,6.27,6.37,6.17,6.22,515080
2018-08-27,6.27,6.32,6.17,6.17,384174
2018-08-28,6.22,6.22,6.07,6.12,460216
2018-08-29,6.42,6.56,6.22,6.27,2739460
2018-08-30,6.32,6.47,6.32,6.42,1204862
2018-08-31,6.37,6.51,6.27,6.42,997488
2018-09-03,6.42,6.96,6.32,6.61,3644471
2018-09-04,6.66,6.86,6.47,6.61,1385727
2018-09-05,6.51,6.56,6.32,6.42,682642
2018-09-06,6.47,6.66,6.42,6.61,1382747
2018-09-07,6.61,6.71,6.51,6.56,874910
2018-09-10,6.56,6.56,6.42,6.47,539080
2018-09-11,6.42,6.61,6.32,6.37,600763
2018-09-12,6.37,6.37,6.12,6.22,571309
2018-09-14,6.27,6.47,6.27,6.37,572619
2018-09-17,6.32,6.42,6.17,6.32,538470
2018-09-18,6.27,6.56,6.22,6.27,762844
2018-09-19,6.32,6.37,6.17,6.32,581831
2018-09-21,6.32,6.37,5.49,6.27,1008923
2018-09-24,6.22,6.22,5.93,6.03,531170
2018-09-25,5.98,6.17,5.83,6.12,594138
2018-09-26,6.17,6.17,5.98,6.03,1142626
2018-09-27,6.03,6.12,5.88,5.98,313104
2018-09-28,5.98,6.03,5.49,5.58,592377
2018-10-01,5.63,5.68,5.34,5.44,559771
2018-10-03,5.58,5.83,5.54,5.68,662508
2018-10-04,5.63,5.68,5.54,5.63,360592
2018-10-05,5.63,5.73,5.44,5.54,427977
2018-10-08,5.54,5.58,5.34,5.49,363217
2018-10-09,5.49,5.54,5.34,5.39,422230
2018-10-10,5.39,5.63,5.39,5.58,528725
2018-10-11,5.44,5.49,5.39,5.44,368778
2018-10-12,5.49,5.73,5.49,5.68,427711
2018-10-15,5.68,6.81,5.68,6.76,10816082
2018-10-16,6.96,7.1,6.56,6.61,5802433
2018-10-17,6.66,6.71,6.22,6.32,1529773
2018-10-19,6.27,6.47,6.12,6.27,948806
