date,open,high,low,close,volume
2018-07-05,39.6,39.8,38.2,38.3,376380
2018-07-06,38.2,39.6,38.1,38.9,308130
2018-07-09,38.9,41.6,38.9,40.3,1294800
2018-07-10,40.3,40.8,40.1,40.3,213770
2018-07-11,40.3,42.3,40.1,41.0,1041520
2018-07-12,41.6,42.5,40.8,41.5,797050
2018-07-13,41.9,41.9,40.5,41.4,430960
2018-07-16,41.6,41.9,40.2,41.5,1524820
2018-07-17,41.5,42.6,40.8,42.4,604130
2018-07-18,42.5,44.4,42.0,42.7,1418040
2018-07-19,42.7,43.4,41.8,42.8,452540
2018-07-20,42.7,43.1,42.0,42.1,234400
2018-07-23,42.5,42.8,41.8,42.1,240100
2018-07-24,41.6,43.0,41.6,42.5,168030
2018-07-25,42.6,42.7,41.3,41.5,354850
2018-07-26,41.6,42.4,41.3,41.8,480280
2018-07-27,42.3,43.6,41.9,43.1,547050
2018-07-30,43.7,45.7,43.0,44.1,1186960
2018-07-31,45.0,46.4,45.0,45.7,1578000
2018-08-01,45.9,46.3,44.4,44.8,896940
2018-08-02,45.9,46.6,45.1,45.5,1600470
2018-08-03,45.5,46.0,44.2,44.3,549360
2018-08-06,44.8,44.8,43.0,43.2,567030
2018-08-07,43.5,44.0,42.1,43.1,442460
2018-08-08,43.3,43.3,42.2,42.2,287400
2018-08-09,41.8,42.5,40.0,40.8,2192110
2018-08-10,40.5,41.5,40.4,41.0,830530
2018-08-13,40.9,40.9,39.9,40.1,339440
2018-08-14,40.1,40.8,39.9,40.1,258380
2018-08-16,39.9,40.5,39.8,40.3,230050
2018-08-17,40.3,40.5,40.0,40.1,228760
2018-08-20,40.1,40.6,39.8,40.0,291240
2018-08-21,40.1,41.6,40.0,41.0,449130
2018-08-23,41.5,41.6,41.0,41.0,274280
2018-08-24,40.6,41.2,40.2,40.3,238240
2018-08-27,41.0,41.0,39.6,40.0,496880
2018-08-28,40.3,41.2,40.1,40.5,346770
2018-08-29,40.5,40.6,40.1,40.2,219380
2018-08-30,40.2,41.4,40.2,40.8,300750
2018-08-31,41.4,42.0,40.7,41.9,2723840
2018-09-03,42.3,45.0,42.3,42.8,387610
2018-09-04,42.9,43.1,40.5,40.7,323100
2018-09-05,40.7,41.2,39.9,40.5,249410
2018-09-06,41.0,41.0,40.1,40.2,119460
2018-09-07,40.2,40.9,40.0,40.3,131810
2018-09-10,40.5,41.0,39.9,40.3,148510
2018-09-11,40.3,41.1,40.2,40.3,145010
2018-09-12,40.7,40.7,40.0,40.1,212640
2018-09-14,40.5,40.5,39.5,39.7,213990
2018-09-17,39.4,39.6,38.8,39.1,208890
2018-09-18,39.1,39.4,38.9,39.0,253730
2018-09-19,38.5,39.5,38.5,39.0,317120
2018-09-21,39.0,39.8,36.4,37.0,490870
2018-09-24,37.2,37.4,34.4,35.4,570130
2018-09-25,35.5,35.5,31.2,32.8,739600
2018-09-26,33.6,36.6,32.2,33.0,392240
2018-09-27,33.6,34.2,31.7,32.3,351750
2018-09-28,33.0,33.0,30.0,31.0,450970
2018-10-01,29.8,30.8,28.0,29.5,730820
2018-10-03,29.5,31.4,29.2,30.0,1520180
2018-10-04,30.0,30.8,28.8,29.8,323610
2018-10-05,29.4,30.3,27.9,28.4,478740
2018-10-08,29.0,29.0,26.0,27.0,413420
2018-10-09,27.0,29.0,27.0,28.8,1973700
2018-10-10,28.7,30.9,28.1,30.7,459410
2018-10-11,30.3,31.0,29.3,30.9,282740
2018-10-12,31.4,32.7,31.0,32.0,334620
2018-10-15,32.6,33.5,32.0,32.9,641170
2018-10-16,32.9,37.4,32.9,34.5,2556130
2018-10-17,34.8,35.0,32.2,32.5,466300
2018-10-19,31.5,32.0,28.5,29.5,759860
2018-10-22,29.8,30.7,29.1,29.4,271970
2018-10-23,28.3,29.8,28.3,29.3,213330
2018-10-24,30.2,30.5,28.8,29.4,1211120
2018-10-25,28.8,29.9,28.8,29.5,190180
2018-10-26,29.3,30.0,28.8,29.4,171580
2018-10-29,29.5,30.7,29.2,30.4,225560
2018-10-30,31.0,31.8,30.4,31.0,298410
2018-10-31,31.0,32.1,30.0,30.2,595910
2018-11-01,30.4,30.5,29.4,30.0,2831810
2018-11-02,30.5,31.0,29.0,29.6,857510
2018-11-05,26.0,28.2,25.2,27.3,2719770
2018-11-06,27.6,28.0,27.0,27.3,339350
2018-11-09,27.5,28.0,26.7,27.2,394740
2018-11-12,27.0,27.8,26.7,27.0,374020
2018-11-13,27.0,27.0,26.5,26.8,413760
2018-11-14,27.0,27.0,26.3,26.6,273540
2018-11-15,26.4,26.8,26.3,26.6,227100
2018-11-16,26.5,26.5,25.3,25.7,733290
2018-11-19,25.7,26.7,25.2,26.4,320080
2018-11-20,26.6,26.8,26.3,26.5,285860
2018-11-21,26.7,26.9,26.1,26.5,126650
2018-11-22,26.6,26.6,26.0,26.1,75200
2018-11-26,26.1,26.5,26.0,26.1,322190
2018-11-27,26.2,26.3,25.8,26.0,132580
2018-11-28,26.1,26.1,25.0,25.5,522410
2018-11-29,25.8,26.2,25.4,25.5,228320
2018-11-30,26.0,26.0,25.3,25.5,284820
2018-12-03,25.5,25.8,25.4,25.5,248770
2018-12-04,25.6,25.9,25.4,25.6,225710
2018-12-05,25.5,25.5,24.6,25.0,396470
2018-12-06,25.2,25.4,24.6,25.1,423390
2018-12-07,25.0,25.3,24.9,25.0,298230
2018-12-10,25.0,25.0,24.5,24.7,1436830
2018-12-11,24.6,25.2,24.6,24.9,87960
2018-12-12,26.1,26.6,24.8,26.4,276070
2018-12-13,26.7,28.0,26.4,27.3,322970
2018-12-14,27.8,28.4,27.1,28.3,428580
2018-12-17,29.2,29.2,28.2,28.9,184300
2018-12-18,29.0,29.1,27.8,28.3,177270
2018-12-19,28.8,28.8,27.3,27.8,127710
2018-12-20,28.5,28.5,27.4,27.7,88600
2018-12-21,28.2,28.2,27.4,27.6,132190
2018-12-24,27.2,28.0,26.9,27.1,65280
2018-12-26,26.7,27.5,26.2,27.3,72650
2018-12-27,26.6,27.4,26.0,26.5,177050
2018-12-28,27.2,28.3,26.8,27.9,339110
2018-12-31,28.2,28.3,27.4,27.9,104300
2019-01-01,28.3,28.3,27.4,27.6,52950
2019-01-02,27.6,28.1,27.5,27.7,92900
2019-01-03,28.2,28.2,27.0,27.1,99760
2019-01-04,27.1,28.1,26.5,27.5,255290
2019-01-07,27.5,27.5,26.9,27.0,482100
2019-01-08,27.5,27.5,26.7,27.1,137810
2019-01-09,27.2,27.4,26.5,26.6,248900
2019-01-10,26.8,27.2,26.5,26.8,290580
2019-01-11,27.5,27.5,26.8,27.1,277890
2019-01-14,27.0,27.3,26.6,26.8,282640
2019-01-15,27.3,27.3,26.7,26.7,146160
2019-01-16,26.7,27.0,26.5,26.8,103960
2019-01-17,26.8,27.1,26.7,26.9,113700
2019-01-18,27.0,27.5,26.7,27.1,125570
2019-01-21,26.8,27.4,26.8,27.2,134330
2019-01-22,27.2,27.2,25.7,26.5,174220
2019-01-23,26.6,27.0,26.0,26.7,70340
2019-01-24,26.6,28.4,26.4,28.1,333020
2019-01-25,28.4,28.8,26.4,27.3,515590
2019-01-28,28.4,28.5,27.2,28.1,1324310
2019-01-29,28.2,28.6,27.0,27.2,589250
2019-01-30,27.8,27.8,26.9,27.2,237050
2019-01-31,27.2,27.3,26.2,26.6,290240
2019-02-01,26.6,27.1,26.4,26.6,224020
2019-02-04,27.0,27.0,26.2,26.5,116300
2019-02-05,26.7,26.7,25.9,26.3,122450
2019-02-06,26.5,26.5,25.0,25.3,314500
2019-02-07,25.4,25.4,24.4,24.9,148980
2019-02-08,24.8,25.4,24.6,25.2,114270
2019-02-11,25.1,25.2,24.5,24.7,101120
2019-02-12,24.7,25.9,24.7,25.1,208130
2019-02-13,25.4,25.8,24.7,25.5,150880
2019-02-14,25.7,26.3,25.2,26.1,154590
2019-02-15,26.1,26.6,25.7,26.5,136610
2019-02-18,24.4,26.7,24.4,25.3,139810
2019-02-19,25.0,25.9,25.0,25.5,137030
2019-02-20,25.5,26.1,25.3,26.0,100630
2019-02-21,25.7,26.2,25.4,26.1,90170
2019-02-22,26.1,27.3,25.7,26.0,184500
2019-02-25,26.6,26.6,25.6,26.0,118080
2019-02-26,26.0,26.0,25.2,25.6,131240
2019-02-27,25.9,25.9,24.3,24.8,296340
2019-02-28,25.4,25.4,24.7,25.2,113160
2019-03-01,25.3,25.8,25.1,25.4,304920
2019-03-05,25.4,28.4,24.8,27.8,2107770
2019-03-06,28.0,28.7,27.0,28.0,1612540
2019-03-07,28.0,28.6,27.2,28.1,587690
2019-03-08,27.8,28.3,27.6,27.9,160120
2019-03-11,27.9,31.4,27.7,30.8,2999250
2019-03-12,31.7,32.2,29.7,30.5,1542410
2019-03-13,30.8,31.0,30.2,30.8,362250
2019-03-14,30.6,30.8,30.0,30.4,178750
2019-03-15,30.2,30.9,29.2,29.4,467710
2019-03-18,30.0,30.0,28.6,28.8,379170
2019-03-19,28.6,29.5,28.4,29.2,219610
2019-03-20,29.7,29.9,29.2,29.4,342270
2019-03-22,29.5,29.7,28.3,28.7,162000
2019-03-25,28.2,28.5,27.5,27.6,223040
2019-03-26,28.0,28.4,27.5,27.7,164940
2019-03-27,27.6,27.9,26.7,27.1,357960
2019-03-28,27.1,28.0,27.0,27.3,281500
2019-03-29,27.6,29.2,27.3,28.8,665440
2019-04-01,29.2,29.8,28.8,29.2,545450
2019-04-02,29.5,29.5,28.5,28.6,308730
2019-04-03,28.8,29.2,27.8,28.1,199460
2019-04-04,28.2,28.5,28.0,28.2,89550
2019-04-05,28.5,28.5,28.0,28.1,125680
2019-04-08,27.8,28.2,27.7,28.0,111960
2019-04-09,28.2,28.2,27.6,27.9,108460
2019-04-10,27.7,28.1,27.6,27.8,134560
2019-04-11,27.7,27.9,26.9,27.5,112030
2019-04-12,27.5,27.8,27.2,27.3,44090
2019-04-15,27.2,27.6,27.0,27.1,80500
2019-04-16,27.6,27.6,26.7,26.9,165480
2019-04-18,27.4,27.4,26.1,26.2,218810
2019-04-22,26.4,26.5,25.3,25.5,146130
2019-04-23,26.1,26.1,25.0,25.4,164120
2019-04-24,25.4,26.1,25.2,25.8,147790
2019-04-25,25.5,26.5,25.5,25.7,109480
2019-04-26,25.8,26.6,25.5,26.2,350350
2019-04-30,25.8,26.3,24.9,25.4,225160
2019-05-02,25.1,26.5,25.1,26.2,118040
2019-05-03,26.2,26.9,25.9,26.2,95560
2019-05-06,26.2,26.2,25.4,25.6,117400
2019-05-07,26.1,26.4,25.5,25.7,544470
2019-05-08,25.6,25.7,25.0,25.2,369850
2019-05-09,25.3,25.8,24.9,25.0,253190
2019-05-10,25.0,25.4,24.7,25.0,162910
2019-05-13,24.8,24.8,23.8,24.1,1680740
2019-05-14,24.4,24.4,23.3,23.8,1375950
2019-05-15,23.8,24.0,21.4,22.2,227080
2019-05-16,22.0,22.4,21.8,21.9,127250
2019-05-17,21.5,22.2,21.4,21.7,196130
2019-05-20,22.5,22.5,21.8,21.9,440140
2019-05-21,21.9,22.1,20.7,20.9,239710
2019-05-22,20.9,21.6,20.7,20.9,1051350
2019-05-23,22.0,22.0,20.4,20.7,238780
2019-05-24,21.5,21.5,20.2,20.7,284500
2019-05-27,20.9,24.4,20.8,24.0,2153230
2019-05-28,24.4,25.9,23.3,24.9,824200
2019-05-29,24.4,25.0,23.4,23.8,209890
2019-05-30,23.8,23.9,23.0,23.6,211440
2019-05-31,24.0,24.0,23.0,23.2,101930
2019-06-03,22.6,23.1,22.2,22.8,132300
2019-06-04,22.5,24.5,22.4,24.0,409600
2019-06-06,24.1,24.1,23.2,23.3,97600
2019-06-07,23.0,23.8,22.5,22.9,93110
2019-06-10,23.5,23.5,22.5,22.6,72210
2019-06-11,23.0,23.0,22.0,22.3,62680
2019-06-12,22.1,22.7,22.0,22.4,87000
2019-06-13,22.4,22.4,21.8,22.0,103140
2019-06-14,21.8,22.2,21.5,21.6,59890
2019-06-17,21.5,21.5,20.8,20.9,114660
2019-06-18,21.5,21.5,20.0,20.9,121490
2019-06-19,21.3,21.4,18.2,18.5,381680
2019-06-20,19.5,19.5,18.3,19.1,242520
