date,open,high,low,close,volume
2018-07-05,137.75,138.4,135.2,136.0,10335
2018-07-06,135.2,137.4,134.0,135.0,20230
2018-07-09,135.0,139.85,135.0,138.25,613230
2018-07-10,138.0,141.0,138.0,139.0,23525
2018-07-11,139.55,139.55,135.35,136.05,13485
2018-07-12,136.05,140.7,136.05,136.5,10250
2018-07-13,150.0,150.0,135.0,136.6,10000
2018-07-16,140.8,140.8,135.0,135.15,19635
2018-07-17,135.05,138.0,135.05,137.6,6865
2018-07-18,136.0,137.85,135.6,135.85,10435
2018-07-19,138.0,138.0,130.0,131.9,61125
2018-07-20,130.4,135.35,130.4,132.95,40695
2018-07-23,135.4,135.6,132.35,133.55,15995
2018-07-24,134.1,135.6,133.1,133.8,10920
2018-07-25,134.8,136.3,133.0,133.55,71035
2018-07-26,134.2,135.6,133.4,133.75,12915
2018-07-27,135.0,137.0,133.0,135.0,40750
2018-07-30,137.9,143.85,135.3,142.3,138680
2018-07-31,144.3,144.3,139.1,141.85,39770
2018-08-01,141.95,141.95,138.9,139.05,15665
2018-08-02,139.8,140.0,136.0,137.0,947960
2018-08-03,138.0,139.95,136.25,139.0,13025
2018-08-06,142.0,142.0,136.6,139.15,281000
2018-08-07,139.15,139.9,136.8,137.1,18570
2018-08-08,136.8,141.0,136.25,139.2,27435
2018-08-09,140.85,140.9,137.05,137.55,22225
2018-08-10,137.6,140.4,137.0,139.95,22015
2018-08-13,138.0,140.0,136.45,137.05,8465
2018-08-14,135.45,139.0,135.45,136.9,17440
2018-08-16,136.8,138.05,135.6,135.85,16820
2018-08-17,138.55,139.2,135.0,135.85,5860
2018-08-20,138.55,138.55,135.1,136.4,27225
2018-08-21,136.0,138.0,135.8,136.45,15600
2018-08-23,136.6,140.0,136.0,136.75,18740
2018-08-24,139.0,139.6,137.0,138.4,37745
2018-08-27,139.95,140.0,137.0,138.8,32375
2018-08-28,139.0,139.8,138.0,138.45,21965
2018-08-29,138.4,139.8,136.4,138.65,14870
2018-08-30,137.1,139.25,137.0,138.25,13700
2018-08-31,136.7,140.0,136.65,137.1,25710
2018-09-03,136.2,139.8,136.2,139.55,19480
2018-09-04,140.0,140.0,137.6,138.6,15415
2018-09-05,137.45,138.9,134.4,135.5,33045
2018-09-06,135.5,136.8,135.0,135.55,23815
2018-09-07,135.4,137.5,135.35,136.15,5515
2018-09-10,138.85,138.85,135.35,136.55,7095
2018-09-11,136.2,138.0,135.2,135.7,10080
2018-09-12,134.85,137.8,134.85,136.45,3830
2018-09-14,137.7,139.9,136.25,137.3,13825
2018-09-17,139.6,149.6,138.0,145.1,137320
2018-09-18,145.8,151.8,145.8,150.05,122325
2018-09-19,151.85,153.6,151.0,152.9,77530
2018-09-21,155.15,155.15,147.0,148.6,95950
2018-09-24,151.0,151.0,140.85,142.0,334930
2018-09-25,142.95,142.95,136.0,139.8,83765
2018-09-26,138.05,142.0,132.6,135.45,81390
2018-09-27,134.45,137.3,131.4,132.95,58095
2018-09-28,132.95,137.15,117.95,120.1,122140
2018-10-01,119.9,121.6,115.5,120.1,411920
2018-10-03,120.0,130.4,120.0,123.35,39785
2018-10-04,120.0,126.3,119.0,124.15,27105
2018-10-05,132.0,132.0,118.0,120.75,33445
2018-10-08,118.0,125.4,118.0,121.25,79615
2018-10-09,120.6,127.05,119.5,125.95,578720
2018-10-10,124.9,132.0,122.4,129.45,71360
2018-10-11,123.0,130.2,123.0,128.0,15245
2018-10-12,129.7,131.1,128.1,130.55,12615
2018-10-15,133.7,133.7,127.05,129.9,14105
2018-10-16,129.35,140.3,129.35,138.95,42290
2018-10-17,136.7,141.1,133.1,135.85,29620
2018-10-19,139.9,139.9,125.85,129.2,95205
2018-10-22,130.25,130.25,126.1,126.85,14475
2018-10-23,128.8,141.2,123.2,137.65,801885
2018-10-24,138.05,141.5,132.35,133.3,39185
2018-10-25,135.25,135.25,130.5,131.45,22245
2018-10-26,134.05,139.8,130.5,136.45,21265
2018-10-29,135.2,143.6,135.0,141.8,47825
2018-10-30,142.4,150.4,142.4,148.3,174900
2018-10-31,148.25,150.4,141.2,148.05,739455
2018-11-01,147.35,148.0,142.2,143.6,30855
2018-11-02,145.1,146.45,138.05,139.6,690190
2018-11-05,140.0,141.7,138.2,139.65,14890
2018-11-06,140.0,144.3,140.0,141.7,11525
2018-11-09,144.7,148.4,140.0,145.95,185260
2018-11-12,146.1,149.1,145.65,148.2,54330
2018-11-13,148.0,150.8,145.0,149.4,80775
2018-11-14,149.45,151.7,149.4,150.9,21940
2018-11-15,150.9,151.8,148.0,151.1,39555
2018-11-16,151.4,152.1,147.0,150.3,31090
2018-11-19,153.4,153.8,150.0,150.55,43765
2018-11-20,151.3,151.7,145.1,145.8,60310
2018-11-21,147.0,147.3,142.8,143.3,37295
2018-11-22,145.3,147.3,141.2,144.6,35650
2018-11-26,145.3,147.55,143.45,144.9,35470
2018-11-27,145.8,146.4,143.2,144.0,24450
2018-11-28,144.8,145.8,143.0,143.45,15950
2018-11-29,144.45,145.0,142.6,143.0,11520
2018-11-30,143.5,144.35,142.2,142.35,17320
2018-12-03,142.35,144.15,142.0,143.05,21520
2018-12-04,143.0,143.65,141.8,142.2,19025
2018-12-05,141.55,143.1,140.3,141.45,13935
2018-12-06,140.35,141.05,136.0,139.4,23125
2018-12-07,141.8,141.8,138.4,140.65,36170
2018-12-10,138.95,141.3,137.95,140.8,18000
2018-12-11,138.4,144.1,138.4,143.35,9295
2018-12-12,143.35,147.15,142.0,145.95,777550
2018-12-13,145.6,147.55,143.85,146.35,29440
2018-12-14,146.05,146.2,143.8,144.3,13960
2018-12-17,145.35,146.4,144.0,145.4,11535
2018-12-18,145.8,145.9,142.85,143.65,23805
2018-12-19,144.0,148.6,144.0,147.65,51815
2018-12-20,147.65,147.65,144.2,145.5,30930
2018-12-21,148.1,148.1,143.3,143.75,36360
2018-12-24,143.15,144.4,142.8,142.9,14245
2018-12-26,145.55,145.55,142.4,143.15,29100
2018-12-27,143.9,144.05,142.7,142.75,29250
2018-12-28,143.55,144.0,142.2,142.65,41550
2018-12-31,143.6,144.0,142.4,142.9,45200
2019-01-01,143.85,145.0,143.25,144.8,17430
2019-01-02,144.95,144.95,143.6,144.35,19590
2019-01-03,143.85,144.8,142.4,142.8,34840
2019-01-04,143.2,143.7,141.4,141.7,296915
2019-01-07,143.1,144.5,142.6,143.65,23550
2019-01-08,144.65,145.8,141.9,142.4,48270
2019-01-09,142.4,146.0,142.15,145.55,37145
2019-01-10,145.45,145.45,142.8,143.8,36265
2019-01-11,143.7,144.85,143.1,144.0,17075
2019-01-14,144.15,144.15,140.3,141.15,60005
2019-01-15,142.05,144.85,140.6,141.5,29635
2019-01-16,142.05,142.85,141.2,141.45,9220
2019-01-17,142.05,143.05,141.0,141.9,12160
2019-01-18,142.7,142.9,141.4,142.4,8695
2019-01-21,142.4,143.25,141.8,142.25,10675
2019-01-22,142.0,142.7,140.8,141.55,19860
2019-01-23,142.05,142.35,140.8,141.0,11400
2019-01-24,142.0,142.95,139.45,140.25,27235
2019-01-25,140.05,142.0,135.5,137.05,61620
2019-01-28,137.6,140.45,136.0,136.45,30915
2019-01-29,138.2,138.2,126.55,129.2,139890
2019-01-30,130.85,133.25,130.2,132.8,32530
2019-01-31,132.8,135.4,128.0,132.95,886740
2019-02-01,132.85,134.4,131.0,133.85,269095
2019-02-04,134.0,134.0,130.5,131.3,9305
2019-02-05,131.9,132.0,128.65,130.5,36030
2019-02-06,129.0,130.0,127.9,128.15,27495
2019-02-07,129.25,129.3,127.2,127.4,21730
2019-02-08,129.05,129.2,126.4,126.9,18410
2019-02-11,127.05,127.85,124.4,124.8,20595
2019-02-12,124.8,125.0,121.0,121.55,31275
2019-02-13,122.1,122.7,120.0,120.4,45465
2019-02-14,122.0,122.0,119.2,119.55,36950
2019-02-15,121.25,124.6,119.3,121.85,23230
2019-02-18,122.0,123.0,121.0,121.7,29335
2019-02-19,122.1,124.2,121.0,121.85,27740
2019-02-20,122.05,124.9,122.05,123.1,9880
2019-02-21,122.4,123.85,121.4,122.1,22600
2019-02-22,122.0,124.2,122.0,123.9,31200
2019-02-25,124.25,125.7,123.0,125.05,83105
2019-02-26,125.05,128.0,123.4,124.15,170325
2019-02-27,125.05,125.9,123.6,124.45,10575
2019-02-28,124.1,124.9,121.45,121.9,29815
2019-03-01,123.05,123.05,121.8,122.2,286585
2019-03-05,123.85,125.45,122.0,124.55,123900
2019-03-06,125.0,128.0,124.2,125.55,83770
2019-03-07,125.55,127.4,122.95,127.05,71155
2019-03-08,127.05,133.2,125.65,130.6,50680
2019-03-11,130.7,133.0,129.4,130.0,42555
2019-03-12,129.7,132.0,129.7,131.85,66635
2019-03-13,130.2,133.0,129.05,130.75,32310
2019-03-14,132.1,133.65,130.65,133.0,75360
2019-03-15,133.45,135.6,131.25,133.1,39605
2019-03-18,134.4,134.85,128.0,129.45,38275
2019-03-19,129.65,129.8,127.0,128.15,29050
2019-03-20,128.7,129.4,126.6,126.8,20905
2019-03-22,126.8,129.35,125.0,125.35,20460
2019-03-25,126.0,126.05,124.8,125.35,8110
2019-03-26,125.45,132.7,125.45,126.55,51550
2019-03-27,125.9,127.65,125.0,125.45,268420
2019-03-28,126.05,127.65,125.45,126.55,8075
2019-03-29,127.05,130.45,125.7,128.2,18795
2019-04-01,128.05,133.4,128.0,132.25,32335
2019-04-02,133.85,134.0,131.65,132.15,7940
2019-04-03,133.6,134.05,131.0,131.9,12090
2019-04-04,132.1,132.1,128.6,129.5,18155
2019-04-05,128.65,130.9,128.65,129.95,2860
2019-04-08,131.35,131.35,129.55,130.25,13085
2019-04-09,130.25,131.6,128.0,129.2,31910
2019-04-10,128.85,129.95,126.8,127.95,16470
2019-04-11,127.8,129.05,127.0,128.3,9670
2019-04-12,128.7,132.6,127.95,131.1,19155
2019-04-15,132.05,136.8,130.8,135.15,46395
2019-04-16,134.1,138.0,131.1,136.45,30935
2019-04-18,136.2,136.2,134.0,135.6,39390
2019-04-22,134.5,136.05,134.2,135.45,5815
2019-04-23,135.0,137.5,135.0,136.2,16385
2019-04-24,136.0,137.4,135.4,135.95,17080
2019-04-25,136.0,139.0,135.45,136.55,16715
2019-04-26,135.45,136.15,134.3,135.2,20280
2019-04-30,136.85,137.6,135.0,136.95,10480
2019-05-02,137.25,137.25,135.0,135.0,10435
2019-05-03,135.15,136.05,133.85,134.5,25045
2019-05-06,135.0,135.85,134.4,135.0,7615
2019-05-07,135.0,135.0,132.2,132.7,14850
2019-05-08,132.2,133.4,131.0,131.15,48370
2019-05-09,133.8,134.8,131.65,132.0,43790
2019-05-10,132.2,133.25,131.65,132.1,47755
2019-05-13,134.25,134.25,129.45,129.7,56140
2019-05-14,132.05,132.05,127.6,128.35,60335
2019-05-15,127.45,129.35,126.6,127.15,56375
2019-05-16,127.7,135.65,127.4,134.6,89905
2019-05-17,134.8,135.05,134.4,134.6,46365
2019-05-20,135.05,137.2,134.2,136.65,71070
2019-05-21,137.0,137.4,131.7,132.7,69980
2019-05-22,132.0,132.0,126.3,127.6,77935
2019-05-23,129.2,135.5,129.2,134.1,268765
2019-05-24,133.2,140.0,132.0,138.8,114460
2019-05-27,139.0,145.9,139.0,145.55,125655
2019-05-28,146.05,146.45,143.6,145.4,18045
2019-05-29,145.6,145.9,143.25,143.5,36195
2019-05-30,145.8,150.9,144.1,146.25,108810
2019-05-31,148.05,154.8,147.85,153.75,86805
2019-06-03,154.85,158.05,152.6,155.3,160535
2019-06-04,154.85,154.9,147.6,149.25,41945
2019-06-06,150.0,152.65,148.6,149.95,131130
2019-06-07,148.45,154.0,148.45,153.2,69600
2019-06-10,152.0,168.0,150.65,164.8,6718295
2019-06-11,166.2,166.95,158.4,159.85,386700
2019-06-12,159.85,162.0,156.0,160.8,106070
2019-06-13,161.05,161.05,158.0,159.6,28110
2019-06-14,159.6,159.6,154.2,155.3,47420
2019-06-17,159.25,159.25,154.2,154.85,82700
2019-06-18,156.05,156.05,153.6,154.0,203615
2019-06-19,155.05,156.05,154.2,155.0,44170
2019-06-20,155.0,157.65,154.2,156.1,36665
