date,open,high,low,close,volume
2018-07-05,633.7,665.0,627.7,656.8,359644
2018-07-06,650.5,720.0,635.5,703.1,408996
2018-07-09,707.5,823.5,707.0,778.4,1456592
2018-07-10,781.2,800.2,756.2,765.1,379400
2018-07-11,746.2,759.5,726.9,726.9,531448
2018-07-12,715.6,715.6,690.5,690.5,26448
2018-07-13,661.3,687.2,656.0,656.0,209472
2018-07-16,627.8,644.4,623.2,623.2,90272
2018-07-17,597.8,607.1,592.1,592.1,364604
2018-07-18,580.5,585.3,562.5,562.5,206940
2018-07-19,534.4,590.6,534.4,590.6,309628
2018-07-20,611.2,620.1,562.5,567.7,696016
2018-07-23,572.5,596.1,567.8,589.2,207072
2018-07-24,618.2,618.6,579.0,607.3,546524
2018-07-25,607.5,611.0,582.5,588.4,56656
2018-07-26,577.5,599.8,577.5,595.8,73516
2018-07-27,585.2,599.6,585.2,595.4,33328
2018-07-30,587.6,606.4,587.6,600.1,63200
2018-07-31,602.5,609.5,596.8,606.2,97580
2018-08-01,611.0,636.5,604.5,633.3,149960
2018-08-02,634.2,663.8,622.5,653.3,498576
2018-08-03,657.5,686.0,657.5,686.0,97776
2018-08-06,710.0,720.0,675.0,708.7,94264
2018-08-07,718.8,733.0,701.6,707.0,66684
2018-08-08,687.5,704.2,671.8,681.4,54472
2018-08-09,658.8,698.2,658.8,693.1,40360
2018-08-10,700.0,719.3,688.4,708.6,52316
2018-08-13,718.7,730.0,677.5,722.5,81548
2018-08-14,702.5,734.7,702.5,718.2,107540
2018-08-16,735.2,747.5,711.7,720.6,97812
2018-08-17,735.0,735.0,708.8,716.4,18880
2018-08-20,715.0,732.5,715.0,720.9,42040
2018-08-21,729.2,757.0,729.2,756.1,179820
2018-08-23,762.0,775.0,743.8,748.8,52952
2018-08-24,742.8,765.0,735.0,749.4,63588
2018-08-27,762.5,772.5,750.0,754.9,39612
2018-08-28,755.0,792.6,755.0,781.5,96532
2018-08-29,787.5,797.5,781.5,786.7,201008
2018-08-30,797.5,797.5,761.7,764.2,23104
2018-08-31,762.5,798.8,762.5,795.7,142232
2018-09-03,800.2,822.5,796.3,807.4,54216
