date,open,high,low,close,volume
2018-07-05,243.2,244.0,240.0,241.8,8445
2018-07-06,241.0,244.2,241.0,242.1,78050
2018-07-09,241.0,245.4,240.2,244.1,37275
2018-07-10,244.8,245.4,243.2,244.55,13830
2018-07-11,243.25,245.2,240.0,242.9,61850
2018-07-12,241.2,245.9,241.1,243.35,49280
2018-07-13,240.4,244.7,240.4,241.15,19470
2018-07-16,241.35,242.9,241.0,242.25,28040
2018-07-17,244.0,244.9,240.8,242.35,16615
2018-07-18,242.6,244.0,240.2,241.2,8890
2018-07-19,241.25,241.25,238.2,238.9,11690
2018-07-20,239.0,240.0,237.6,237.7,25735
2018-07-23,238.0,245.4,238.0,240.3,26045
2018-07-24,240.35,241.75,236.55,240.85,37555
2018-07-25,242.0,242.75,238.7,239.25,36070
2018-07-26,238.85,240.4,238.6,239.45,19740
2018-07-27,240.45,244.95,240.0,243.05,29360
2018-07-30,245.0,248.2,240.0,242.0,75815
2018-07-31,243.5,243.85,239.8,242.25,1050020
2018-08-01,246.0,246.0,241.65,242.45,19110
2018-08-02,242.4,242.9,240.2,241.05,23965
2018-08-03,244.0,246.2,239.8,242.8,74830
2018-08-06,246.2,248.2,244.05,245.05,50870
2018-08-07,245.6,246.2,242.6,243.15,41630
2018-08-08,244.0,247.25,242.0,243.15,29670
2018-08-09,243.55,244.2,237.0,239.35,52000
2018-08-10,239.6,240.0,237.85,238.7,9900
2018-08-13,238.0,243.2,231.85,232.85,106515
2018-08-14,236.35,236.35,229.0,230.1,50405
2018-08-16,229.6,229.6,226.4,226.9,35510
2018-08-17,226.4,232.2,226.4,229.25,33510
2018-08-20,230.95,232.6,226.0,227.35,57155
2018-08-21,227.3,230.0,226.0,226.4,36390
2018-08-23,226.0,228.8,222.9,223.3,71895
2018-08-24,222.2,224.6,220.0,223.4,104930
2018-08-27,227.0,227.0,220.0,221.65,47810
2018-08-28,225.0,225.0,221.6,222.65,58045
2018-08-29,225.4,225.4,222.2,223.0,31015
2018-08-30,222.0,224.05,218.6,219.05,108555
2018-08-31,220.6,223.8,216.35,220.0,639565
2018-09-03,223.8,225.0,216.5,217.3,82875
2018-09-04,217.0,218.4,215.0,215.6,42940
2018-09-05,215.6,219.0,212.0,216.6,0
2018-09-06,217.8,217.8,215.0,216.45,60395
2018-09-07,217.7,217.7,212.2,214.45,645170
2018-09-10,214.8,215.2,208.0,211.0,216810
2018-09-11,210.0,213.0,210.0,211.55,60815
