date,open,high,low,close,volume
2018-07-05,4.5,4.5,4.4,4.5,366920
2018-07-06,4.5,4.5,4.4,4.4,522560
2018-07-09,4.5,4.5,4.2,4.3,1160260
2018-07-10,4.2,4.7,4.2,4.7,2237720
2018-07-11,4.7,5.2,4.7,5.0,2991110
2018-07-12,5.1,5.2,4.8,4.8,1134310
2018-07-13,4.9,4.9,4.5,4.5,616680
2018-07-16,4.5,4.5,4.2,4.3,1058510
2018-07-17,4.3,4.5,4.3,4.3,738060
2018-07-18,4.5,4.5,4.1,4.2,699040
2018-07-19,4.2,4.2,3.8,3.8,2570760
2018-07-20,3.7,3.9,3.6,3.8,1130370
2018-07-23,3.9,4.0,3.8,3.9,589770
2018-07-24,3.9,4.1,3.9,4.1,660110
2018-07-25,4.1,4.2,3.9,4.0,593100
2018-07-26,4.0,4.0,3.8,3.8,406740
2018-07-27,3.9,4.0,3.9,4.0,705520
2018-07-30,4.0,4.2,4.0,4.0,470690
2018-07-31,4.2,4.2,4.1,4.2,1471360
2018-08-01,4.5,4.5,4.5,4.5,236220
2018-08-02,4.7,4.7,4.7,4.7,158060
2018-08-03,4.9,4.9,4.6,4.9,5872950
2018-08-06,5.1,5.1,5.1,5.1,940950
2018-08-07,5.4,5.4,5.2,5.2,2845150
2018-08-08,5.4,5.4,5.0,5.0,1217680
2018-08-09,5.0,5.2,4.9,5.0,666000
2018-08-10,5.0,5.0,4.8,4.8,731980
2018-08-13,4.6,4.7,4.5,4.5,458110
2018-08-14,4.3,4.5,4.3,4.3,555030
2018-08-16,4.1,4.1,4.1,4.1,312550
2018-08-17,3.9,4.3,3.9,4.2,3018980
2018-08-20,4.3,4.4,4.0,4.3,1857000
2018-08-21,4.4,4.5,4.3,4.4,633750
2018-08-23,4.5,4.6,4.2,4.3,1146580
2018-08-24,4.2,4.4,4.1,4.3,1001070
2018-08-27,4.3,4.4,4.3,4.4,639370
2018-08-28,4.3,4.3,4.2,4.3,254400
2018-08-29,4.3,4.4,4.2,4.3,392740
2018-08-30,4.3,4.4,4.3,4.3,322530
2018-08-31,4.3,4.3,4.2,4.2,390380
2018-09-03,4.2,4.4,4.2,4.2,2068420
2018-09-04,4.3,4.3,4.1,4.2,311300
2018-09-05,4.2,4.2,4.0,4.0,0
2018-09-06,4.0,4.2,4.0,4.2,927380
2018-09-07,4.4,4.4,4.2,4.2,652580
2018-09-10,4.2,4.4,4.1,4.2,588990
2018-09-11,4.2,4.3,4.1,4.2,568350
2018-09-12,4.2,4.2,4.0,4.1,418760
2018-09-14,4.2,4.2,4.1,4.1,230420
2018-09-17,4.2,4.2,4.1,4.1,299720
2018-09-18,4.2,4.2,4.0,4.0,246870
2018-09-19,4.0,4.1,3.8,3.9,435000
2018-09-21,4.0,4.0,3.7,3.8,945060
2018-09-24,4.0,4.0,3.6,3.6,432970
2018-09-25,3.8,3.8,3.6,3.7,682130
2018-09-26,3.7,3.8,3.5,3.6,223920
2018-09-27,3.6,3.6,3.5,3.6,507570
2018-09-28,3.6,3.6,3.4,3.4,524750
2018-10-01,3.3,3.3,3.3,3.3,478260
2018-10-03,3.4,3.4,3.2,3.4,335220
2018-10-04,3.4,3.5,3.3,3.3,575620
2018-10-05,3.3,3.4,3.2,3.2,332220
2018-10-08,3.0,3.3,3.0,3.1,530030
2018-10-09,3.1,3.4,3.0,3.2,588460
2018-10-10,3.3,3.5,3.1,3.5,642690
2018-10-11,3.5,3.5,3.3,3.3,316770
2018-10-12,3.4,3.6,3.4,3.5,361560
2018-10-15,3.6,3.6,3.5,3.6,244970
2018-10-16,3.7,4.0,3.6,4.0,933730
2018-10-17,4.1,4.2,3.8,3.8,994870
2018-10-19,3.8,3.9,3.7,3.8,360740
2018-10-22,3.8,4.0,3.6,3.7,315470
2018-10-23,3.6,3.8,3.5,3.6,438470
2018-10-24,3.8,3.8,3.5,3.5,326050
2018-10-25,3.5,3.6,3.4,3.5,268260
2018-10-26,3.4,3.5,3.3,3.4,214440
2018-10-29,3.7,3.7,3.4,3.5,291690
2018-10-30,3.5,3.6,3.4,3.5,286230
2018-10-31,3.5,3.6,3.4,3.5,226290
2018-11-01,3.5,3.5,3.2,3.5,296270
2018-11-02,3.5,3.8,3.4,3.5,571060
2018-11-05,3.6,3.6,3.3,3.3,528960
2018-11-06,3.4,3.6,3.4,3.5,458490
2018-11-09,3.4,3.6,3.3,3.3,681520
2018-11-12,3.4,3.5,3.3,3.3,748580
2018-11-13,3.3,3.4,3.2,3.3,702670
2018-11-14,3.3,3.4,3.3,3.3,526900
2018-11-15,3.2,3.4,3.2,3.3,739480
2018-11-16,3.3,3.3,3.2,3.2,337350
2018-11-19,3.3,3.3,3.2,3.3,366070
2018-11-20,3.2,3.3,3.2,3.2,291940
2018-11-21,3.2,3.2,3.0,3.1,474850
2018-11-22,3.1,3.3,2.9,3.0,802560
2018-11-26,3.0,3.0,2.9,3.0,443450
2018-11-27,2.9,3.0,2.8,2.8,559200
2018-11-28,2.8,3.1,2.7,2.8,1625300
2018-11-29,2.8,2.9,2.7,2.7,678500
2018-11-30,2.7,2.8,2.5,2.5,2256350
2018-12-03,2.5,2.6,2.4,2.6,1113450
2018-12-04,2.7,2.7,2.5,2.7,766260
2018-12-05,2.8,2.9,2.8,2.9,1589470
2018-12-06,2.9,3.0,2.7,2.7,938940
2018-12-07,2.7,2.8,2.6,2.7,469190
2018-12-10,2.6,2.7,2.5,2.5,636620
2018-12-11,2.5,2.6,2.4,2.6,670410
2018-12-12,2.6,2.7,2.6,2.7,575430
2018-12-13,2.8,2.8,2.7,2.7,968900
2018-12-14,2.6,2.7,2.6,2.7,526060
2018-12-17,2.7,2.7,2.6,2.6,229600
2018-12-18,2.6,2.7,2.6,2.7,343340
2018-12-19,2.8,2.8,2.7,2.8,221490
2018-12-20,2.7,2.9,2.7,2.9,474000
2018-12-21,2.9,2.9,2.8,2.8,417200
2018-12-24,2.8,2.9,2.8,2.8,174770
2018-12-26,2.8,2.9,2.8,2.8,253340
2018-12-27,2.9,2.9,2.7,2.9,390960
2018-12-28,2.9,3.0,2.8,2.8,839320
2018-12-31,2.8,2.9,2.8,2.9,738040
2019-01-01,2.9,2.9,2.8,2.9,593900
2019-01-02,2.9,2.9,2.8,2.8,277720
2019-01-03,2.9,2.9,2.8,2.8,221040
2019-01-04,2.8,2.9,2.8,2.8,540650
2019-01-07,2.8,2.9,2.8,2.8,232770
2019-01-08,2.8,2.8,2.8,2.8,166230
2019-01-09,2.8,2.8,2.7,2.8,618200
2019-01-10,2.7,2.8,2.7,2.7,195880
2019-01-11,2.8,2.8,2.7,2.7,163000
