date,open,high,low,close,volume
2018-07-05,531.84,542.22,525.62,540.46,1982070
2018-07-06,539.87,539.87,529.98,533.5,3569128
2018-07-09,534.29,536.49,527.53,529.49,1041485
2018-07-10,531.84,533.8,526.11,527.33,1321786
2018-07-11,526.7,533.6,525.23,529.19,936083
2018-07-12,530.86,531.4,521.8,522.63,1611621
2018-07-13,527.43,527.43,496.19,498.24,2674118
2018-07-16,499.03,507.94,494.28,497.61,2393688
2018-07-17,501.33,511.17,496.63,506.23,3789259
2018-07-18,508.82,521.75,502.5,510.19,6994625
2018-07-19,511.56,515.29,502.75,511.12,1779190
2018-07-20,508.28,511.12,500.1,503.78,1073646
2018-07-23,503.43,508.87,494.42,503.97,1169294
2018-07-24,502.45,522.83,502.45,514.45,2899553
2018-07-25,516.17,518.22,503.48,510.34,1807789
2018-07-26,511.22,515.58,505.25,508.09,1969908
2018-07-27,511.66,515.63,505.64,507.99,1410513
2018-07-30,509.7,514.89,506.37,513.23,888530
2018-07-31,513.72,518.86,511.37,516.31,1473609
2018-08-01,517.93,523.51,512.98,515.63,1491570
2018-08-02,514.21,517.73,506.57,507.74,1038569
2018-08-03,510.29,515.04,507.45,509.9,845588
2018-08-06,511.27,517.1,510.29,512.3,837636
2018-08-07,515.19,521.75,514.21,519.64,982782
2018-08-08,522.14,529.63,516.36,519.79,1397385
2018-08-09,520.33,520.77,510.39,512.15,1510816
2018-08-10,514.21,514.21,503.29,506.27,1018363
2018-08-13,504.32,509.31,494.62,496.04,983867
2018-08-14,496.58,508.87,496.58,503.38,1007964
2018-08-16,502.45,504.41,483.06,490.16,2685550
2018-08-17,492.61,496.09,488.89,493.15,1187919
2018-08-20,499.42,500.25,493.69,495.75,1564381
2018-08-21,496.58,505.39,494.62,504.56,1787518
2018-08-23,505.39,506.03,494.28,495.21,1467587
2018-08-24,494.62,501.28,490.26,499.86,1462613
2018-08-27,506.37,506.37,495.7,500.69,1580911
2018-08-28,505.34,507.74,498.73,500.2,1583481
2018-08-29,501.72,503.78,491.73,494.62,2311842
2018-08-30,493.15,499.52,493.15,498.24,1918899
2018-08-31,499.52,500.5,487.76,489.67,2175231
2018-09-03,494.42,494.62,487.03,489.33,1002670
2018-09-04,490.7,491.09,474.05,483.01,1688952
