date,open,high,low,close,volume
2018-07-05,1167.0,1182.0,1155.0,1159.0,94716
2018-07-06,1155.0,1171.0,1144.0,1147.0,27864
2018-07-09,1148.0,1175.0,1148.0,1166.0,16110
2018-07-10,1175.0,1183.0,1167.0,1177.0,11406
2018-07-11,1177.0,1187.0,1167.0,1172.0,4536
2018-07-12,1178.0,1212.0,1170.0,1201.0,17412
2018-07-13,1207.0,1207.0,1178.0,1188.0,7782
2018-07-16,1182.0,1188.0,1163.0,1167.0,16956
2018-07-17,1167.0,1175.0,1159.0,1163.0,11166
2018-07-18,1174.0,1174.0,1148.0,1155.0,25116
2018-07-19,1148.0,1155.0,1128.0,1131.0,30990
2018-07-20,1137.0,1137.0,1109.0,1116.0,29868
2018-07-23,1110.0,1130.0,1104.0,1110.0,9612
2018-07-24,1110.0,1162.0,1110.0,1148.0,24108
2018-07-25,1158.0,1165.0,1125.0,1132.0,50910
2018-07-26,1136.0,1160.0,1136.0,1150.0,10692
2018-07-27,1151.0,1156.0,1133.0,1140.0,24966
2018-07-30,1134.0,1160.0,1113.0,1116.0,25272
2018-07-31,1120.0,1120.0,1100.0,1110.0,24948
2018-08-01,1101.0,1124.0,1101.0,1108.0,9414
2018-08-02,1108.0,1113.0,1090.0,1092.0,29946
2018-08-03,1097.0,1129.0,1097.0,1124.0,100668
2018-08-06,1124.0,1133.0,1112.0,1115.0,13182
2018-08-07,1113.0,1124.0,1103.0,1112.0,7770
2018-08-08,1108.0,1137.0,1108.0,1122.0,9840
2018-08-09,1136.0,1136.0,1117.0,1120.0,6276
2018-08-10,1128.0,1133.0,1113.0,1125.0,52812
2018-08-13,1125.0,1125.0,1105.0,1112.0,6534
2018-08-14,1118.0,1125.0,1111.0,1125.0,13128
2018-08-16,1117.0,1125.0,1117.0,1118.0,4794
2018-08-17,1120.0,1139.0,1119.0,1125.0,56508
2018-08-20,1117.0,1132.0,1117.0,1120.0,11760
2018-08-21,1117.0,1132.0,1117.0,1129.0,15420
2018-08-23,1118.0,1137.0,1118.0,1133.0,18810
2018-08-24,1125.0,1151.0,1122.0,1129.0,30102
2018-08-27,1129.0,1241.0,1129.0,1209.0,114606
2018-08-28,1221.0,1233.0,1192.0,1195.0,28662
2018-08-29,1194.0,1229.0,1187.0,1193.0,24978
2018-08-30,1185.0,1224.0,1179.0,1187.0,16776
2018-08-31,1187.0,1213.0,1175.0,1193.0,16758
