date,open,high,low,close,volume
2018-07-05,277.1,288.6,274.0,286.3,62080
2018-07-06,286.4,296.8,282.2,294.4,86505
2018-07-09,296.2,302.0,293.2,295.1,101930
2018-07-10,294.8,297.5,284.6,290.5,32260
2018-07-11,285.5,289.9,285.1,286.2,14560
2018-07-12,288.0,298.0,287.5,288.3,52415
2018-07-13,286.2,290.0,286.2,288.7,6415
2018-07-16,296.0,296.0,281.2,286.6,13850
2018-07-17,288.3,289.0,285.3,287.4,8390
2018-07-18,286.0,289.0,286.0,287.1,9520
2018-07-19,286.2,288.9,286.0,287.7,11000
2018-07-20,288.2,297.4,285.0,285.2,30415
2018-07-23,282.3,290.4,272.0,278.6,90885
2018-07-24,279.1,292.4,275.9,290.2,33805
2018-07-25,290.0,290.8,286.2,288.0,63880
2018-07-26,288.2,288.2,283.6,286.3,14620
2018-07-27,286.3,296.0,286.0,292.0,30925
2018-07-30,292.8,297.2,290.0,290.6,26760
2018-07-31,291.0,291.0,285.0,285.9,11875
2018-08-01,285.9,294.0,284.4,287.6,48655
2018-08-02,289.9,289.9,283.8,284.9,23555
2018-08-03,287.8,312.6,275.5,302.1,398700
2018-08-06,304.0,307.7,293.0,299.5,113855
2018-08-07,301.8,301.8,292.4,296.9,40340
2018-08-08,294.2,297.0,290.0,294.1,50285
2018-08-09,296.4,299.0,293.2,295.4,40100
2018-08-10,295.4,300.0,282.1,294.8,109265
2018-08-13,287.7,293.6,286.0,286.8,22100
2018-08-14,287.8,289.0,278.8,283.0,61520
2018-08-16,284.6,284.6,277.2,280.9,41685
2018-08-17,279.2,287.6,279.2,283.4,16740
2018-08-20,285.8,285.8,281.2,283.0,13205
2018-08-21,284.4,284.4,282.0,282.4,14525
2018-08-23,282.4,284.4,277.9,280.8,71120
2018-08-24,278.5,299.0,278.5,295.5,199275
2018-08-27,300.0,340.1,296.4,325.9,1367055
2018-08-28,327.3,338.4,317.6,324.9,409400
2018-08-29,327.0,334.0,322.4,324.8,116205
2018-08-30,328.8,331.0,320.0,324.9,126500
2018-08-31,326.2,337.2,323.6,330.5,155330
2018-09-03,332.4,396.0,325.8,350.4,1024955
2018-09-04,354.0,358.0,342.6,352.3,282345
2018-09-05,352.2,361.0,338.0,343.6,138055
2018-09-06,343.8,354.2,338.2,349.0,176090
2018-09-07,350.0,350.0,343.0,344.4,58350
2018-09-10,346.0,347.6,335.4,335.9,65640
2018-09-11,338.4,338.6,324.6,326.0,65335
2018-09-12,326.4,334.0,321.2,326.1,107150
2018-09-14,332.8,335.6,324.2,325.1,58145
2018-09-17,322.2,327.2,316.6,317.4,60390
2018-09-18,317.0,327.2,314.4,316.6,105255
2018-09-19,318.0,325.8,310.8,314.8,76385
2018-09-21,314.8,318.3,277.9,308.3,83385
2018-09-24,305.2,306.6,290.0,290.9,92650
2018-09-25,292.0,292.0,272.6,285.2,265350
2018-09-26,285.4,294.2,280.3,290.8,105900
2018-09-27,294.4,297.5,283.0,284.4,63280
2018-09-28,286.2,287.9,265.4,274.1,131170
2018-10-01,274.0,284.6,262.0,277.4,87295
2018-10-03,278.0,285.4,268.8,274.8,60595
2018-10-04,271.0,284.8,269.1,274.0,68250
2018-10-05,274.0,279.7,264.9,268.2,101385
2018-10-08,268.2,275.9,258.2,262.1,62670
2018-10-09,267.1,267.1,260.5,263.0,27690
2018-10-10,270.0,272.0,262.1,266.2,133935
2018-10-11,262.0,263.3,256.0,257.7,58060
2018-10-12,260.0,267.6,255.2,264.1,61690
2018-10-15,269.0,272.7,263.0,265.1,66900
2018-10-16,265.6,270.0,262.8,263.4,52440
2018-10-17,267.4,267.4,261.2,263.1,75460
2018-10-19,265.8,265.8,258.2,261.9,31175
2018-10-22,268.6,268.6,250.0,254.9,50225
2018-10-23,255.4,258.0,247.0,251.2,69305
2018-10-24,260.0,263.9,238.2,240.7,680310
2018-10-25,240.0,246.7,234.2,237.2,161625
2018-10-26,237.6,239.8,227.0,229.2,99065
2018-10-29,227.0,229.2,223.4,225.7,120000
2018-10-30,227.8,232.4,225.7,230.8,88475
2018-10-31,231.0,242.0,231.0,236.5,112440
2018-11-01,236.6,244.7,236.4,240.4,107635
2018-11-02,243.0,245.8,235.0,236.0,144455
2018-11-05,240.0,242.0,235.0,236.2,62040
2018-11-06,237.6,237.7,232.7,235.6,46340
2018-11-09,238.8,241.6,232.4,234.2,43550
2018-11-12,236.1,237.4,231.4,232.2,46905
2018-11-13,232.2,233.5,227.9,229.2,39940
2018-11-14,228.2,231.1,225.0,225.8,52160
2018-11-15,225.8,227.0,217.6,222.0,53145
2018-11-16,220.0,237.4,220.0,226.4,81635
2018-11-19,228.2,232.8,225.3,230.8,40930
2018-11-20,232.8,233.4,225.0,226.1,47410
2018-11-21,229.5,230.9,222.6,226.0,214285
2018-11-22,226.6,229.4,222.2,223.2,61595
2018-11-26,224.4,231.0,218.6,228.6,101850
2018-11-27,234.0,247.5,234.0,243.9,795945
2018-11-28,245.8,249.0,237.5,242.0,180140
2018-11-29,243.4,244.0,238.0,240.0,52500
2018-11-30,241.0,245.4,238.7,242.9,45945
2018-12-03,245.6,254.4,240.9,250.5,140030
2018-12-04,251.8,252.0,245.0,246.7,64935
2018-12-05,242.4,247.0,242.0,244.9,46195
2018-12-06,243.6,251.2,241.0,247.8,59750
2018-12-07,252.0,253.0,246.5,250.1,152675
2018-12-10,249.2,260.0,245.6,255.4,297050
2018-12-11,253.6,262.4,251.3,261.1,297150
2018-12-12,264.0,274.0,261.4,273.3,216320
2018-12-13,275.0,275.1,265.0,270.4,129230
2018-12-14,270.4,273.4,268.0,271.4,40215
2018-12-17,276.0,283.2,268.3,277.4,168485
2018-12-18,274.2,279.8,272.3,278.0,49590
2018-12-19,279.8,286.4,277.4,281.2,171400
2018-12-20,283.0,283.4,278.1,279.0,48020
2018-12-21,277.0,279.7,270.4,271.4,55040
2018-12-24,272.0,283.6,270.2,274.4,75045
2018-12-26,275.0,275.9,267.5,274.3,33420
2018-12-27,279.8,279.8,272.3,274.1,28280
2018-12-28,273.6,275.0,270.4,271.4,40670
2018-12-31,277.0,277.0,271.2,272.1,25130
2019-01-01,272.7,274.0,270.2,273.3,14535
2019-01-02,274.0,275.4,269.2,270.1,27055
2019-01-03,270.8,275.0,270.8,272.0,23885
2019-01-04,269.8,271.1,265.8,267.9,20120
2019-01-07,273.6,273.6,266.2,267.0,66140
2019-01-08,268.2,270.2,261.7,265.2,23685
2019-01-09,267.4,268.4,262.6,265.2,21935
2019-01-10,266.6,268.8,264.7,266.6,14225
2019-01-11,268.1,268.2,264.4,266.6,16360
2019-01-14,270.0,270.0,265.8,268.6,22270
2019-01-15,268.6,276.0,268.6,273.4,22335
2019-01-16,272.4,274.0,269.4,270.3,12050
2019-01-17,270.3,271.6,267.1,268.5,12010
2019-01-18,270.4,273.6,254.1,258.2,46695
2019-01-21,258.0,258.2,251.0,254.0,56980
2019-01-22,253.0,253.8,251.4,252.1,15265
2019-01-23,251.2,256.0,251.0,254.9,12810
2019-01-24,254.1,265.0,254.0,261.1,30785
2019-01-25,257.4,264.0,257.4,260.3,20430
2019-01-28,261.3,261.8,252.1,260.1,28250
2019-01-29,260.0,261.4,256.0,259.7,24140
2019-01-30,256.4,259.8,254.2,257.1,15480
2019-01-31,258.4,261.4,253.0,254.7,20545
2019-02-01,254.7,269.8,254.4,267.1,36460
2019-02-04,269.8,271.0,261.0,261.9,34045
2019-02-05,263.1,267.4,262.1,265.0,16410
2019-02-06,265.7,266.8,262.0,264.1,40355
2019-02-07,264.8,267.8,264.6,265.5,17905
2019-02-08,267.2,267.2,260.1,263.8,12865
2019-02-11,262.2,264.3,255.0,257.1,12555
2019-02-12,255.0,261.0,250.2,252.3,22725
2019-02-13,253.1,257.4,251.6,253.2,8705
2019-02-14,253.0,256.6,249.0,252.2,16540
2019-02-15,254.4,257.0,250.2,251.9,17730
2019-02-18,250.2,254.0,250.2,252.7,11320
2019-02-19,250.2,253.0,245.2,249.8,20870
2019-02-20,248.7,251.8,245.0,247.4,26420
2019-02-21,247.1,252.6,247.0,248.8,26635
2019-02-22,251.0,256.2,249.6,252.0,17880
2019-02-25,253.1,253.3,248.2,250.0,109760
2019-02-26,250.2,251.8,248.0,250.1,65860
2019-02-27,253.6,255.2,250.0,252.1,264470
2019-02-28,250.4,252.0,242.4,249.1,655945
2019-03-01,248.8,255.5,239.0,250.4,693345
2019-03-05,253.0,254.8,247.2,254.1,176940
2019-03-06,254.1,257.9,251.0,252.9,52095
2019-03-07,255.0,265.8,251.1,257.4,63120
2019-03-08,256.4,263.4,255.2,255.7,18705
2019-03-11,255.4,260.9,254.8,260.3,18650
2019-03-12,260.0,265.0,257.0,259.1,39605
2019-03-13,262.8,263.6,254.8,259.2,41215
2019-03-14,260.4,262.8,257.5,258.9,10725
