label,trades,win_rate,avg_win,avg_loss,profit_factor,expectancy,gross_pnl,costs,net_pnl
360ONE,100,30.0,8607.563344166665,-2998.7210639285713,1.2301763452769212,483.1642585,78353.80000000002,30037.37415,48316.42585
3MINDIA,115,26.08695652173913,6468.173990833335,-1938.4859108823525,1.1776639309707762,254.55580260869613,59602.00000000006,30328.0827,29273.917300000056
AADHARHFC,37,18.91891891891892,6427.461953571428,-2678.808363333332,0.5598538301686579,-956.0004655405401,-24337.449999999983,11034.567225,-35372.01722499998
AARTIDRUGS,112,23.214285714285715,23303.00300480769,-2734.861762790698,2.57603291966652,3309.642558258929,404818.2500000001,34138.283475000004,370679.96652500005
AARTIIND,91,34.065934065934066,8232.175219354838,-3545.2247895833334,1.1997237925496635,466.85653214285713,69820.15,27336.205575000004,42483.944425
AARTIPHARM,56,33.92857142857143,7585.184539473683,-4106.088442567567,0.9486144339058323,-139.40653794642867,8950.949999999997,16757.716125,-7806.766125000006
AAVAS,116,34.48275862068966,7489.693245625,-2735.6458111842117,1.440955476535336,790.3331739224129,126388.54999999987,34709.90182499999,91678.6481749999
ABBOTINDIA,120,31.666666666666664,4769.996069078947,-1691.7100432926836,1.3066577171400464,354.4968922916661,75043.84999999995,32504.222925000002,42539.62707499993
ABCAPITAL,104,28.846153846153843,10438.886551500002,-2932.680964121621,1.4430417376338889,924.5019730769236,127511.98000000004,31363.7748,96148.20520000005
ABDL,24,41.66666666666667,13002.902522499997,-2755.979978571429,3.370048980140189,3810.221063541665,98779.74999999997,7334.444475,91445.30552499996
ABFRL,106,28.30188679245283,6660.181930833333,-3501.327097894738,0.7508636324793673,-625.4283161792456,-34571.81000000002,31723.591515,-66295.40151500003
ABLBL,14,14.285714285714285,727.9013300000029,-3467.249234166666,0.03498937634418186,-2867.9420107142846,-36007.65999999999,4143.52815,-40151.18814999999
ABREL,120,28.333333333333332,9919.321914705883,-3672.689626744186,1.0677712476238252,178.3803100000003,57300.90000000005,35895.2628,21405.637200000034
ABSLAMC,63,34.92063492063492,5617.866481818182,-2321.597651219512,1.2984441726497902,450.91363333333385,47318.10000000003,18910.541099999995,28407.558900000033
ACC,109,27.522935779816514,5013.036833333332,-2366.743022468354,0.8043479394870278,-335.6109520642202,-4223.750000000027,32357.843775000005,-36581.593775
ACE,108,28.703703703703702,14384.761079838712,-3390.8374084415577,1.7079165852393268,1711.4177131944448,217460.85000000006,32627.736974999996,184833.11302500003
ACI,46,43.47826086956522,5014.910852499999,-3395.042550961539,1.1362519540733758,261.45892880434735,25823.04999999997,13795.939275000002,12027.110724999979
