date,cash,mtm,nav,positions
2018-07-05,2000000.0,0.0,2000000.0,0
2018-07-06,2000000.0,0.0,2000000.0,0
2018-07-09,2000000.0,0.0,2000000.0,0
2018-07-10,2000000.0,0.0,2000000.0,0
2018-07-11,2000000.0,0.0,2000000.0,0
2018-07-12,2000000.0,0.0,2000000.0,0
2018-07-13,2000000.0,0.0,2000000.0,0
2018-07-16,2000000.0,0.0,2000000.0,0
2018-07-17,2000000.0,0.0,2000000.0,0
2018-07-18,2000000.0,0.0,2000000.0,0
2018-07-19,2000000.0,0.0,2000000.0,0
2018-07-20,2000000.0,0.0,2000000.0,0
2018-07-23,2000000.0,0.0,2000000.0,0
2018-07-24,2000000.0,0.0,2000000.0,0
2018-07-25,2000000.0,0.0,2000000.0,0
2018-07-26,2000000.0,0.0,2000000.0,0
2018-07-27,2000000.0,0.0,2000000.0,0
2018-07-30,2000000.0,0.0,2000000.0,0
2018-07-31,2000000.0,0.0,2000000.0,0
2018-08-01,2000000.0,0.0,2000000.0,0
2018-08-02,2000000.0,0.0,2000000.0,0
2018-08-03,2000000.0,0.0,2000000.0,0
2018-08-06,2000000.0,0.0,2000000.0,0
2018-08-07,2000000.0,0.0,2000000.0,0
2018-08-08,2000000.0,0.0,2000000.0,0
2018-08-09,2000000.0,0.0,2000000.0,0
2018-08-10,2000000.0,0.0,2000000.0,0
2018-08-13,2000000.0,0.0,2000000.0,0
2018-08-14,2000000.0,0.0,2000000.0,0
2018-08-16,2000000.0,0.0,2000000.0,0
2018-08-17,2000000.0,0.0,2000000.0,0
2018-08-20,2000000.0,0.0,2000000.0,0
2018-08-21,2000000.0,0.0,2000000.0,0
2018-08-23,2000000.0,0.0,2000000.0,0
2018-08-24,2000000.0,0.0,2000000.0,0
2018-08-27,2000000.0,0.0,2000000.0,0
2018-08-28,2000000.0,0.0,2000000.0,0
2018-08-29,2000000.0,0.0,2000000.0,0
2018-08-30,2000000.0,0.0,2000000.0,0
2018-08-31,2000000.0,0.0,2000000.0,0
2018-09-03,2000000.0,0.0,2000000.0,0
2018-09-04,2000000.0,0.0,2000000.0,0
2018-09-05,2000000.0,0.0,2000000.0,0
2018-09-06,2000000.0,0.0,2000000.0,0
2018-09-07,2000000.0,0.0,2000000.0,0
2018-09-10,2000000.0,0.0,2000000.0,0
2018-09-11,2000000.0,0.0,2000000.0,0
2018-09-12,2000000.0,0.0,2000000.0,0
2018-09-14,2000000.0,0.0,2000000.0,0
2018-09-17,2000000.0,0.0,2000000.0,0
2018-09-18,2000000.0,0.0,2000000.0,0
2018-09-19,2000000.0,0.0,2000000.0,0
2018-09-21,2000000.0,0.0,2000000.0,0
2018-09-24,2000000.0,0.0,2000000.0,0
2018-09-25,2000000.0,0.0,2000000.0,0
2018-09-26,2000000.0,0.0,2000000.0,0
2018-09-27,2000000.0,0.0,2000000.0,0
2018-09-28,2000000.0,0.0,2000000.0,0
2018-10-01,2000000.0,0.0,2000000.0,0
2018-10-03,2000000.0,0.0,2000000.0,0
2018-10-04,2000000.0,0.0,2000000.0,0
2018-10-05,2000000.0,0.0,2000000.0,0
2018-10-08,2000000.0,0.0,2000000.0,0
2018-10-09,2000000.0,0.0,2000000.0,0
2018-10-10,2000000.0,0.0,2000000.0,0
2018-10-11,2000000.0,0.0,2000000.0,0
2018-10-12,2000000.0,0.0,2000000.0,0
2018-10-15,2000000.0,0.0,2000000.0,0
2018-10-16,2000000.0,0.0,2000000.0,0
2018-10-17,2000000.0,0.0,2000000.0,0
2018-10-19,2000000.0,0.0,2000000.0,0
2018-10-22,2000000.0,0.0,2000000.0,0
2018-10-23,2000000.0,0.0,2000000.0,0
2018-10-24,2000000.0,0.0,2000000.0,0
2018-10-25,2000000.0,0.0,2000000.0,0
2018-10-26,2000000.0,0.0,2000000.0,0
2018-10-29,2000000.0,0.0,2000000.0,0
2018-10-30,2000000.0,0.0,2000000.0,0
2018-10-31,2000000.0,0.0,2000000.0,0
2018-11-01,7947.69694999991,1980968.15,1988915.84695,20
2018-11-02,7947.69694999991,1984758.75,1992706.44695,20
2018-11-05,7947.69694999991,1984555.05,1992502.74695,20
2018-11-06,7947.69694999991,1964472.6199999999,1972420.31695,20
2018-11-07,7947.69694999991,,,20
2018-11-09,7947.69694999991,2003371.6000000003,2011319.2969500003,20
2018-11-12,92632.47894999992,1909490.22,2002122.6989499999,19
2018-11-13,92632.47894999992,1902340.7499999998,1994973.2289499997,19
2018-11-14,92632.47894999992,1887587.4000000001,1980219.87895,19
2018-11-15,185909.6529999999,1805640.27,1991549.923,18
2018-11-16,262609.4304999999,1730204.3,1992813.7305,17
2018-11-19,354859.8469999999,1644576.1,1999435.947,16
2018-11-20,354859.8469999999,1626034.0499999998,1980893.8969999996,16
2018-11-21,354859.8469999999,1640156.1,1995015.947,16
2018-11-22,354859.8469999999,1625215.1500000001,1980074.997,16
2018-11-26,354859.8469999999,1622231.0499999998,1977090.8969999996,16
2018-11-27,354859.8469999999,1624492.5999999999,1979352.4469999997,16
2018-11-28,354859.8469999999,1605473.2,1960333.0469999998,16
2018-11-29,535585.4513499999,1440167.0,1975752.4513499998,14
2018-11-30,535585.4513499999,1452332.5499999998,1987918.0013499996,14
2018-12-03,1798.6601399998908,1970921.91,1972720.5701399997,20
2018-12-04,1798.6601399998908,1982269.4099999997,1984068.0701399995,20
2018-12-05,1798.6601399998908,1951429.3800000001,1953228.04014,20
2018-12-06,95939.2371399999,1820356.0399999998,1916295.2771399997,19
2018-12-07,185441.5320149999,1741251.68,1926693.2120149997,18
2018-12-10,185441.5320149999,1719169.9900000002,1904611.5220150002,18
2018-12-11,273393.4060149999,1658357.8199999996,1931751.2260149994,17
2018-12-12,273393.4060149999,1701806.65,1975200.0560149997,17
2018-12-13,273393.4060149999,1723152.1,1996545.506015,17
2018-12-14,273393.4060149999,1726493.58,1999886.986015,17
2018-12-17,273393.4060149999,1741191.71,2014585.1160149998,17
2018-12-18,273393.4060149999,1737078.58,2010471.986015,17
2018-12-19,273393.4060149999,1754508.23,2027901.6360149998,17
2018-12-20,273393.4060149999,1768954.5,2042347.9060149998,17
2018-12-21,273393.4060149999,1734340.9300000002,2007734.336015,17
2018-12-24,364086.6917199999,1621021.1,1985107.79172,16
2018-12-26,364086.6917199999,1630969.7000000002,1995056.3917200002,16
2018-12-27,364086.6917199999,1644289.85,2008376.54172,16
2018-12-28,364086.6917199999,1653001.0,2017087.69172,16
2018-12-31,364086.6917199999,1655428.5499999998,2019515.2417199998,16
2019-01-01,2932.884779999571,2014613.7200000002,2017546.6047799997,20
2019-01-02,2932.884779999571,1997666.5799999996,2000599.464779999,20
2019-01-03,2932.884779999571,1977166.09,1980098.9747799996,20
2019-01-04,2932.884779999571,1991630.1400000001,1994563.0247799996,20
2019-01-07,2932.884779999571,1995740.1600000004,1998673.0447799999,20
2019-01-08,2932.884779999571,1999358.81,2002291.6947799996,20
2019-01-09,2932.884779999571,1990624.6099999999,1993557.4947799994,20
2019-01-10,2932.884779999571,1993110.6699999997,1996043.5547799992,20
2019-01-11,2932.884779999571,1982088.2699999998,1985021.1547799993,20
2019-01-14,2932.884779999571,1965207.2099999997,1968140.0947799992,20
2019-01-15,186784.84255499957,1796963.9000000001,1983748.7425549997,18
2019-01-16,186784.84255499957,1795256.4100000004,1982041.252555,18
2019-01-17,186784.84255499957,1782375.5499999998,1969160.3925549993,18
2019-01-18,186784.84255499957,1774223.44,1961008.2825549995,18
2019-01-21,278016.9887549996,1676386.9700000002,1954403.9587549998,17
2019-01-22,458932.9072049996,1497708.01,1956640.9172049996,15
2019-01-23,458932.9072049996,1493692.03,1952624.9372049996,15
2019-01-24,458932.9072049996,1491651.5899999999,1950584.4972049994,15
2019-01-25,458932.9072049996,1470138.97,1929071.8772049996,15
2019-01-28,641633.6044649996,1260481.95,1902115.5544649996,13
2019-01-29,824597.2467149997,1070865.0999999999,1895462.3467149995,11
2019-01-30,916979.4652149996,982442.0499999999,1899421.5152149997,10
2019-01-31,916979.4652149996,990677.4500000001,1907656.9152149996,10
2019-02-01,75.06587999986368,1906993.6600000001,1907068.72588,20
2019-02-04,87547.18059999986,1808386.65,1895933.8305999998,19
2019-02-05,87547.18059999986,1791649.9000000001,1879197.0806,19
2019-02-06,175737.5463249999,1724376.3000000003,1900113.8463250003,18
2019-02-07,175737.5463249999,1742791.3499999999,1918528.8963249996,18
2019-02-08,175737.5463249999,1730107.7000000002,1905845.2463250002,18
2019-02-11,175737.5463249999,1717665.2,1893402.7463249997,18
2019-02-12,175737.5463249999,1705873.45,1881610.9963249997,18
2019-02-13,263596.7595249999,1608595.8499999999,1872192.6095249997,17
2019-02-14,349117.68542499986,1532896.7000000002,1882014.385425,16
2019-02-15,349117.68542499986,1511704.5999999999,1860822.2854249997,16
2019-02-18,349117.68542499986,1509529.4000000001,1858647.085425,16
2019-02-19,520736.37067499984,1331297.0,1852033.370675,14
2019-02-20,520736.37067499984,1341604.7499999998,1862341.1206749997,14
2019-02-21,520736.37067499984,1347157.5499999998,1867893.9206749997,14
2019-02-22,520736.37067499984,1352514.2999999998,1873250.6706749997,14
2019-02-25,520736.37067499984,1355875.45,1876611.8206749998,14
2019-02-26,520736.37067499984,1351016.1000000003,1871752.4706750002,14
2019-02-27,520736.37067499984,1354617.7,1875354.0706749998,14
2019-02-28,520736.37067499984,1363744.95,1884481.3206749998,14
2019-03-01,33.1244749998441,1907271.2400000002,1907304.3644750002,20
2019-03-05,33.1244749998441,1956954.5199999998,1956987.6444749995,20
2019-03-06,33.1244749998441,1976431.7,1976464.8244749997,20
2019-03-07,33.1244749998441,1965962.22,1965995.3444749997,20
2019-03-08,33.1244749998441,1967586.5799999998,1967619.7044749996,20
2019-03-11,33.1244749998441,2002955.8000000003,2002988.9244750002,20
2019-03-12,33.1244749998441,2024423.3999999997,2024456.5244749994,20
2019-03-13,33.1244749998441,2044453.44,2044486.564475,20
2019-03-14,33.1244749998441,2053607.4700000002,2053640.5944750002,20
2019-03-15,33.1244749998441,2044782.35,2044815.474475,20
2019-03-18,33.1244749998441,2052380.43,2052413.5544749997,20
2019-03-19,33.1244749998441,2067967.7400000002,2068000.8644750002,20
2019-03-20,33.1244749998441,2069158.4,2069191.5244749999,20
2019-03-22,33.1244749998441,2057533.78,2057566.9044749998,20
2019-03-25,33.1244749998441,2019541.41,2019574.5344749996,20
2019-03-26,33.1244749998441,2048522.3799999997,2048555.5044749994,20
2019-03-27,33.1244749998441,2061700.9600000002,2061734.084475,20
2019-03-28,33.1244749998441,2091626.43,2091659.5544749997,20
2019-03-29,33.1244749998441,2100405.7299999995,2100438.8544749995,20
2019-04-01,2864.528844999746,2090318.6999999997,2093183.2288449996,20
2019-04-02,2864.528844999746,2085640.3000000003,2088504.8288450001,20
2019-04-03,2864.528844999746,2072067.0499999998,2074931.5788449997,20
2019-04-04,2864.528844999746,2056578.4000000001,2059442.928845,20
2019-04-05,2864.528844999746,2078096.4999999998,2080961.0288449996,20
2019-04-08,2864.528844999746,2054319.5499999996,2057184.0788449994,20
2019-04-09,2864.528844999746,2059599.8499999999,2062464.3788449997,20
2019-04-10,2864.528844999746,2047015.95,2049880.4788449998,20
2019-04-11,2864.528844999746,2046954.5999999999,2049819.1288449997,20
2019-04-12,2864.528844999746,2050929.7499999995,2053794.2788449994,20
2019-04-15,2864.528844999746,2047954.1500000001,2050818.678845,20
2019-04-16,2864.528844999746,2062167.8,2065032.328845,20
2019-04-18,2864.528844999746,2031110.4000000001,2033974.928845,20
2019-04-22,2864.528844999746,2000076.8,2002941.328845,20
2019-04-23,98770.25414499975,1891299.6999999997,1990069.9541449994,19
2019-04-24,196975.72464499975,1810925.95,2007901.6746449997,18
2019-04-25,196975.72464499975,1802231.0,1999206.7246449997,18
2019-04-26,288293.5421449997,1710853.3000000003,1999146.8421450001,17
2019-04-30,288293.5421449997,1671183.3999999997,1959476.9421449993,17
2019-05-02,871.1952549998532,1931397.2700000005,1932268.4652550004,20
2019-05-03,871.1952549998532,1922378.74,1923249.935255,20
2019-05-06,94570.43525499986,1807438.92,1902009.3552549998,19
2019-05-07,182901.49961499986,1693543.6199999999,1876445.1196149997,18
2019-05-08,271142.6390649999,1588627.27,1859769.9090649998,17
