date,symbol,side,qty,price,cost,pnl,reason
2018-11-01,BALRAMCHIN,BUY,931,107.7,150.40305,0.0,REBAL_ENTRY
2018-11-01,AUROPHARMA,BUY,126,800.0,151.20000000000002,0.0,REBAL_ENTRY
2018-11-01,BIOCON,BUY,303,327.5,148.84875,0.0,REBAL_ENTRY
2018-11-01,UBL,BUY,81,1239.9,150.64785,0.0,REBAL_ENTRY
2018-11-01,STAR,BUY,263,378.95,149.49577499999998,0.0,REBAL_ENTRY
2018-11-01,LUPIN,BUY,112,875.0,147.0,0.0,REBAL_ENTRY
2018-11-01,BATAINDIA,BUY,102,975.0,149.175,0.0,REBAL_ENTRY
2018-11-01,UPL,BUY,231,432.3,149.79195,0.0,REBAL_ENTRY
2018-11-01,ASHOKLEY,BUY,1821,55.3,151.05194999999998,0.0,REBAL_ENTRY
2018-11-01,HAVELLS,BUY,154,647.0,149.457,0.0,REBAL_ENTRY
2018-11-01,PAGEIND,BUY,3,29400.0,132.3,0.0,REBAL_ENTRY
2018-11-01,COFORGE,BUY,407,246.0,150.183,0.0,REBAL_ENTRY
2018-11-01,HEG,BUY,117,889.8,156.1599,0.0,REBAL_ENTRY
2018-11-01,FEDERALBNK,BUY,1208,82.75,149.943,0.0,REBAL_ENTRY
2018-11-01,RBLBANK,BUY,190,525.0,149.625,0.0,REBAL_ENTRY
2018-11-01,BHARATFORG,BUY,170,585.0,149.175,0.0,REBAL_ENTRY
2018-11-01,DABUR,BUY,259,384.75,149.475375,0.0,REBAL_ENTRY
2018-11-01,BALKRISIND,BUY,91,1100.9,150.27285,0.0,REBAL_ENTRY
2018-11-01,JUSTDIAL,BUY,198,504.8,149.9256,0.0,REBAL_ENTRY
2018-11-01,ACC,BUY,72,1384.0,149.472,0.0,REBAL_ENTRY
2018-11-12,BALKRISIND,SELL,91,932.0,127.218,-15497.11800000001,STOP
2018-11-15,ASHOKLEY,SELL,1821,51.3,140.12595,-7424.12595,STOP
2018-11-16,PAGEIND,SELL,3,25605.0,115.2225,-11500.2225,STOP
2018-11-19,COFORGE,SELL,407,227.0,138.58350000000002,-7871.5835,STOP
2018-11-29,BALRAMCHIN,SELL,931,97.1,135.60014999999999,-10004.200150000008,STOP
2018-11-29,BIOCON,SELL,303,299.0,135.8955,-8771.3955,STOP
