symbol,price,volume,percent_change
360ONE,1109.5,1319185,3.69
3MINDIA,35235.0,13634,3.75
AADHARHFC,555.6,1522557,3.71
AARTIDRUGS,386.6,191215,0.56
AARTIIND,487.7,610187,1.17
AARTIPHARM,706.35,164819,1.31
AAVAS,1506.1,55158,0.15
ABBOTINDIA,25895.0,21108,0.66
ABCAPITAL,401.25,6539560,2.11
ABDL,655.15,411744,-2.65
ABFRL,62.47,8467968,0.95
ABLBL,97.89,861183,-0.41
ABREL,1405.6,412207,-1.3
ABSLAMC,1178.4,263221,-1.08
ACC,1393.8,332973,3.19
ACE,989.9,211178,-2.64
ACI,539.65,157891,1.5
ACMESOLAR,383.25,1207098,-2.54
ACUTAAS,3694.8,297410,0.08
ADVENZYMES,317.6,735736,1.32
AEGISLOG,1325.4,4605652,0.26
AEGISVOPAK,257.43,7292235,9.67
AEQUS,236.54,10538903,2.65
AETHER,1359.6,338063,-0.93
AFCONS,312.15,254106,-0.72
AFFLE,1464.6,264140,0.44
AGARWALEYE,477.6,67099,0.21
AHLUCONT,829.4,38182,-3.12
AIAENG,4754.5,102604,-0.95
AIIL,524.75,146126,0.33
AJANTPHARM,3326.3,83885,-0.57
AKUMS,626.8,123722,-1.67
ALIVUS,1157.7,78561,-0.13
ALKEM,5562.5,568290,1.13
ALKYLAMINE,1827.0,78213,-0.05
ALOKINDS,13.15,6403816,-0.9
AMBER,7484.5,202133,1.09
ANANDRATHI,2061.7,694817,3.62
ANANTRAJ,554.7,4106068,3.17
ANGELONE,352.25,8341417,1.76
ANTHEM,770.9,324125,-0.19
ANURAS,1269.9,187232,-0.3
APARINDS,14174.0,290910,-6.14
APLAPOLLO,1788.0,1587791,-0.02
APLLTD,823.7,143213,0.66
APOLLO,450.05,35471294,2.39
APOLLOTYRE,448.5,1064985,-1.77
APTUS,287.85,862152,-0.38
ARE&M,855.15,604052,-0.88
ARVIND,569.05,587692,0.18
ARVINDFASN,470.15,205237,-0.94
ASAHIINDIA,873.65,53290,-1.71
ASHAPURMIN,645.6,287330,-2.63
ASHOKA,132.05,457825,-0.24
ASHOKLEY,164.35,20821054,-0.23
ASKAUTOLTD,454.65,57252,-0.18
ASTERDM,793.2,349759,0.28
ASTRAL,1385.0,506210,1.6
ASTRAMICRO,1848.5,1099562,2.94
ATGL,721.75,1267326,-1.6
ATHERENERG,1130.0,2599986,-1.14
ATLANTAELE,1688.4,129217,-4.36
ATUL,6556.5,21172,1.34
AUBANK,1058.4,1748260,0.13
AURIONPRO,879.65,132181,-0.9
AUROPHARMA,1620.5,2190579,3.81
AVALON,1788.3,249227,-0.63
AVANTIFEED,955.6,245332,0.87
AVL,638.55,226014,-0.28
AWFIS,301.4,200763,-1.37
