symbol,rows,first_date,last_date
360ONE,1683,2019-09-19,2026-07-03
3MINDIA,1978,2018-07-05,2026-07-03
ACC,1978,2018-07-05,2026-07-03
ACMESOLAR,404,2024-11-13,2026-07-03
AIAENG,1978,2018-07-05,2026-07-03
APLAPOLLO,1978,2018-07-05,2026-07-03
ASKAUTOLTD,652,2023-11-15,2026-07-03
AUBANK,1978,2018-07-05,2026-07-03
AWL,1019,2022-02-08,2026-07-03
AXISCADES,1978,2018-07-05,2026-07-03
AADHARHFC,530,2024-05-15,2026-07-03
AARTIDRUGS,1978,2018-07-05,2026-07-03
AARTIIND,1978,2018-07-05,2026-07-03
AARTIPHARM,848,2023-01-30,2026-07-03
AAVAS,1916,2018-10-08,2026-07-03
ABBOTINDIA,1978,2018-07-05,2026-07-03
ACE,1978,2018-07-05,2026-07-03
ACUTAAS,1191,2021-09-14,2026-07-03
ATGL,1897,2018-11-05,2026-07-03
ABCAPITAL,1978,2018-07-05,2026-07-03
ABFRL,1978,2018-07-05,2026-07-03
ABLBL,255,2025-06-23,2026-07-03
ABREL,1978,2018-07-05,2026-07-03
ABSLAMC,1172,2021-10-11,2026-07-03
CPPLUS,224,2025-08-05,2026-07-03
AVL,409,2024-11-06,2026-07-03
ADVENZYMES,1978,2018-07-05,2026-07-03
AEGISLOG,1978,2018-07-05,2026-07-03
AEGISVOPAK,270,2025-06-02,2026-07-03
AEQUS,138,2025-12-10,2026-07-03
AETHER,1012,2022-06-03,2026-07-03
AFCONS,411,2024-11-04,2026-07-03
AFFLE,1710,2019-08-08,2026-07-03
AHLUCONT,1978,2018-07-05,2026-07-03
AJANTPHARM,1978,2018-07-05,2026-07-03
AKUMS,473,2024-08-06,2026-07-03
APLLTD,1978,2018-07-05,2026-07-03
ALIVUS,1222,2018-08-07,2026-07-03
ALKEM,1978,2018-07-05,2026-07-03
ALKYLAMINE,1978,2018-07-05,2026-07-03
ABDL,497,2024-07-02,2026-07-03
ALOKINDS,1579,2020-02-19,2026-07-03
ARE&M,1978,2018-07-05,2026-07-03
AMBER,1978,2018-07-05,2026-07-03
ANANDRATHI,1129,2021-12-14,2026-07-03
ANANTRAJ,1978,2018-07-05,2026-07-03
ANGELONE,1425,2020-10-05,2026-07-03
ANTHEM,235,2025-07-21,2026-07-03
ANURAS,1307,2021-03-24,2026-07-03
APARINDS,1978,2018-07-05,2026-07-03
APOLLO,1978,2018-07-05,2026-07-03
APOLLOTYRE,1978,2018-07-05,2026-07-03
APTUS,1205,2021-08-24,2026-07-03
ACI,897,2022-11-21,2026-07-03
ARVINDFASN,1813,2019-03-08,2026-07-03
ARVIND,1978,2018-07-05,2026-07-03
ASAHIINDIA,1978,2018-07-05,2026-07-03
ASHAPURMIN,1978,2018-07-05,2026-07-03
ASHOKLEY,1978,2018-07-05,2026-07-03
ASHOKA,1978,2018-07-05,2026-07-03
ASTERDM,1978,2018-07-05,2026-07-03
ASTRAMICRO,1978,2018-07-05,2026-07-03
ASTRAL,1978,2018-07-05,2026-07-03
ATHERENERG,289,2025-05-06,2026-07-03
ATLANTAELE,187,2025-09-29,2026-07-03
ATUL,1978,2018-07-05,2026-07-03
AURIONPRO,1978,2018-07-05,2026-07-03
AUROPHARMA,1978,2018-07-05,2026-07-03
AIIL,545,2024-04-23,2026-07-03
AVALON,797,2023-04-18,2026-07-03
AVANTIFEED,1978,2018-07-05,2026-07-03
CCAVENUE,1978,2018-07-05,2026-07-03
AWFIS,519,2024-05-30,2026-07-03
AZAD,623,2023-12-28,2026-07-03
BEML,1978,2018-07-05,2026-07-03
BLS,1978,2018-07-05,2026-07-03
BSE,1978,2018-07-05,2026-07-03
BAJAJELEC,1978,2018-07-05,2026-07-03
BAJAJHFL,445,2024-09-16,2026-07-03
BALAMINES,1978,2018-07-05,2026-07-03
BALKRISIND,1978,2018-07-05,2026-07-03
BALRAMCHIN,1978,2018-07-05,2026-07-03
BALUFORGE,541,2024-04-29,2026-07-03
BANCOINDIA,1978,2018-07-05,2026-07-03
BANDHANBNK,1978,2018-07-05,2026-07-03
BANKINDIA,1978,2018-07-05,2026-07-03
MAHABANK,1978,2018-07-05,2026-07-03
BATAINDIA,1978,2018-07-05,2026-07-03
BAYERCROP,1978,2018-07-05,2026-07-03
BELRISE,273,2025-05-28,2026-07-03
BERGEPAINT,1978,2018-07-05,2026-07-03
BDL,1978,2018-07-05,2026-07-03
BHARATFORG,1978,2018-07-05,2026-07-03
BHEL,1978,2018-07-05,2026-07-03
BHARTIHEXA,551,2024-04-12,2026-07-03
BIKAJI,900,2022-11-16,2026-07-03
GROWW,158,2025-11-12,2026-07-03
BIOCON,1978,2018-07-05,2026-07-03
BIRLACORPN,1978,2018-07-05,2026-07-03
BSOFT,1978,2018-07-05,2026-07-03
BBOX,1978,2018-07-05,2026-07-03
BLACKBUCK,399,2024-11-22,2026-07-03
BLUEDART,1978,2018-07-05,2026-07-03
BLUEJET,662,2023-11-01,2026-07-03
BLUESTARCO,1978,2018-07-05,2026-07-03
